Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.1e-05,17.352946,[103  54] ; [71 96],[84.31481481 72.68518519] ; [89.68518519 77.31481481],1
s8,1,0.005624,7.666986,[78 87] ; [ 57 118],[65.51470588 99.48529412] ; [ 69.48529412 105.51470588],0
s6,1,0.009204,6.782761,[120  44] ; [104  70],[108.68639053  55.31360947] ; [115.31360947  58.68639053],0
v3,1,0.009333,6.757934,[63 94] ; [ 44 122],[ 52.00928793 104.99071207] ; [ 54.99071207 111.00928793],0
p3,1,0.012914,6.180889,[70 94] ; [ 52 123],[ 59.02064897 104.97935103] ; [ 62.97935103 112.02064897],0
n5,1,0.018898,5.510966,[126  37] ; [113  59],[116.28955224  46.71044776] ; [122.71044776  49.28955224],0
s2,1,0.040419,4.200227,[95 68] ; [82 92],[85.61127596 77.38872404] ; [91.38872404 82.61127596],0
b5,1,0.073289,3.207788,[117  48] ; [108  67],[109.19117647  55.80882353] ; [115.80882353  59.19117647],0
p5,1,0.114804,2.486807,[ 13 148] ; [  7 168],[  9.58333333 151.41666667] ; [ 10.41666667 164.58333333],0
s4,1,0.119145,2.428522,[ 24 139] ; [ 37 137],[ 29.50445104 133.49554896] ; [ 31.49554896 142.50445104],0
r1,1,0.121954,2.392044,[128  36] ; [123  51],[121.78698225  42.21301775] ; [129.21301775  44.78698225],0
v4,1,0.122455,2.385636,[156   8] ; [158  16],[152.35502959  11.64497041] ; [161.64497041  12.35502959],0
a8,1,0.155747,2.015045,[ 24 125] ; [ 17 143],[ 19.77022654 129.22977346] ; [ 21.22977346 138.77022654],0
p4,1,0.185652,1.751788,[82 83] ; [ 74 100],[75.92920354 89.07079646] ; [80.07079646 93.92920354],0
d3,1,0.186876,1.742077,[110  55] ; [126  46],[115.54896142  49.45103858] ; [120.45103858  51.54896142],0
s7,1,0.217754,1.519112,[80 79] ; [74 96],[74.42553191 84.57446809] ; [79.57446809 90.42553191],0
p6,1,0.2204,1.501768,[ 47 116] ; [ 40 134],[ 42.08011869 120.91988131] ; [ 44.91988131 129.08011869],0
u1,1,0.221114,1.497129,[ 37 128] ; [ 30 145],[ 32.51470588 132.48529412] ; [ 34.48529412 140.51470588],0
p10,1,0.239824,1.381625,[145  19] ; [147  28],[141.26253687  22.73746313] ; [150.73746313  24.26253687],0
r2,1,0.250037,1.323094,[155   9] ; [157  15],[152.28571429  11.71428571] ; [159.71428571  12.28571429],0
