Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.4e-05,18.908397,[38 25] ; [ 2 22],[28.96551724 34.03448276] ; [11.03448276 12.96551724],1
d3,1,0.000438,12.363998,[46 16] ; [ 8 16],[38.93023256 23.06976744] ; [15.06976744  8.93023256],1
v2,1,0.001062,10.716424,[36 22] ; [ 5 18],[29.35802469 28.64197531] ; [11.64197531 11.35802469],0
r2,1,0.002175,9.395612,[54  8] ; [13 10],[48.87058824 13.12941176] ; [18.12941176  4.87058824],0
a6,1,0.002265,9.321429,[48 15] ; [10 14],[42. 21.] ; [16.  8.],0
v4,1,0.003134,8.72788,[60  3] ; [16  6],[56.32941176  6.67058824] ; [19.67058824  2.32941176],0
n4,1,0.009355,6.753789,[38 25] ; [ 7 17],[32.5862069 30.4137931] ; [12.4137931 11.5862069],0
d4,1,0.012834,6.191838,[50 13] ; [12 11],[45.41860465 17.58139535] ; [16.58139535  6.41860465],0
a5,1,0.023111,5.160179,[43 20] ; [10 14],[38.37931034 24.62068966] ; [14.62068966  9.37931034],0
a7,1,0.037935,4.307924,[44 19] ; [11 13],[39.82758621 23.17241379] ; [15.17241379  8.82758621],0
s7,1,0.041964,4.136669,[26 33] ; [ 4 17],[22.125 36.875] ; [ 7.875 13.125],0
r4,1,0.044883,4.023025,[48 15] ; [13 11],[44.17241379 18.82758621] ; [16.82758621  7.17241379],0
a2,1,0.046298,3.970718,[14 49] ; [ 1 23],[10.86206897 52.13793103] ; [ 4.13793103 19.86206897],0
p10,1,0.046946,3.94731,[45 17] ; [12 12],[41.09302326 20.90697674] ; [15.90697674  8.09302326],0
r3,1,0.0474,3.931141,[59  4] ; [19  5],[56.48275862  6.51724138] ; [21.51724138  2.48275862],0
p9,1,0.06554,3.391325,[47 16] ; [13 11],[43.44827586 19.55172414] ; [16.55172414  7.44827586],0
s8,1,0.075246,3.164716,[26 37] ; [ 5 19],[22.44827586 40.55172414] ; [ 8.55172414 15.44827586],0
p4,1,0.084224,2.981447,[41 21] ; [11 13],[37.48837209 24.51162791] ; [14.51162791  9.48837209],0
s1,1,0.099242,2.717682,[ 2 60] ; [ 3 21],[ 3.60465116 58.39534884] ; [ 1.39534884 22.60465116],0
n2,1,0.115078,2.483069,[16  2] ; [5 3],[14.53846154  3.46153846] ; [6.46153846 1.53846154],0
p6,1,0.118353,2.438981,[24 36] ; [ 5 18],[20.96385542 39.03614458] ; [ 8.03614458 14.96385542],0
r1,1,0.138414,2.195505,[47 16] ; [14 10],[44.17241379 18.82758621] ; [16.82758621  7.17241379],0
b2,1,0.164384,1.933427,[ 9 30] ; [ 1 14],[ 7.22222222 31.77777778] ; [ 2.77777778 12.22222222],0
b3,1,0.164384,1.933427,[ 9 30] ; [ 1 14],[ 7.22222222 31.77777778] ; [ 2.77777778 12.22222222],0
s3,1,0.18591,1.749735,[31 30] ; [16  8],[33.72941176 27.27058824] ; [13.27058824 10.72941176],0
d2,1,0.193994,1.687019,[28 35] ; [ 7 17],[25.34482759 37.65517241] ; [ 9.65517241 14.34482759],0
n1,1,0.236386,1.402019,[ 6 11] ; [1 7],[ 4.76 12.24] ; [2.24 5.76],0
n3,1,0.269007,1.221805,[12  6] ; [7 1],[13.15384615  4.84615385] ; [5.84615385 2.15384615],0
