Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.787462,[ 7 35] ; [73 46],[20.86956522 21.13043478] ; [59.13043478 59.86956522],1
p10,1,0.000401,12.525431,[15 26] ; [79 37],[24.5477707 16.4522293] ; [69.4522293 46.5477707],1
v4,1,0.000685,11.530036,[25 17] ; [100  18],[32.8125  9.1875] ; [92.1875 25.8125],1
p9,1,0.005487,7.711535,[21 19] ; [88 28],[27.94871795 12.05128205] ; [81.05128205 34.94871795],0
v3,1,0.01398,6.040679,[ 4 38] ; [33 84],[ 9.77358491 32.22641509] ; [27.22641509 89.77358491],0
r3,1,0.034725,4.458659,[26 15] ; [95 24],[31.00625  9.99375] ; [89.99375 29.00625],0
u3,1,0.035692,4.411765,[ 4 20] ; [21 30],[ 8. 16.] ; [17. 34.],0
n6,1,0.050561,3.822772,[25 17] ; [89 29],[29.925 12.075] ; [84.075 33.925],0
d5,1,0.058751,3.57229,[22 20] ; [81 37],[27.0375 14.9625] ; [75.9625 42.0375],0
s7,1,0.066081,3.377778,[ 3 35] ; [24 90],[ 6.75 31.25] ; [20.25 93.75],0
b1,1,0.073944,3.193228,[24 18] ; [49 70],[19.04347826 22.95652174] ; [53.95652174 65.04347826],0
a3,1,0.09921,2.718195,[18 24] ; [68 50],[22.575 19.425] ; [63.425 54.575],0
n2,1,0.101192,2.686652,[9 8] ; [30 10],[11.63157895  5.36842105] ; [27.36842105 12.63157895],0
b3,1,0.170049,1.882513,[ 7 21] ; [24 36],[ 9.86363636 18.13636364] ; [21.13636364 38.86363636],0
b2,1,0.170049,1.882513,[ 7 21] ; [24 36],[ 9.86363636 18.13636364] ; [21.13636364 38.86363636],0
p12,1,0.181614,1.784368,[ 3 39] ; [  3 114],[ 1.58490566 40.41509434] ; [  4.41509434 112.58490566],0
a7,1,0.189196,1.723868,[20 22] ; [70 48],[23.625 18.375] ; [66.375 51.625],0
p2,1,0.201368,1.632422,[24 18] ; [79 37],[27.37974684 14.62025316] ; [75.62025316 40.37974684],0
s3,1,0.209328,1.576069,[10 31] ; [41 76],[13.23417722 27.76582278] ; [37.76582278 79.23417722],0
n4,1,0.225568,1.468592,[22 20] ; [75 44],[25.30434783 16.69565217] ; [71.69565217 47.30434783],0
u2,1,0.250853,1.318545,[12 12] ; [18 32],[ 9.72972973 14.27027027] ; [20.27027027 29.72972973],0
a2,1,0.292624,1.10751,[ 2 40] ; [ 12 107],[ 3.65217391 38.34782609] ; [ 10.34782609 108.65217391],0
s5,1,0.299031,1.078513,[ 6 36] ; [25 90],[ 8.29299363 33.70700637] ; [22.70700637 92.29299363],0
a4,1,0.307998,1.039241,[10 32] ; [38 80],[12.6 29.4] ; [35.4 82.6],0
p6,1,0.316669,1.002656,[ 6 34] ; [26 90],[ 8.20512821 31.79487179] ; [23.79487179 92.20512821],0
b4,1,0.358512,0.8431,[22 20] ; [72 47],[24.52173913 17.47826087] ; [69.47826087 49.52173913],0
p5,1,0.373884,0.790715,[ 5 36] ; [  9 109],[ 3.61006289 37.38993711] ; [ 10.38993711 107.61006289],0
n1,1,0.39403,0.726471,[ 4 13] ; [14 26],[ 5.36842105 11.63157895] ; [12.63157895 27.36842105],0
p3,1,0.403492,0.697894,[11 30] ; [40 78],[13.1509434 27.8490566] ; [37.8490566 80.1509434],0
p8,1,0.421428,0.646331,[12 29] ; [42 74],[14.10191083 26.89808917] ; [39.89808917 76.10191083],0
d3,1,0.430311,0.621985,[20 22] ; [64 53],[22.18867925 19.81132075] ; [61.81132075 55.18867925],0
u1,1,0.467203,0.528584,[ 1 41] ; [  6 113],[ 1.82608696 40.17391304] ; [  5.17391304 113.82608696],0
s1,1,0.471675,0.518049,[ 2 40] ; [  3 116],[ 1.30434783 40.69565217] ; [  3.69565217 115.30434783],0
