Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9.9e-05,15.14636,[46  5] ; [62 42],[35.53548387 15.46451613] ; [72.46451613 31.53548387],1
r1,1,0.000206,13.777637,[42  9] ; [53 50],[31.46103896 19.53896104] ; [63.53896104 39.46103896],1
v2,1,0.000365,12.703751,[32 18] ; [33 66],[21.81208054 28.18791946] ; [43.18791946 55.81208054],1
r4,1,0.004407,8.107962,[46  5] ; [73 32],[38.90384615 12.09615385] ; [80.09615385 24.90384615],0
p3,1,0.005825,7.603664,[29 22] ; [35 69],[21.05806452 29.94193548] ; [42.94193548 61.05806452],0
p1,1,0.010239,6.592909,[12 39] ; [ 9 96],[ 6.86538462 44.13461538] ; [14.13461538 90.86538462],0
r2,1,0.014192,6.014138,[49  2] ; [85 19],[44.09032258  6.90967742] ; [89.90967742 14.09032258],0
v1,1,0.015506,5.858022,[29 21] ; [38 64],[22.03947368 27.96052632] ; [44.96052632 57.03947368],0
s5,1,0.017851,5.610738,[14 36] ; [13 91],[ 8.76623377 41.23376623] ; [18.23376623 85.76623377],0
n5,1,0.021586,5.278888,[44  7] ; [72 32],[38.16774194 12.83225806] ; [77.83225806 26.16774194],0
s7,1,0.035878,4.402905,[21 25] ; [28 72],[15.43835616 30.56164384] ; [33.56164384 66.43835616],0
d3,1,0.04177,4.144485,[18 33] ; [21 83],[12.83225806 38.16774194] ; [26.16774194 77.83225806],0
a5,1,0.044821,4.025375,[33 18] ; [50 55],[27.13461538 23.86538462] ; [55.86538462 49.13461538],0
s3,1,0.058729,3.572918,[27 23] ; [39 64],[21.56862745 28.43137255] ; [44.43137255 58.56862745],0
n1,1,0.061879,3.486301,[5 1] ; [17 23],[2.86956522 3.13043478] ; [19.13043478 20.86956522],0
p8,1,0.071492,3.248429,[27 24] ; [38 63],[21.80921053 29.19078947] ; [43.19078947 57.80921053],0
p4,1,0.078426,3.097231,[30 21] ; [46 59],[24.84615385 26.15384615] ; [51.15384615 53.84615385],0
p6,1,0.099135,2.7194,[20 31] ; [27 76],[15.56493506 35.43506494] ; [31.43506494 71.56493506],0
a7,1,0.113832,2.500202,[34 17] ; [56 49],[29.42307692 21.57692308] ; [60.57692308 44.42307692],0
a3,1,0.12332,2.374643,[30 21] ; [47 56],[25.5 25.5] ; [51.5 51.5],0
p5,1,0.124303,2.362246,[ 8 43] ; [ 8 96],[ 5.26451613 45.73548387] ; [10.73548387 93.26451613],0
s6,1,0.138463,2.194954,[28 22] ; [45 59],[23.7012987 26.2987013] ; [49.2987013 54.7012987],0
p12,1,0.158221,1.991147,[ 4 47] ; [  3 102],[ 2.28846154 48.71153846] ; [  4.71153846 100.28846154],0
p10,1,0.167368,1.906363,[38 13] ; [64 37],[34.22368421 16.77631579] ; [67.77631579 33.22368421],0
n6,1,0.186873,1.742098,[41 10] ; [74 31],[37.59615385 13.40384615] ; [77.40384615 27.59615385],0
s2,1,0.215387,1.534844,[18 33] ; [27 78],[14.71153846 36.28846154] ; [30.28846154 74.71153846],0
v4,1,0.24053,1.377484,[47  4] ; [89 15],[44.7483871  6.2516129] ; [91.2516129 12.7483871],0
a6,1,0.316699,1.002528,[32 19] ; [57 48],[29.09615385 21.90384615] ; [59.90384615 45.09615385],0
p2,1,0.321202,0.984045,[34 17] ; [78 27],[36.61538462 14.38461538] ; [75.38461538 29.61538462],0
a8,1,0.37057,0.801754,[ 5 44] ; [15 81],[ 6.75862069 42.24137931] ; [13.24137931 82.75862069],0
b4,1,0.393438,0.728291,[28 23] ; [50 55],[25.5 25.5] ; [52.5 52.5],0
a2,1,0.395425,0.722195,[ 6 45] ; [ 8 97],[ 4.57692308 46.42307692] ; [ 9.42307692 95.57692308],0
p7,1,0.40573,0.691278,[30 20] ; [55 49],[27.5974026 22.4025974] ; [57.4025974 46.5974026],0
