Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.5e-05,16.654946,[32 25] ; [ 8 39],[21.92307692 35.07692308] ; [18.07692308 28.92307692],1
s3,1,9.1e-05,15.317707,[40 16] ; [15 31],[30.19607843 25.80392157] ; [24.80392157 21.19607843],1
s2,1,0.000765,11.323391,[31 26] ; [10 36],[22.68932039 34.31067961] ; [18.31067961 27.68932039],1
s5,1,0.002553,9.102217,[17 39] ; [ 3 43],[10.98039216 45.01960784] ; [ 9.01960784 36.98039216],0
d1,1,0.013492,6.103477,[32 25] ; [15 32],[25.75961538 31.24038462] ; [21.24038462 25.75961538],0
s7,1,0.033169,4.537037,[25 31] ; [10 32],[20. 36.] ; [15. 27.],0
u2,1,0.066489,3.367641,[19  3] ; [9 6],[16.64864865  5.35135135] ; [11.35135135  3.64864865],0
p10,1,0.074405,3.183075,[45 12] ; [29 17],[40.95145631 16.04854369] ; [33.04854369 12.95145631],0
n3,1,0.100582,2.696287,[9 7] ; [11  2],[11.03448276  4.96551724] ; [8.96551724 4.03448276],0
s4,1,0.119131,2.428707,[11 46] ; [ 4 43],[ 8.22115385 48.77884615] ; [ 6.77884615 40.22115385],0
p9,1,0.140248,2.17524,[47 10] ; [33 14],[43.84615385 13.15384615] ; [36.15384615 10.84615385],0
d2,1,0.175751,1.833188,[23 34] ; [13 34],[19.73076923 37.26923077] ; [16.26923077 30.73076923],0
p7,1,0.208136,1.584346,[36 17] ; [25 20],[32.98979592 20.01020408] ; [28.01020408 16.98979592],0
u1,1,0.232312,1.426652,[ 6 51] ; [ 2 45],[ 4.38461538 52.61538462] ; [ 3.61538462 43.38461538],0
n5,1,0.234086,1.415859,[29 28] ; [18 28],[26.00970874 30.99029126] ; [20.99029126 25.00970874],0
a2,1,0.263973,1.2478,[ 9 48] ; [ 4 43],[ 7.125 49.875] ; [ 5.875 41.125],0
v3,1,0.268868,1.222514,[11 42] ; [14 32],[13.38383838 39.61616162] ; [11.61616162 34.38383838],0
v4,1,0.302821,1.061728,[53  3] ; [41  5],[51.60784314  4.39215686] ; [42.39215686  3.60784314],0
d4,1,0.305933,1.048152,[45 12] ; [33 14],[42.75 14.25] ; [35.25 11.75],0
a6,1,0.348314,0.879591,[39 18] ; [28 19],[36.72115385 20.27884615] ; [30.27884615 16.72115385],0
b2,1,0.355573,0.853469,[12 26] ; [ 5 19],[10.41935484 27.58064516] ; [ 6.58064516 17.41935484],0
b3,1,0.355573,0.853469,[12 26] ; [ 5 19],[10.41935484 27.58064516] ; [ 6.58064516 17.41935484],0
a4,1,0.377079,0.780203,[16 41] ; [17 30],[18.08653846 38.91346154] ; [14.91346154 32.08653846],0
p8,1,0.380656,0.768581,[28 28] ; [19 27],[25.80392157 30.19607843] ; [21.19607843 24.80392157],0
p2,1,0.392103,0.732411,[47 10] ; [34 11],[45.26470588 11.73529412] ; [35.73529412  9.26470588],0
r2,1,0.402267,0.70154,[46  9] ; [42  5],[47.45098039  7.54901961] ; [40.54901961  6.45098039],0
a8,1,0.41169,0.673916,[ 6 45] ; [ 3 41],[ 4.83157895 46.16842105] ; [ 4.16842105 39.83157895],0
p3,1,0.418192,0.65539,[23 34] ; [15 31],[21.02912621 35.97087379] ; [16.97087379 29.02912621],0
b1,1,0.419545,0.651589,[27 30] ; [26 21],[29.04807692 27.95192308] ; [23.95192308 23.04807692],0
n2,1,0.421806,0.645279,[15  1] ; [11  2],[14.34482759  1.65517241] ; [11.65517241  1.34482759],0
p12,1,0.432095,0.617186,[ 3 54] ; [ 1 44],[ 2.23529412 54.76470588] ; [ 1.76470588 43.23529412],0
v2,1,0.469482,0.523194,[25 28] ; [24 20],[26.77319588 26.22680412] ; [22.22680412 21.77319588],0
a3,1,0.478731,0.501753,[35 22] ; [32 15],[36.72115385 20.27884615] ; [30.27884615 16.72115385],0
p1,1,0.491381,0.4735,[ 3 54] ; [ 4 42],[ 3.87378641 53.12621359] ; [ 3.12621359 42.87378641],0
r3,1,0.510646,0.432742,[54  3] ; [43  4],[53.16346154  3.83653846] ; [43.83653846  3.16346154],0
v1,1,0.514881,0.424136,[27 27] ; [20 26],[25.38 28.62] ; [21.62 24.38],0
p4,1,0.549678,0.357895,[30 27] ; [21 24],[28.5 28.5] ; [22.5 22.5],0
d3,1,0.553085,0.351819,[36 21] ; [27 20],[34.52884615 22.47115385] ; [28.47115385 18.52884615],0
p6,1,0.604968,0.267568,[15 40] ; [10 34],[13.88888889 41.11111111] ; [11.11111111 32.88888889],0
b5,1,0.621908,0.243194,[39 18] ; [30 17],[37.81730769 19.18269231] ; [31.18269231 15.81730769],0
b4,1,0.630782,0.231002,[33 24] ; [25 22],[31.78846154 25.21153846] ; [26.21153846 20.78846154],0
s1,1,0.691384,0.157591,[ 2 54] ; [ 1 44],[ 1.66336634 54.33663366] ; [ 1.33663366 43.66336634],0
u3,1,0.692108,0.156813,[16  6] ; [10  5],[15.45945946  6.54054054] ; [10.54054054  4.45945946],0
r4,1,0.809798,0.05793,[45 12] ; [38  9],[45.49038462 11.50961538] ; [37.50961538  9.49038462],0
n1,1,0.816334,0.053946,[8 8] ; [6 5],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
p5,1,0.824781,0.049018,[ 3 53] ; [ 3 44],[ 3.26213592 52.73786408] ; [ 2.73786408 44.26213592],0
d5,1,0.877798,0.023643,[42 15] ; [34 13],[41.65384615 15.34615385] ; [34.34615385 12.65384615],0
a5,1,0.908635,0.01317,[37 20] ; [30 17],[36.72115385 20.27884615] ; [30.27884615 16.72115385],0
r1,1,0.92091,0.009858,[41 15] ; [34 13],[40.77669903 15.22330097] ; [34.22330097 12.77669903],0
n4,1,0.924183,0.009057,[31 26] ; [26 21],[31.24038462 25.75961538] ; [25.75961538 21.24038462],0
a7,1,0.943543,0.005015,[36 21] ; [30 17],[36.17307692 20.82692308] ; [29.82692308 17.17307692],0
