Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000877,11.070163,[26 58] ; [17  8],[33.13761468 50.86238532] ; [ 9.86238532 15.13761468],1
a5,1,0.010101,6.617057,[40 50] ; [19  7],[45.77586207 44.22413793] ; [13.22413793 12.77586207],0
p9,1,0.029029,4.765866,[46 41] ; [20  6],[50.81415929 36.18584071] ; [15.18584071 10.81415929],0
d3,1,0.035918,4.400996,[48 41] ; [20  6],[52.62608696 36.37391304] ; [15.37391304 10.62608696],0
p1,1,0.04098,4.176848,[ 2 87] ; [ 3 23],[ 3.86956522 85.13043478] ; [ 1.13043478 24.86956522],0
v1,1,0.044903,4.022262,[28 59] ; [14 12],[32.33628319 54.66371681] ; [ 9.66371681 16.33628319],0
b1,1,0.09264,2.827896,[48 42] ; [ 9 17],[44.22413793 45.77586207] ; [12.77586207 13.22413793],0
s4,1,0.094945,2.788462,[15 75] ; [ 1 25],[12.4137931 77.5862069] ; [ 3.5862069 22.4137931],0
d5,1,0.115684,2.4748,[58 32] ; [21  5],[61.29310345 28.70689655] ; [17.70689655  8.29310345],0
p7,1,0.145656,2.117168,[36 48] ; [ 7 19],[32.83636364 51.16363636] ; [10.16363636 15.83636364],0
b4,1,0.149357,2.078807,[48 42] ; [18  8],[51.20689655 38.79310345] ; [14.79310345 11.20689655],0
d1,1,0.149898,2.073288,[31 59] ; [13 13],[34.13793103 55.86206897] ; [ 9.86206897 16.13793103],0
u3,1,0.157052,2.002383,[23 17] ; [2 5],[21.27659574 18.72340426] ; [3.72340426 3.27659574],0
r4,1,0.178786,1.807688,[49 41] ; [18  8],[51.98275862 38.01724138] ; [15.01724138 10.98275862],0
r1,1,0.189079,1.724778,[53 37] ; [19  7],[55.86206897 34.13793103] ; [16.13793103  9.86206897],0
r2,1,0.203248,1.618881,[67 20] ; [23  3],[69.2920354 17.7079646] ; [20.7079646  5.2920354],0
v4,1,0.206056,1.598921,[63 24] ; [22  4],[65.44247788 21.55752212] ; [19.55752212  6.44247788],0
a7,1,0.223971,1.478746,[54 36] ; [19  7],[56.63793103 33.36206897] ; [16.36206897  9.63793103],0
a3,1,0.233698,1.418213,[50 39] ; [18  8],[52.62608696 36.37391304] ; [15.37391304 10.62608696],0
p10,1,0.235154,1.409411,[42 45] ; [16 10],[44.65486726 42.34513274] ; [13.34513274 12.65486726],0
s6,1,0.28169,1.158919,[34 55] ; [13 13],[36.37391304 52.62608696] ; [10.62608696 15.37391304],0
a8,1,0.309628,1.032262,[10 77] ; [ 1 22],[ 8.7 78.3] ; [ 2.3 20.7],0
n1,1,0.344704,0.892857,[18 24] ; [2 6],[16.8 25.2] ; [3.2 4.8],0
p8,1,0.349593,0.874934,[22 65] ; [ 9 17],[23.86725664 63.13274336] ; [ 7.13274336 18.86725664],0
d4,1,0.354003,0.859057,[60 29] ; [20  6],[61.91304348 27.08695652] ; [18.08695652  7.91304348],0
b2,1,0.357696,0.845968,[12 40] ; [4 7],[13.20634921 38.79365079] ; [2.79365079 8.20634921],0
b3,1,0.357696,0.845968,[12 40] ; [4 7],[13.20634921 38.79365079] ; [2.79365079 8.20634921],0
a6,1,0.392861,0.73007,[54 36] ; [18  8],[55.86206897 34.13793103] ; [16.13793103  9.86206897],0
n5,1,0.400153,0.707866,[46 43] ; [11 15],[44.11304348 44.88695652] ; [12.88695652 13.11304348],0
u2,1,0.423711,0.64,[24 16] ; [6 2],[25. 15.] ; [5. 3.],0
p4,1,0.44813,0.575378,[24 65] ; [ 9 17],[25.53913043 63.46086957] ; [ 7.46086957 18.53913043],0
s8,1,0.44952,0.571861,[18 72] ; [ 7 19],[19.39655172 70.60344828] ; [ 5.60344828 20.39655172],0
s2,1,0.481798,0.49479,[28 62] ; [10 16],[29.48275862 60.51724138] ; [ 8.51724138 17.48275862],0
s1,1,0.496638,0.462113,[ 4 84] ; [ 2 23],[ 4.67256637 83.32743363] ; [ 1.32743363 23.67256637],0
s3,1,0.52358,0.406836,[42 47] ; [10 15],[40.59649123 48.40350877] ; [11.40350877 13.59649123],0
a1,1,0.547309,0.362161,[ 7 83] ; [ 3 23],[ 7.75862069 82.24137931] ; [ 2.24137931 23.75862069],0
a4,1,0.553052,0.351878,[29 61] ; [10 16],[30.25862069 59.74137931] ; [ 8.74137931 17.25862069],0
b5,1,0.574669,0.314932,[54 36] ; [14 12],[52.75862069 37.24137931] ; [15.24137931 10.75862069],0
u1,1,0.594734,0.283012,[ 6 84] ; [ 1 25],[ 5.43103448 84.56896552] ; [ 1.56896552 24.43103448],0
p12,1,0.659679,0.193914,[ 2 86] ; [ 1 25],[ 2.31578947 85.68421053] ; [ 0.68421053 25.31578947],0
p11,1,0.68902,0.160149,[49 41] ; [13 13],[48.10344828 41.89655172] ; [13.89655172 12.10344828],0
p2,1,0.700057,0.148413,[51 38] ; [16 10],[51.85217391 37.14782609] ; [15.14782609 10.85217391],0
n3,1,0.723308,0.125346,[26 16] ; [5 4],[25.52941176 16.47058824] ; [5.47058824 3.52941176],0
