Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.5e-05,18.741468,[ 3 14] ; [24  5],[9.97826087 7.02173913] ; [17.02173913 11.97826087],1
v1,1,5e-05,16.460685,[ 2 15] ; [22  8],[8.68085106 8.31914894] ; [15.31914894 14.68085106],1
s6,1,0.010046,6.626678,[12  5] ; [29  1],[14.82978723  2.17021277] ; [26.17021277  3.82978723],0
p9,1,0.011086,6.451463,[8 9] ; [24  5],[11.82608696  5.17391304] ; [20.17391304  8.82608696],0
b5,1,0.013915,6.048841,[ 5 12] ; [20 10],[9.04255319 7.95744681] ; [15.95744681 14.04255319],0
r4,1,0.030951,4.655677,[13  4] ; [29  1],[15.19148936  1.80851064] ; [26.80851064  3.19148936],0
d2,1,0.036647,4.366734,[13  4] ; [13 16],[9.60869565 7.39130435] ; [16.39130435 12.60869565],0
s8,1,0.046991,3.945701,[ 6 11] ; [19 10],[9.23913043 7.76086957] ; [15.76086957 13.23913043],0
u3,1,0.067278,3.348214,[1 4] ; [7 3],[2.66666667 2.33333333] ; [5.33333333 4.66666667],0
n1,1,0.067278,3.348214,[4 1] ; [3 7],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
r1,1,0.103225,2.654995,[15  2] ; [20 10],[12.65957447  4.34042553] ; [22.34042553  7.65957447],0
p8,1,0.114198,2.495147,[ 3 14] ; [12 18],[ 5.42553191 11.57446809] ; [ 9.57446809 20.42553191],0
p6,1,0.116911,2.458223,[ 4 13] ; [14 16],[ 6.5106383 10.4893617] ; [11.4893617 18.5106383],0
s7,1,0.130393,2.287815,[ 7 10] ; [18 10],[9.44444444 7.55555556] ; [15.55555556 12.44444444],0
b1,1,0.159018,1.983543,[11  6] ; [13 17],[8.68085106 8.31914894] ; [15.31914894 14.68085106],0
a1,1,0.240748,1.376209,[ 3 14] ; [ 2 28],[ 1.80851064 15.19148936] ; [ 3.19148936 26.80851064],0
p7,1,0.246775,1.341471,[ 5 12] ; [14 16],[ 6.87234043 10.12765957] ; [12.12765957 17.87234043],0
v3,1,0.324583,0.970391,[ 5 11] ; [13 15],[6.54545455 9.45454545] ; [11.45454545 16.54545455],0
p11,1,0.352323,0.865074,[9 8] ; [20 10],[10.4893617  6.5106383] ; [18.5106383 11.4893617],0
d3,1,0.398898,0.711646,[9 8] ; [19 10],[10.34782609  6.65217391] ; [17.65217391 11.34782609],0
s1,1,0.426006,0.633688,[ 1 16] ; [ 4 26],[ 1.80851064 15.19148936] ; [ 3.19148936 26.80851064],0
d4,1,0.440794,0.594214,[15  2] ; [23  6],[14.04347826  2.95652174] ; [23.95652174  5.04347826],0
p10,1,0.446931,0.578423,[10  6] ; [22  8],[11.13043478  4.86956522] ; [20.86956522  9.13043478],0
u1,1,0.450339,0.569799,[ 3 14] ; [ 3 27],[ 2.17021277 14.82978723] ; [ 3.82978723 26.17021277],0
a2,1,0.470398,0.521041,[ 2 15] ; [ 6 24],[ 2.89361702 14.10638298] ; [ 5.10638298 24.89361702],0
a7,1,0.48545,0.486595,[9 8] ; [19 11],[10.12765957  6.87234043] ; [17.87234043 12.12765957],0
b2,1,0.521692,0.410547,[6 7] ; [ 7 13],[5.12121212 7.87878788] ; [ 7.87878788 12.12121212],0
b3,1,0.521692,0.410547,[6 7] ; [ 7 13],[5.12121212 7.87878788] ; [ 7.87878788 12.12121212],0
r3,1,0.547288,0.362198,[15  2] ; [28  2],[15.55319149  1.44680851] ; [27.44680851  2.55319149],0
n2,1,0.550985,0.355556,[4 2] ; [8 2],[4.5 1.5] ; [7.5 2.5],0
s4,1,0.55816,0.342901,[ 5 11] ; [12 18],[ 5.91304348 10.08695652] ; [11.08695652 18.91304348],0
p12,1,0.565604,0.330094,[ 4 13] ; [ 5 25],[ 3.25531915 13.74468085] ; [ 5.74468085 24.25531915],0
r2,1,0.677415,0.17305,[16  1] ; [29  1],[16.27659574  0.72340426] ; [28.72340426  1.27659574],0
a4,1,0.679262,0.170958,[8 9] ; [16 14],[8.68085106 8.31914894] ; [15.31914894 14.68085106],0
d5,1,0.694182,0.154596,[12  5] ; [22  7],[12.56521739  4.43478261] ; [21.43478261  7.56521739],0
n3,1,0.714393,0.133929,[3 2] ; [5 5],[2.66666667 2.33333333] ; [5.33333333 4.66666667],0
d1,1,0.716031,0.132328,[10  7] ; [16 14],[9.40425532 7.59574468] ; [16.59574468 13.40425532],0
v2,1,0.717884,0.130529,[11  6] ; [16 11],[10.43181818  6.56818182] ; [16.56818182 10.43181818],0
n6,1,0.725394,0.123383,[14  3] ; [25  4],[14.41304348  2.58695652] ; [24.58695652  4.41304348],0
n4,1,0.749811,0.10169,[11  6] ; [18 12],[10.4893617  6.5106383] ; [18.5106383 11.4893617],0
b4,1,0.759908,0.093393,[10  7] ; [19 11],[10.4893617  6.5106383] ; [18.5106383 11.4893617],0
a8,1,0.76717,0.087663,[ 2 13] ; [ 3 26],[ 1.70454545 13.29545455] ; [ 3.29545455 25.70454545],0
