Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.3e-05,18.947353,[25  3] ; [10 20],[16.89655172 11.10344828] ; [18.10344828 11.89655172],1
s2,1,0.000132,14.612377,[16 12] ; [ 3 27],[ 9.17241379 18.82758621] ; [ 9.82758621 20.17241379],1
s8,1,0.002913,8.861229,[11 17] ; [ 2 28],[ 6.27586207 21.72413793] ; [ 6.72413793 23.27586207],0
p11,1,0.008902,6.842396,[18 10] ; [ 9 21],[13.03448276 14.96551724] ; [13.96551724 16.03448276],0
r3,1,0.01441,5.987173,[21  7] ; [13 17],[16.4137931 11.5862069] ; [17.5862069 12.4137931],0
n2,1,0.051842,3.780864,[8 1] ; [8 8],[5.76 3.24] ; [10.24  5.76],0
v4,1,0.053504,3.728108,[21  6] ; [16 14],[17.52631579  9.47368421] ; [19.47368421 10.52631579],0
a4,1,0.075706,3.154759,[ 6 22] ; [13 17],[ 9.17241379 18.82758621] ; [ 9.82758621 20.17241379],0
p2,1,0.077397,3.118734,[18  9] ; [13 17],[14.68421053 12.31578947] ; [16.31578947 13.68421053],0
s3,1,0.085951,2.948624,[16 12] ; [10 19],[12.77192982 15.22807018] ; [13.22807018 15.77192982],0
b5,1,0.109922,2.555339,[18 10] ; [13 17],[14.96551724 13.03448276] ; [16.03448276 13.96551724],0
s7,1,0.146185,2.111614,[11 17] ; [ 6 22],[ 8.5 19.5] ; [ 8.5 19.5],0
r2,1,0.148673,2.085813,[20  6] ; [17 12],[17.49090909  8.50909091] ; [19.50909091  9.49090909],0
d3,1,0.152828,2.043797,[15 12] ; [11 19],[12.31578947 14.68421053] ; [13.68421053 16.31578947],0
v3,1,0.155805,2.014474,[ 2 25] ; [ 6 23],[ 3.85714286 23.14285714] ; [ 4.14285714 24.85714286],0
a1,1,0.155913,2.013429,[ 2 26] ; [ 6 24],[ 3.86206897 24.13793103] ; [ 4.13793103 25.86206897],0
d2,1,0.177574,1.817811,[10 18] ; [16 14],[12.55172414 15.44827586] ; [13.44827586 16.55172414],0
a7,1,0.185605,1.752166,[17 11] ; [13 17],[14.48275862 13.51724138] ; [15.51724138 14.48275862],0
v1,1,0.217612,1.52005,[11 15] ; [ 8 22],[ 8.82142857 17.17857143] ; [10.17857143 19.82142857],0
u3,1,0.239317,1.384615,[8 5] ; [5 8],[6.5 6.5] ; [6.5 6.5],0
d4,1,0.258522,1.276652,[19  9] ; [16 14],[16.89655172 11.10344828] ; [18.10344828 11.89655172],0
n4,1,0.272286,1.205195,[10 18] ; [15 15],[12.06896552 15.93103448] ; [12.93103448 17.06896552],0
p8,1,0.272562,1.20381,[ 8 19] ; [ 5 24],[ 6.26785714 20.73214286] ; [ 6.73214286 22.26785714],0
