Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,51.668795,[49 67] ; [250  69],[79.73333333 36.26666667] ; [219.26666667  99.73333333],1
d3,1,0.0,40.205571,[54 62] ; [250  70],[80.88073394 35.11926606] ; [223.11926606  96.88073394],1
a2,1,0.0,25.265567,[ 11 105] ; [108 212],[31.66055046 84.33944954] ; [ 87.33944954 232.66055046],1
u1,1,7e-06,20.121345,[  9 107] ; [ 90 230],[26.33944954 89.66055046] ; [ 72.66055046 247.33944954],1
b5,1,0.000341,12.831883,[51 65] ; [202 118],[67.31192661 48.68807339] ; [185.68807339 134.31192661],1
p4,1,0.001667,9.884263,[80 36] ; [265  55],[91.78899083 24.21100917] ; [253.21100917  66.78899083],0
v4,1,0.017462,5.649351,[108   8] ; [312   7],[112.   4.] ; [308.  11.],0
u3,1,0.024,5.094644,[12 15] ; [55 25],[16.90654206 10.09345794] ; [50.09345794 29.90654206],0
s5,1,0.024834,5.035445,[54 55] ; [114 192],[44.1253012 64.8746988] ; [123.8746988 182.1253012],0
b1,1,0.033604,4.514729,[60 56] ; [129 191],[50.28440367 65.71559633] ; [138.71559633 181.28440367],0
d1,1,0.037183,4.342008,[65 51] ; [214 106],[74.2293578 41.7706422] ; [204.7706422 115.2293578],0
s8,1,0.037293,4.336971,[70 46] ; [155 161],[60.41666667 55.58333333] ; [164.58333333 151.41666667],0
v2,1,0.052393,3.763162,[60 52] ; [199 112],[68.57683215 43.42316785] ; [190.42316785 120.57683215],0
s4,1,0.062147,3.479148,[27 89] ; [ 49 266],[20.45475638 95.54524362] ; [ 55.54524362 259.45475638],0
p2,1,0.076038,3.147612,[95 20] ; [284  35],[100.42626728  14.57373272] ; [278.57373272  40.42626728],0
p10,1,0.083315,2.999019,[93 22] ; [279  40],[98.57142857 16.42857143] ; [273.42857143  45.57142857],0
s7,1,0.086296,2.942153,[72 40] ; [163 134],[64.35207824 47.64792176] ; [170.64792176 126.35207824],0
p12,1,0.08894,2.893451,[  7 106] ; [ 38 282],[ 11.74364896 101.25635104] ; [ 33.25635104 286.74364896],0
d5,1,0.104027,2.642691,[91 24] ; [274  46],[96.49425287 18.50574713] ; [268.50574713  51.49425287],0
n3,1,0.108809,2.571429,[16  8] ; [40  8],[18.66666667  5.33333333] ; [37.33333333 10.66666667],0
r1,1,0.111479,2.533133,[91 25] ; [270  48],[96.48847926 19.51152074] ; [264.51152074  53.48847926],0
v1,1,0.111731,2.529558,[61 51] ; [196 115],[68.04728132 43.95271868] ; [188.95271868 122.04728132],0
b2,1,0.136181,2.220593,[40 44] ; [ 75 122],[34.3772242 49.6227758] ; [ 80.6227758 116.3772242],0
b3,1,0.136181,2.220593,[40 44] ; [ 75 122],[34.3772242 49.6227758] ; [ 80.6227758 116.3772242],0
r4,1,0.162517,1.950653,[107   9] ; [306  14],[109.88073394   6.11926606] ; [303.11926606  16.88073394],0
s1,1,0.165672,1.921673,[  6 110] ; [  8 310],[  3.74193548 112.25806452] ; [ 10.25806452 307.74193548],0
r3,1,0.169658,1.885967,[109   7] ; [308  10],[111.4562212   4.5437788] ; [305.5437788  12.4562212],0
n2,1,0.192792,1.696154,[15  9] ; [37 11],[17.33333333  6.66666667] ; [34.66666667 13.33333333],0
p7,1,0.226336,1.46374,[82 33] ; [244  73],[86.78240741 28.21759259] ; [239.21759259  77.78240741],0
u4,1,0.231202,1.433454,[  5 111] ; [  7 313],[  3.19266055 112.80733945] ; [  8.80733945 311.19266055],0
s3,1,0.297929,1.083443,[73 42] ; [183 133],[68.3062645 46.6937355] ; [187.6937355 128.3062645],0
p6,1,0.298767,1.07969,[49 64] ; [155 161],[53.73426573 59.26573427] ; [150.26573427 165.73426573],0
n6,1,0.310586,1.028184,[97 18] ; [280  38],[100.12702079  14.87297921] ; [276.87297921  41.12702079],0
a1,1,0.34053,0.908433,[  9 107] ; [ 17 303],[  6.91743119 109.08256881] ; [ 19.08256881 300.91743119],0
p9,1,0.3543,0.857995,[99 16] ; [284  34],[101.72055427  13.27944573] ; [281.27944573  36.72055427],0
b4,1,0.388398,0.743952,[65 51] ; [194 126],[68.90825688 47.09174312] ; [190.09174312 129.90825688],0
