Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,60.101593,[85 12] ; [11 37],[64.22068966 32.77931034] ; [31.77931034 16.22068966],1
r3,1,1e-06,25.178418,[87  9] ; [26 22],[75.33333333 20.66666667] ; [37.66666667 10.33333333],1
v4,1,7.4e-05,15.702158,[84 11] ; [28 19],[74.92957746 20.07042254] ; [37.07042254  9.92957746],1
a1,1,0.000241,13.484547,[ 1 96] ; [ 8 40],[ 6.02068966 90.97931034] ; [ 2.97931034 45.02068966],1
r2,1,0.000393,12.562976,[87 10] ; [30 16],[79.36363636 17.63636364] ; [37.63636364  8.36363636],1
d4,1,0.000939,10.943971,[75 20] ; [25 23],[66.43356643 28.56643357] ; [33.56643357 14.43356643],1
a7,1,0.002701,8.999325,[71 26] ; [23 25],[62.88275862 34.11724138] ; [31.11724138 16.88275862],0
d5,1,0.003652,8.44898,[73 23] ; [25 23],[65.33333333 30.66666667] ; [32.66666667 15.33333333],0
d3,1,0.00421,8.191137,[63 33] ; [19 28],[55.04895105 40.95104895] ; [26.95104895 20.04895105],0
v2,1,0.007703,7.10121,[44 44] ; [12 34],[36.7761194 51.2238806] ; [19.2238806 26.7761194],0
b4,1,0.007925,7.050358,[61 36] ; [19 29],[53.51724138 43.48275862] ; [26.48275862 21.51724138],0
p2,1,0.009981,6.638361,[68 29] ; [22 24],[61.04895105 35.95104895] ; [28.95104895 17.04895105],0
u2,1,0.011571,6.375443,[24  8] ; [ 9 13],[19.55555556 12.44444444] ; [13.44444444  8.55555556],0
a5,1,0.014305,6.000143,[65 32] ; [22 26],[58.2 38.8] ; [28.8 19.2],0
d1,1,0.018969,5.504331,[46 51] ; [13 35],[39.46896552 57.53103448] ; [19.53103448 28.46896552],0
v3,1,0.019044,5.497479,[30 59] ; [ 7 40],[24.21323529 64.78676471] ; [12.78676471 34.21323529],0
s6,1,0.033968,4.496314,[44 53] ; [13 35],[38.13103448 58.86896552] ; [18.86896552 29.13103448],0
n5,1,0.037829,4.312698,[38 57] ; [28 20],[43.84615385 51.15384615] ; [22.15384615 25.84615385],0
p3,1,0.039969,4.219201,[33 64] ; [ 8 38],[27.81118881 69.18881119] ; [13.18881119 32.81118881],0
u3,1,0.04206,4.132794,[22 10] ; [ 9 13],[18.37037037 13.62962963] ; [12.62962963  9.37037037],0
p11,1,0.067006,3.35489,[60 37] ; [22 26],[54.85517241 42.14482759] ; [27.14482759 20.85517241],0
u1,1,0.078329,3.099239,[10 87] ; [ 1 47],[ 7.35862069 89.64137931] ; [ 3.64137931 44.35862069],0
b1,1,0.085779,2.951853,[48 49] ; [31 17],[52.84827586 44.15172414] ; [26.15172414 21.84827586],0
p8,1,0.091049,2.855734,[39 57] ; [12 34],[34.47887324 61.52112676] ; [16.52112676 29.47887324],0
