Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,9e-06,19.736043,[10 79] ; [20 24],[20.07518797 68.92481203] ; [ 9.92481203 34.07518797],1
p8,1,1.8e-05,18.353651,[11 79] ; [20 24],[20.82089552 69.17910448] ; [10.17910448 33.82089552],1
p3,1,0.000958,10.906271,[23 67] ; [24 20],[31.56716418 58.43283582] ; [15.43283582 28.56716418],1
v1,1,0.003307,8.629605,[26 60] ; [25 19],[33.73846154 52.26153846] ; [17.26153846 26.73846154],0
a2,1,0.010001,6.634685,[23 67] ; [ 3 41],[17.46268657 72.53731343] ; [ 8.53731343 35.46268657],0
v2,1,0.010502,6.54764,[35 50] ; [28 15],[41.8359375 43.1640625] ; [21.1640625 21.8359375],0
u1,1,0.026365,4.931948,[20 70] ; [ 3 41],[15.44776119 74.55223881] ; [ 7.55223881 36.44776119],0
r4,1,0.026365,4.931948,[70 20] ; [41  3],[74.55223881 15.44776119] ; [36.44776119  7.55223881],0
a8,1,0.028983,4.768612,[ 4 80] ; [ 7 36],[ 7.27559055 76.72440945] ; [ 3.72440945 39.27559055],0
p4,1,0.063914,3.432781,[26 63] ; [20 24],[30.78195489 58.21804511] ; [15.21804511 28.78195489],0
r3,1,0.064918,3.407066,[76 14] ; [42  2],[79.25373134 10.74626866] ; [38.74626866  5.25373134],0
a3,1,0.067278,3.348208,[61 28] ; [23 21],[56.21052632 32.78947368] ; [27.78947368 16.21052632],0
p10,1,0.075689,3.155122,[50 38] ; [32 12],[54.66666667 33.33333333] ; [27.33333333 16.66666667],0
s2,1,0.080512,3.054545,[32 56] ; [23 21],[36.66666667 51.33333333] ; [18.33333333 25.66666667],0
d3,1,0.086435,2.939542,[55 35] ; [20 24],[50.37313433 39.62686567] ; [24.62686567 19.37313433],0
s3,1,0.089745,2.878939,[32 55] ; [23 21],[36.52671756 50.47328244] ; [18.47328244 25.52671756],0
d2,1,0.109394,2.56296,[47 41] ; [17 27],[42.66666667 45.33333333] ; [21.33333333 22.66666667],0
b4,1,0.109403,2.562819,[58 32] ; [22 22],[53.73134328 36.26865672] ; [26.26865672 17.73134328],0
n3,1,0.193153,1.6934,[21 12] ; [7 1],[22.53658537 10.46341463] ; [5.46341463 2.53658537],0
s5,1,0.238621,1.388724,[23 62] ; [16 27],[25.8984375 59.1015625] ; [13.1015625 29.8984375],0
a6,1,0.269468,1.219452,[58 32] ; [24 20],[55.07462687 34.92537313] ; [26.92537313 17.07462687],0
s8,1,0.278052,1.176589,[33 57] ; [20 23],[35.86466165 54.13533835] ; [17.13533835 25.86466165],0
s6,1,0.318816,0.993799,[52 37] ; [29 14],[54.61363636 34.38636364] ; [26.38636364 16.61363636],0
p5,1,0.351305,0.868738,[ 6 82] ; [ 5 38],[ 7.38931298 80.61068702] ; [ 3.61068702 39.38931298],0
u2,1,0.356024,0.851868,[14 15] ; [ 7 13],[12.42857143 16.57142857] ; [ 8.57142857 11.42857143],0
b5,1,0.357753,0.845766,[54 36] ; [30 14],[56.41791045 33.58208955] ; [27.58208955 16.41791045],0
a4,1,0.385372,0.753495,[41 47] ; [17 27],[38.66666667 49.33333333] ; [19.33333333 24.66666667],0
a5,1,0.390381,0.737755,[60 30] ; [26 18],[57.76119403 32.23880597] ; [28.23880597 15.76119403],0
r1,1,0.403629,0.697488,[59 31] ; [32 12],[61.11940299 28.88059701] ; [29.88059701 14.11940299],0
p9,1,0.433158,0.61434,[52 33] ; [30 14],[54.03100775 30.96899225] ; [27.96899225 16.03100775],0
r2,1,0.4415,0.59238,[79 10] ; [40  3],[80.23484848  8.76515152] ; [38.76515152  4.23484848],0
b2,1,0.475745,0.508602,[22 33] ; [10 21],[20.46511628 34.53488372] ; [11.53488372 19.46511628],0
b3,1,0.475745,0.508602,[22 33] ; [10 21],[20.46511628 34.53488372] ; [11.53488372 19.46511628],0
v4,1,0.476939,0.505855,[78 12] ; [40  4],[79.25373134 10.74626866] ; [38.74626866  5.25373134],0
