Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.47112,[71 12] ; [19 23],[59.76 23.24] ; [30.24 11.76],1
a5,1,0.000516,12.056455,[51 32] ; [12 30],[41.832 41.168] ; [21.168 20.832],1
d4,1,0.001134,10.595659,[71 12] ; [25 17],[63.744 19.256] ; [32.256  9.744],0
p11,1,0.006644,7.366769,[60 23] ; [20 22],[53.12 29.88] ; [26.88 15.12],0
r2,1,0.012637,6.219244,[76  7] ; [30 10],[71.52845528 11.47154472] ; [34.47154472  5.52845528],0
v2,1,0.023048,5.164879,[42 38] ; [13 29],[36.06557377 43.93442623] ; [18.93442623 23.06557377],0
a4,1,0.036972,4.35172,[31 52] ; [ 8 34],[25.896 57.104] ; [13.104 28.896],0
r3,1,0.039968,4.219224,[76  7] ; [33  9],[72.376 10.624] ; [36.624  5.376],0
a3,1,0.042054,4.133021,[58 25] ; [21 20],[52.87903226 30.12096774] ; [26.12096774 14.87903226],0
n1,1,0.066977,3.355592,[ 8 16] ; [ 1 13],[ 5.68421053 18.31578947] ; [ 3.31578947 10.68421053],0
v1,1,0.08305,3.004183,[29 53] ; [ 8 32],[24.86885246 57.13114754] ; [12.13114754 27.86885246],0
n4,1,0.085784,2.951753,[39 44] ; [13 29],[34.528 48.472] ; [17.472 24.528],0
d1,1,0.087446,2.920774,[41 42] ; [14 28],[36.52 46.48] ; [18.48 23.52],0
s2,1,0.090227,2.870325,[10 73] ; [10 32],[13.28 69.72] ; [ 6.72 35.28],0
d5,1,0.091498,2.847815,[61 22] ; [24 17],[56.89516129 26.10483871] ; [28.10483871 12.89516129],0
d3,1,0.101841,2.676467,[57 26] ; [22 19],[52.87903226 30.12096774] ; [26.12096774 14.87903226],0
v4,1,0.104485,2.635714,[73  9] ; [32  9],[70. 12.] ; [35.  6.],0
n6,1,0.1462,2.111457,[42 41] ; [27 15],[45.816 37.184] ; [23.184 18.816],0
s5,1,0.175494,1.835376,[ 7 73] ; [ 7 34],[ 9.25619835 70.74380165] ; [ 4.74380165 36.25619835],0
a6,1,0.179334,1.803131,[50 33] ; [20 22],[46.48 36.52] ; [23.52 18.48],0
