Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.003788,8.382536,[30 12] ; [ 7 14],[24.66666667 17.33333333] ; [12.33333333  8.66666667],0
n1,1,0.017911,5.604848,[1 9] ; [4 2],[3.125 6.875] ; [1.875 4.125],0
p10,1,0.018653,5.533784,[29 13] ; [ 8 13],[24.66666667 17.33333333] ; [12.33333333  8.66666667],0
a6,1,0.039818,4.22561,[31 11] ; [10 11],[27.33333333 14.66666667] ; [13.66666667  7.33333333],0
v2,1,0.069182,3.302329,[29 13] ; [ 9 11],[25.74193548 16.25806452] ; [12.25806452  7.74193548],0
r3,1,0.091612,2.845814,[38  5] ; [15  6],[35.609375  7.390625] ; [17.390625  3.609375],0
u1,1,0.094398,2.79772,[ 9 34] ; [ 1 20],[ 6.71875 36.28125] ; [ 3.28125 17.71875],0
r4,1,0.121239,2.40124,[36  7] ; [14  7],[33.59375  9.40625] ; [16.40625  4.59375],0
d1,1,0.129239,2.301626,[23 20] ; [ 7 14],[20.15625 22.84375] ; [ 9.84375 11.15625],0
p9,1,0.145187,2.122105,[28 14] ; [10 11],[25.33333333 16.66666667] ; [12.66666667  8.33333333],0
s8,1,0.145187,2.122105,[14 28] ; [11 10],[16.66666667 25.33333333] ; [ 8.33333333 12.66666667],0
r2,1,0.157206,2.000894,[41  2] ; [17  3],[39.58730159  3.41269841] ; [18.41269841  1.58730159],0
p3,1,0.180346,1.794767,[11 31] ; [ 9 12],[13.33333333 28.66666667] ; [ 6.66666667 14.33333333],0
p12,1,0.19084,1.711122,[ 7 36] ; [ 1 20],[ 5.375 37.625] ; [ 2.625 18.375],0
v4,1,0.207595,1.588122,[38  5] ; [16  5],[36.28125  6.71875] ; [17.71875  3.28125],0
d2,1,0.21226,1.555948,[23 19] ; [ 8 13],[20.66666667 21.33333333] ; [10.33333333 10.66666667],0
a4,1,0.213628,1.546667,[17 26] ; [ 5 16],[14.78125 28.21875] ; [ 7.21875 13.78125],0
n2,1,0.235246,1.408861,[6 5] ; [5 1],[7.11764706 3.88235294] ; [3.88235294 2.11764706],0
p1,1,0.268635,1.223702,[ 6 37] ; [ 1 20],[ 4.703125 38.296875] ; [ 2.296875 18.703125],0
p4,1,0.297064,1.087328,[11 30] ; [ 8 12],[12.7704918 28.2295082] ; [ 6.2295082 13.7704918],0
s6,1,0.318074,0.99685,[30 13] ; [12  9],[28.21875 14.78125] ; [13.78125  7.21875],0
u2,1,0.41923,0.652473,[9 3] ; [4 3],[8.21052632 3.78947368] ; [4.78947368 2.21052632],0
b1,1,0.425944,0.633857,[16 27] ; [10 11],[17.46875 25.53125] ; [ 8.53125 12.46875],0
b5,1,0.427285,0.630193,[25 18] ; [10 11],[23.515625 19.484375] ; [11.484375  9.515625],0
b3,1,0.446089,0.580571,[ 9 17] ; [7 8],[10.14634146 15.85365854] ; [5.85365854 9.14634146],0
b2,1,0.446089,0.580571,[ 9 17] ; [7 8],[10.14634146 15.85365854] ; [5.85365854 9.14634146],0
a8,1,0.476004,0.508004,[ 4 34] ; [ 1 19],[ 3.27586207 34.72413793] ; [ 1.72413793 18.27586207],0
n6,1,0.530335,0.39375,[33  9] ; [15  6],[32. 10.] ; [16.  5.],0
p11,1,0.538638,0.37807,[26 17] ; [11 10],[24.859375 18.140625] ; [12.140625  8.859375],0
s1,1,0.548671,0.359703,[ 4 39] ; [ 3 18],[ 4.703125 38.296875] ; [ 2.296875 18.703125],0
r1,1,0.562341,0.335667,[32 11] ; [17  4],[32.921875 10.078125] ; [16.078125  4.921875],0
s7,1,0.580602,0.305263,[20 18] ; [ 9 11],[19. 19.] ; [10. 10.],0
n3,1,0.589639,0.290909,[5 6] ; [3 2],[5.5 5.5] ; [2.5 2.5],0
p8,1,0.591537,0.287951,[13 30] ; [ 5 16],[12.09375 30.90625] ; [ 5.90625 15.09375],0
s5,1,0.591537,0.287951,[13 30] ; [ 5 16],[12.09375 30.90625] ; [ 5.90625 15.09375],0
a1,1,0.614884,0.253125,[ 6 37] ; [ 2 19],[ 5.375 37.625] ; [ 2.625 18.375],0
n5,1,0.655505,0.19903,[31 12] ; [14  7],[30.234375 12.765625] ; [14.765625  6.234375],0
a3,1,0.655505,0.19903,[31 12] ; [14  7],[30.234375 12.765625] ; [14.765625  6.234375],0
b4,1,0.66369,0.189072,[27 16] ; [12  9],[26.203125 16.796875] ; [12.796875  8.203125],0
p6,1,0.702189,0.146205,[10 33] ; [ 4 17],[ 9.40625 33.59375] ; [ 4.59375 16.40625],0
a5,1,0.746636,0.104379,[29 14] ; [15  6],[29.5625 13.4375] ; [14.4375  6.5625],0
v1,1,0.776511,0.080581,[21 22] ; [ 9 11],[20.47619048 22.52380952] ; [ 9.52380952 10.47619048],0
s2,1,0.795601,0.067104,[19 24] ; [10 11],[19.484375 23.515625] ; [ 9.515625 11.484375],0
