Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.193249,[ 3 31] ; [19  7],[12.46666667 21.53333333] ; [ 9.53333333 16.46666667],1
p2,1,0.000729,11.414463,[ 7 27] ; [16  9],[13.25423729 20.74576271] ; [ 9.74576271 15.25423729],1
p11,1,0.006995,7.274168,[ 8 26] ; [15 11],[13.03333333 20.96666667] ; [ 9.96666667 16.03333333],0
r3,1,0.010274,6.586841,[13 21] ; [18  7],[17.86440678 16.13559322] ; [13.13559322 11.86440678],0
r4,1,0.035222,4.434389,[ 5 29] ; [10 16],[ 8.5 25.5] ; [ 6.5 19.5],0
n2,1,0.041227,4.166667,[ 6 14] ; [4 1],[ 8. 12.] ; [2. 3.],0
n1,1,0.069816,3.287338,[ 7 13] ; [4 1],[ 8.8 11.2] ; [2.2 2.8],0
n6,1,0.084304,2.979911,[11 22] ; [14 11],[14.22413793 18.77586207] ; [10.77586207 14.22413793],0
n3,1,0.084835,2.969746,[ 7 12] ; [4 1],[ 8.70833333 10.29166667] ; [2.29166667 2.70833333],0
a5,1,0.0859,2.949571,[16 18] ; [18  8],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
p4,1,0.121264,2.40092,[ 8 26] ; [11 15],[10.76666667 23.23333333] ; [ 8.23333333 17.76666667],0
v2,1,0.121264,2.40092,[ 8 26] ; [11 15],[10.76666667 23.23333333] ; [ 8.23333333 17.76666667],0
p7,1,0.127892,2.317906,[ 7 27] ; [10 16],[ 9.63333333 24.36666667] ; [ 7.36666667 18.63333333],0
d5,1,0.134328,2.241758,[17 17] ; [18  8],[19.83333333 14.16666667] ; [15.16666667 10.83333333],0
b4,1,0.170816,1.875771,[19 15] ; [19  7],[21.53333333 12.46666667] ; [16.46666667  9.53333333],0
p5,1,0.19684,1.665665,[ 1 32] ; [ 3 23],[ 2.23728814 30.76271186] ; [ 1.76271186 24.23728814],0
p3,1,0.223397,1.482415,[ 7 27] ; [ 9 17],[ 9.06666667 24.93333333] ; [ 6.93333333 19.06666667],0
b1,1,0.233384,1.420118,[17 17] ; [17  9],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
a3,1,0.250864,1.318486,[18 15] ; [18  8],[20.13559322 12.86440678] ; [15.86440678 10.13559322],0
r2,1,0.299588,1.076029,[18 15] ; [17  8],[19.9137931 13.0862069] ; [15.0862069  9.9137931],0
a7,1,0.329662,0.950226,[14 20] ; [14 12],[15.86666667 18.13333333] ; [12.13333333 13.86666667],0
n5,1,0.332641,0.938591,[18 16] ; [17  9],[19.83333333 14.16666667] ; [15.16666667 10.83333333],0
s3,1,0.339005,0.91419,[10 23] ; [11 15],[11.74576271 21.25423729] ; [ 9.25423729 16.74576271],0
s6,1,0.345009,0.891731,[ 8 26] ; [ 9 17],[ 9.63333333 24.36666667] ; [ 7.36666667 18.63333333],0
v1,1,0.345009,0.891731,[ 8 26] ; [ 9 17],[ 9.63333333 24.36666667] ; [ 7.36666667 18.63333333],0
a8,1,0.37649,0.782131,[ 2 32] ; [ 3 21],[ 2.93103448 31.06896552] ; [ 2.06896552 21.93103448],0
s7,1,0.382193,0.763636,[ 5 27] ; [ 6 18],[ 6.28571429 25.71428571] ; [ 4.71428571 19.28571429],0
s1,1,0.401694,0.703248,[ 5 29] ; [ 2 24],[ 3.96666667 30.03333333] ; [ 3.03333333 22.96666667],0
p6,1,0.423777,0.639817,[ 3 30] ; [ 4 21],[ 3.98275862 29.01724138] ; [ 3.01724138 21.98275862],0
d2,1,0.481961,0.494424,[17 16] ; [11 15],[15.66101695 17.33898305] ; [12.33898305 13.66101695],0
d4,1,0.489731,0.477117,[22 12] ; [19  7],[23.23333333 10.76666667] ; [17.76666667  8.23333333],0
s2,1,0.565357,0.330513,[ 7 27] ; [ 7 19],[ 7.93333333 26.06666667] ; [ 6.06666667 19.93333333],0
