Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000129,14.657143,[ 8 34] ; [11  4],[14. 28.] ; [ 5. 10.],1
d3,1,0.000495,12.132665,[14 27] ; [13  2],[19.76785714 21.23214286] ; [7.23214286 7.76785714],1
a2,1,0.004316,8.145989,[ 1 41] ; [ 4 11],[ 3.68421053 38.31578947] ; [ 1.31578947 13.68421053],0
a5,1,0.013395,6.11619,[18 24] ; [12  3],[22.10526316 19.89473684] ; [7.89473684 7.10526316],0
a7,1,0.013395,6.11619,[18 24] ; [12  3],[22.10526316 19.89473684] ; [7.89473684 7.10526316],0
p5,1,0.013746,6.070461,[ 3 38] ; [ 5 10],[ 5.85714286 35.14285714] ; [ 2.14285714 12.85714286],0
v2,1,0.01427,6.004411,[16 26] ; [10  3],[19.85454545 22.14545455] ; [6.14545455 6.85454545],0
a3,1,0.016161,5.785279,[21 20] ; [13  2],[24.89285714 16.10714286] ; [9.10714286 5.89285714],0
r2,1,0.019252,5.478456,[18 20] ; [11  2],[21.60784314 16.39215686] ; [7.39215686 5.60784314],0
p10,1,0.025831,4.967301,[25 16] ; [13  1],[28.32727273 12.67272727] ; [9.67272727 4.32727273],0
a6,1,0.030048,4.706571,[20 22] ; [12  3],[23.57894737 18.42105263] ; [8.42105263 6.57894737],0
n3,1,0.068108,3.328047,[13  6] ; [2 5],[10.96153846  8.03846154] ; [4.03846154 2.96153846],0
s2,1,0.069574,3.293048,[17 25] ; [9 4],[19.85454545 22.14545455] ; [6.14545455 6.85454545],0
u1,1,0.073322,3.207033,[ 2 40] ; [ 3 12],[ 3.68421053 38.31578947] ; [ 1.31578947 13.68421053],0
p1,1,0.102966,2.658995,[ 1 41] ; [ 2 13],[ 2.21052632 39.78947368] ; [ 0.78947368 14.21052632],0
v3,1,0.132529,2.262626,[ 7 35] ; [5 9],[ 9. 33.] ; [ 3. 11.],0
n4,1,0.158291,1.990476,[22 20] ; [11  4],[24.31578947 17.68421053] ; [8.68421053 6.31578947],0
s7,1,0.166386,1.915203,[14 25] ; [8 6],[16.18867925 22.81132075] ; [5.81132075 8.18867925],0
n5,1,0.178473,1.810291,[24 17] ; [11  3],[26.09090909 14.90909091] ; [8.90909091 5.09090909],0
v4,1,0.209304,1.576236,[25 14] ; [10  2],[26.76470588 12.23529412] ; [8.23529412 3.76470588],0
r1,1,0.217948,1.517833,[ 9 33] ; [5 8],[10.69090909 31.30909091] ; [3.30909091 9.69090909],0
s5,1,0.238839,1.387435,[ 7 33] ; [4 8],[ 8.46153846 31.53846154] ; [2.53846154 9.46153846],0
p9,1,0.261049,1.263187,[27 15] ; [12  3],[28.73684211 13.26315789] ; [10.26315789  4.73684211],0
p11,1,0.261049,1.263187,[27 15] ; [12  3],[28.73684211 13.26315789] ; [10.26315789  4.73684211],0
p2,1,0.266636,1.233974,[35  7] ; [9 4],[33.6  8.4] ; [10.4  2.6],0
a4,1,0.315603,1.00708,[11 31] ; [6 9],[12.52631579 29.47368421] ; [ 4.47368421 10.52631579],0
b5,1,0.341221,0.905839,[25 17] ; [11  4],[26.52631579 15.47368421] ; [9.47368421 5.52631579],0
r3,1,0.367971,0.810507,[26 15] ; [10  3],[27.33333333 13.66666667] ; [8.66666667 4.33333333],0
b4,1,0.389015,0.742018,[17 25] ; [8 7],[18.42105263 23.57894737] ; [6.57894737 8.42105263],0
b3,1,0.451198,0.56764,[ 5 22] ; [3 7],[ 5.83783784 21.16216216] ; [2.16216216 7.83783784],0
b2,1,0.451198,0.56764,[ 5 22] ; [3 7],[ 5.83783784 21.16216216] ; [2.16216216 7.83783784],0
s8,1,0.494525,0.466667,[11 31] ; [5 9],[12. 30.] ; [ 4. 10.],0
p6,1,0.537467,0.380254,[15 26] ; [6 7],[15.94444444 25.05555556] ; [5.05555556 7.94444444],0
u3,1,0.636302,0.223611,[ 7 14] ; [1 1],[ 7.30434783 13.69565217] ; [0.69565217 1.30434783],0
n6,1,0.637016,0.222667,[22 19] ; [6 7],[21.25925926 19.74074074] ; [6.74074074 6.25925926],0
p3,1,0.641509,0.216774,[18 24] ; [7 7],[18.75 23.25] ; [6.25 7.75],0
p8,1,0.701511,0.146905,[21 20] ; [8 6],[21.61818182 19.38181818] ; [7.38181818 6.61818182],0
u2,1,0.715501,0.132844,[12  7] ; [1 1],[11.76190476  7.23809524] ; [1.23809524 0.76190476],0
s4,1,0.72158,0.126984,[10 32] ; [ 4 10],[10.5 31.5] ; [ 3.5 10.5],0
p12,1,0.731871,0.1174,[ 2 40] ; [ 1 13],[ 2.25 39.75] ; [ 0.75 13.25],0
s1,1,0.737038,0.112747,[ 4 38] ; [ 1 14],[ 3.68421053 38.31578947] ; [ 1.31578947 13.68421053],0
p4,1,0.752044,0.099822,[25 17] ; [9 5],[25.5 16.5] ; [8.5 5.5],0
v1,1,0.765697,0.088809,[17 24] ; [6 7],[17.46296296 23.53703704] ; [5.53703704 7.46296296],0
s6,1,0.770471,0.085123,[23 19] ; [6 6],[22.55555556 19.44444444] ; [6.44444444 5.55555556],0
a1,1,0.776725,0.080423,[ 2 40] ; [ 1 14],[ 2.21052632 39.78947368] ; [ 0.78947368 14.21052632],0
s3,1,0.879168,0.023111,[21 19] ; [6 6],[20.76923077 19.23076923] ; [6.23076923 5.76923077],0
n2,1,0.908433,0.013229,[14  5] ; [5 2],[13.88461538  5.11538462] ; [5.11538462 1.88461538],0
b1,1,0.974258,0.001041,[25 17] ; [9 6],[25.05263158 16.94736842] ; [8.94736842 6.05263158],0
a8,1,0.981807,0.00052,[ 3 37] ; [ 1 12],[ 3.01886792 36.98113208] ; [ 0.98113208 12.01886792],0
