Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7.7e-05,15.639336,[17  8] ; [35 94],[ 8.44155844 16.55844156] ; [43.55844156 85.44155844],1
s4,1,0.014115,6.023727,[ 6 19] ; [ 10 120],[ 2.58064516 22.41935484] ; [ 13.41935484 116.58064516],0
n1,1,0.019247,5.478896,[5 5] ; [ 7 37],[2.22222222 7.77777778] ; [ 9.77777778 34.22222222],0
s7,1,0.026417,4.928491,[10 15] ; [24 99],[ 5.74324324 19.25675676] ; [28.25675676 94.74324324],0
d2,1,0.029491,4.738708,[14 11] ; [43 87],[ 9.19354839 15.80645161] ; [47.80645161 82.19354839],0
a6,1,0.045642,3.99474,[10 15] ; [80 50],[14.51612903 10.48387097] ; [75.48387097 54.51612903],0
p5,1,0.049111,3.871547,[ 3 22] ; [  4 126],[ 1.12903226 23.87096774] ; [  5.87096774 124.12903226],0
n4,1,0.074568,3.179487,[ 6 19] ; [56 74],[10. 15.] ; [52. 78.],0
u1,1,0.09149,2.847953,[ 3 22] ; [  5 125],[ 1.29032258 23.70967742] ; [  6.70967742 123.29032258],0
p10,1,0.139898,2.17908,[17  8] ; [67 62],[13.63636364 11.36363636] ; [70.36363636 58.63636364],0
s3,1,0.143633,2.138602,[ 8 16] ; [ 25 101],[ 5.28 18.72] ; [27.72 98.28],0
p4,1,0.186335,1.746357,[12 13] ; [44 85],[ 9.09090909 15.90909091] ; [46.90909091 82.09090909],0
p7,1,0.199336,1.647231,[16  9] ; [65 65],[13.06451613 11.93548387] ; [67.93548387 62.06451613],0
b1,1,0.204455,1.61026,[ 7 18] ; [54 76],[ 9.83870968 15.16129032] ; [51.16129032 78.83870968],0
b5,1,0.206893,1.593035,[12 13] ; [80 50],[14.83870968 10.16129032] ; [77.16129032 52.83870968],0
u2,1,0.244504,1.354435,[3 5] ; [28 19],[4.50909091 3.49090909] ; [26.49090909 20.50909091],0
p6,1,0.270572,1.213846,[ 7 17] ; [ 24 101],[ 4.99328859 19.00671141] ; [26.00671141 98.99328859],0
n6,1,0.302922,1.061285,[17  8] ; [74 56],[14.67741935 10.32258065] ; [76.32258065 53.67741935],0
p1,1,0.308678,1.036325,[ 3 22] ; [  8 120],[ 1.79738562 23.20261438] ; [  9.20261438 118.79738562],0
s8,1,0.343497,0.897336,[ 6 19] ; [ 21 109],[ 4.35483871 20.64516129] ; [ 22.64516129 107.35483871],0
r1,1,0.345136,0.89126,[20  5] ; [92 38],[18.06451613  6.93548387] ; [93.93548387 36.06451613],0
d5,1,0.383344,0.759952,[20  5] ; [93 37],[18.22580645  6.77419355] ; [94.77419355 35.22580645],0
r2,1,0.396329,0.719435,[22  2] ; [109  19],[20.68421053  3.31578947] ; [110.31578947  17.68421053],0
