Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,25.214928,[81 78] ; [ 38 122],[59.31347962 99.68652038] ; [ 59.68652038 100.31347962],1
s2,1,1e-06,24.763342,[64 96] ; [ 24 135],[ 44.13793103 115.86206897] ; [ 43.86206897 115.13793103],1
s5,1,0.000163,14.221396,[ 48 112] ; [ 20 138],[ 34.21383648 125.78616352] ; [ 33.78616352 124.21383648],1
r4,1,0.000232,13.550388,[149  14] ; [123  38],[136.83950617  26.16049383] ; [135.16049383  25.83950617],1
s4,1,0.000249,13.418962,[ 33 124] ; [ 11 150],[ 21.72327044 135.27672956] ; [ 22.27672956 138.72327044],1
p4,1,0.002157,9.410775,[96 66] ; [67 92],[82.26168224 79.73831776] ; [80.73831776 78.26168224],0
p2,1,0.002864,8.892181,[135  27] ; [110  49],[123.64485981  38.35514019] ; [121.35514019  37.64485981],0
s8,1,0.002972,8.824831,[ 40 123] ; [ 19 142],[ 29.68209877 133.31790123] ; [ 29.31790123 131.68209877],0
p10,1,0.003188,8.696675,[134  26] ; [111  48],[122.88401254  37.11598746] ; [122.11598746  36.88401254],0
v4,1,0.003298,8.634636,[154   9] ; [136  25],[145.89506173  17.10493827] ; [144.10493827  16.89506173],0
r3,1,0.006899,7.299185,[152  11] ; [133  26],[144.27018634  18.72981366] ; [140.72981366  18.27018634],0
r1,1,0.007237,7.213298,[128  34] ; [105  55],[117.22360248  44.77639752] ; [115.77639752  44.22360248],0
p7,1,0.009425,6.740474,[100  59] ; [77 82],[88.5 70.5] ; [88.5 70.5],0
v1,1,0.013519,6.099873,[94 65] ; [72 87],[83. 76.] ; [83. 76.],0
p12,1,0.026653,4.913129,[ 13 149] ; [  4 156],[  8.55279503 153.44720497] ; [  8.44720497 151.55279503],0
p6,1,0.029927,4.713499,[ 52 108] ; [ 34 123],[ 43.40694006 116.59305994] ; [ 42.59305994 114.40694006],0
p11,1,0.039917,4.221401,[134  29] ; [117  44],[126.27469136  36.72530864] ; [124.72530864  36.27469136],0
p9,1,0.048461,3.893928,[133  27] ; [117  41],[125.78616352  34.21383648] ; [124.21383648  33.78616352],0
d5,1,0.053575,3.725892,[134  29] ; [118  43],[126.77777778  36.22222222] ; [125.22222222  35.77777778],0
b5,1,0.056378,3.640854,[107  56] ; [89 72],[98.60493827 64.39506173] ; [97.39506173 63.60493827],0
n6,1,0.065764,3.385718,[141  21] ; [127  33],[134.83229814  27.16770186] ; [133.16770186  26.83229814],0
a7,1,0.075366,3.16211,[121  41] ; [105  55],[113.70186335  48.29813665] ; [112.29813665  47.70186335],0
d3,1,0.082408,3.016765,[109  54] ; [92 68],[101.43343653  61.56656347] ; [99.56656347 60.43343653],0
p1,1,0.086705,2.934502,[  8 154] ; [ 16 145],[ 12.0371517 149.9628483] ; [ 11.9628483 149.0371517],0
b1,1,0.090715,2.861647,[ 54 109] ; [68 93],[ 61.37654321 101.62345679] ; [ 60.62345679 100.37654321],0
u1,1,0.091766,2.843118,[ 24 139] ; [ 14 147],[ 19.11728395 143.88271605] ; [ 18.88271605 142.11728395],0
s1,1,0.099205,2.71828,[  1 157] ; [  5 153],[  3. 155.] ; [  3. 155.],0
p8,1,0.099497,2.713581,[81 79] ; [65 92],[73.69085174 86.30914826] ; [72.30914826 84.69085174],0
d4,1,0.100456,2.698295,[129  34] ; [114  46],[122.62848297  40.37151703] ; [120.37151703  39.62848297],0
d2,1,0.15017,2.070521,[67 95] ; [78 80],[73.40625 88.59375] ; [71.59375 86.40625],0
a1,1,0.178153,1.812966,[  5 158] ; [ 10 151],[  7.5462963 155.4537037] ; [  7.4537037 153.5462963],0
b4,1,0.180637,1.792374,[104  59] ; [91 70],[98.10185185 64.89814815] ; [96.89814815 64.10185185],0
a8,1,0.196716,1.666593,[ 24 127] ; [ 16 132],[ 20.2006689 130.7993311] ; [ 19.7993311 128.2006689],0
v2,1,0.229485,1.444049,[80 72] ; [70 83],[74.75409836 77.24590164] ; [75.24590164 77.75409836],0
a4,1,0.238367,1.390226,[62 99] ; [72 88],[67.20872274 93.79127726] ; [66.79127726 93.20872274],0
u3,1,0.259033,1.273917,[34 32] ; [24 34],[30.87096774 35.12903226] ; [27.12903226 30.87096774],0
p5,1,0.265335,1.240706,[ 13 148] ; [  8 152],[ 10.53271028 150.46728972] ; [ 10.46728972 149.53271028],0
r2,1,0.300121,1.073658,[150  13] ; [140  18],[147.25856698  15.74143302] ; [142.74143302  15.25856698],0
p3,1,0.35112,0.869404,[69 93] ; [ 60 100],[64.90062112 97.09937888] ; [64.09937888 95.90062112],0
n3,1,0.384351,0.756737,[25  8] ; [30 15],[23.26923077  9.73076923] ; [31.73076923 13.26923077],0
a3,1,0.405419,0.692195,[97 65] ; [103  57],[100.62111801  61.37888199] ; [99.37888199 60.62111801],0
u2,1,0.430699,0.620937,[32 33] ; [24 33],[29.83606557 35.16393443] ; [26.16393443 30.83606557],0
b2,1,0.467974,0.526756,[28 56] ; [37 59],[30.33333333 53.66666667] ; [34.66666667 61.33333333],0
b3,1,0.467974,0.526756,[28 56] ; [37 59],[30.33333333 53.66666667] ; [34.66666667 61.33333333],0
n2,1,0.494106,0.467574,[26  8] ; [32 14],[24.65  9.35] ; [33.35 12.65],0
n4,1,0.513112,0.427716,[139  24] ; [133  28],[136.83950617  26.16049383] ; [135.16049383  25.83950617],0
a2,1,0.543207,0.369628,[ 31 132] ; [ 35 126],[ 33.2037037 129.7962963] ; [ 32.7962963 128.2037037],0
u4,1,0.569145,0.324115,[  2 161] ; [  1 160],[  1.50925926 161.49074074] ; [  1.49074074 159.50925926],0
a5,1,0.605449,0.266856,[108  55] ; [111  50],[110.17592593  52.82407407] ; [108.82407407  52.17592593],0
v3,1,0.841997,0.039736,[ 51 104] ; [ 50 107],[ 50.17628205 104.82371795] ; [ 50.82371795 106.17628205],0
a6,1,0.867922,0.027655,[112  51] ; [112  49],[112.69135802  50.30864198] ; [111.30864198  49.69135802],0
n1,1,0.893276,0.017999,[13 20] ; [18 26],[13.28571429 19.71428571] ; [17.71428571 26.28571429],0
d1,1,0.915777,0.011184,[86 77] ; [84 77],[85.52469136 77.47530864] ; [84.47530864 76.52469136],0
