Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,180.183922,[ 33 140] ; [199  33],[99.10123457 73.89876543] ; [132.89876543  99.10123457],1
s6,1,0.0,51.775513,[93 78] ; [197  30],[124.59798995  46.40201005] ; [165.40201005  61.59798995],1
s8,1,0.0,49.499926,[ 53 119] ; [153  78],[87.92059553 84.07940447] ; [118.07940447 112.92059553],1
s7,1,0.0,48.921285,[ 54 109] ; [154  69],[87.83419689 75.16580311] ; [120.16580311 102.83419689],1
s5,1,0.0,30.418504,[ 44 126] ; [118 102],[70.61538462 99.38461538] ; [ 91.38461538 128.61538462],1
p12,1,0.000625,11.698522,[  8 164] ; [ 35 193],[ 18.49 153.51] ; [ 24.51 203.49],1
s4,1,0.009459,6.734078,[ 17 153] ; [ 45 186],[ 26.28428928 143.71571072] ; [ 35.71571072 195.28428928],0
a3,1,0.012597,6.22489,[125  49] ; [190  41],[135.33333333  38.66666667] ; [179.66666667  51.33333333],0
r2,1,0.020887,5.336224,[160  13] ; [225   6],[164.86386139   8.13613861] ; [220.13613861  10.86386139],0
p1,1,0.02173,5.267302,[  8 167] ; [ 25 205],[ 14.25925926 160.74074074] ; [ 18.74074074 211.25925926],0
r3,1,0.03455,4.467262,[164  11] ; [226   5],[168.10344828   6.89655172] ; [221.89655172   9.10344828],0
u4,1,0.040961,4.177623,[  2 173] ; [ 11 221],[  5.58968059 169.41031941] ; [  7.41031941 224.58968059],0
n1,1,0.04566,3.994107,[ 9 21] ; [25 22],[13.24675325 16.75324675] ; [20.75324675 26.24675325],0
u2,1,0.057304,3.613738,[25 24] ; [29 12],[29.4 19.6] ; [24.6 16.4],0
s1,1,0.089712,2.879527,[  2 172] ; [  9 220],[  4.74937965 169.25062035] ; [  6.25062035 222.74937965],0
n5,1,0.101104,2.688042,[133  42] ; [190  40],[139.56790123  35.43209877] ; [183.43209877  46.56790123],0
u3,1,0.112765,2.515032,[29 21] ; [31 11],[32.60869565 17.39130435] ; [27.39130435 14.60869565],0
a1,1,0.117944,2.44441,[  7 168] ; [ 18 214],[ 10.74938575 164.25061425] ; [ 14.25061425 217.74938575],0
p9,1,0.128932,2.305316,[147  25] ; [207  22],[151.840399  20.159601] ; [202.159601  26.840399],0
p6,1,0.136319,2.219023,[ 68 102] ; [106 117],[75.26717557 94.73282443] ; [ 98.73282443 124.26717557],0
p5,1,0.167309,1.906894,[ 21 152] ; [ 39 189],[ 25.88528678 147.11471322] ; [ 34.11471322 193.88528678],0
p10,1,0.173418,1.853144,[140  32] ; [197  31],[144.91  27.09] ; [192.09  35.91],0
p2,1,0.201866,1.628824,[154  18] ; [196  34],[149.75124378  22.24875622] ; [200.24875622  29.75124378],0
b5,1,0.207375,1.589661,[117  58] ; [141  91],[110.93366093  64.06633907] ; [147.06633907  84.93366093],0
a2,1,0.211613,1.560355,[ 43 132] ; [ 70 162],[ 48.58722359 126.41277641] ; [ 64.41277641 167.58722359],0
v3,1,0.231691,1.430451,[80 90] ; [118 104],[85.86734694 84.13265306] ; [112.13265306 109.86734694],0
n2,1,0.239351,1.38441,[20 10] ; [37 10],[22.20779221  7.79220779] ; [34.79220779 12.20779221],0
n4,1,0.24522,1.350333,[135  40] ; [189  42],[139.65517241  35.34482759] ; [184.34482759  46.65517241],0
a7,1,0.251878,1.312855,[131  44] ; [161  70],[125.86206897  49.13793103] ; [166.13793103  64.86206897],0
v4,1,0.276617,1.183635,[167   8] ; [226   6],[168.98034398   6.01965602] ; [224.01965602   7.98034398],0
d2,1,0.299639,1.075801,[89 86] ; [130 102],[94.16461916 80.83538084] ; [124.83538084 107.16461916],0
a6,1,0.305429,1.050339,[125  50] ; [154  77],[120.25862069  54.74137931] ; [158.74137931  72.25862069],0
p11,1,0.36414,0.823566,[137  38] ; [190  42],[140.6019656  34.3980344] ; [186.3980344  45.6019656],0
r4,1,0.388953,0.742212,[158  17] ; [215  17],[160.38083538  14.61916462] ; [212.61916462  19.38083538],0
p8,1,0.453807,0.561127,[97 73] ; [138  89],[100.62972292  69.37027708] ; [134.37027708  92.62972292],0
p4,1,0.48079,0.49707,[110  63] ; [154  76],[113.33002481  59.66997519] ; [150.66997519  79.33002481],0
d1,1,0.551353,0.3549,[122  53] ; [168  64],[124.69287469  50.30712531] ; [165.30712531  66.69287469],0
n3,1,0.564544,0.331897,[20  9] ; [30 18],[18.83116883 10.16883117] ; [31.16883117 16.83116883],0
d5,1,0.57376,0.316432,[157  18] ; [204  28],[155.22113022  19.77886978] ; [205.77886978  26.22113022],0
n6,1,0.574841,0.31465,[147  27] ; [198  31],[148.95781638  25.04218362] ; [196.04218362  32.95781638],0
p7,1,0.60425,0.268634,[117  55] ; [155  65],[119.34693878  52.65306122] ; [152.65306122  67.34693878],0
