Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.325384,[26  5] ; [33 66],[14.06923077 16.93076923] ; [44.93076923 54.06923077],1
p10,1,5.6e-05,16.222688,[22  7] ; [33 65],[12.55905512 16.44094488] ; [42.44094488 55.55905512],1
s8,1,0.000127,14.690127,[15 16] ; [15 84],[ 7.15384615 23.84615385] ; [22.84615385 76.15384615],1
s2,1,0.000215,13.69322,[19 12] ; [25 74],[10.49230769 20.50769231] ; [33.50769231 65.49230769],1
r4,1,0.0011,10.651146,[27  4] ; [54 45],[19.31538462 11.68461538] ; [61.68461538 37.31538462],0
r3,1,0.004515,8.064257,[27  3] ; [62 37],[20.69767442  9.30232558] ; [68.30232558 30.69767442],0
d4,1,0.005632,7.664417,[27  4] ; [59 39],[20.66666667 10.33333333] ; [65.33333333 32.66666667],0
v1,1,0.007122,7.241841,[15 15] ; [24 75],[ 9.06976744 20.93023256] ; [29.93023256 69.06976744],0
p9,1,0.007301,7.197481,[22  8] ; [43 52],[15.6 14.4] ; [49.4 45.6],0
s3,1,0.010116,6.614389,[20 11] ; [37 60],[13.8046875 17.1953125] ; [43.1953125 53.8046875],0
v4,1,0.011816,6.33833,[29  2] ; [71 28],[23.84615385  7.15384615] ; [76.15384615 22.84615385],0
p4,1,0.011843,6.334276,[17 13] ; [31 68],[11.1627907 18.8372093] ; [36.8372093 62.1627907],0
d5,1,0.014009,6.037007,[26  5] ; [58 39],[20.34375 10.65625] ; [63.65625 33.34375],0
r2,1,0.014048,6.032136,[30  1] ; [75 22],[25.4296875  5.5703125] ; [79.5703125 17.4296875],0
s4,1,0.014879,5.93077,[10 21] ; [13 86],[ 5.48461538 25.51538462] ; [17.51538462 81.48461538],0
d2,1,0.01809,5.587406,[20 11] ; [39 58],[14.2890625 16.7109375] ; [44.7109375 52.2890625],0
s7,1,0.020412,5.376344,[14 13] ; [26 67],[ 9. 18.] ; [31. 62.],0
a4,1,0.021983,5.247134,[17 14] ; [31 66],[11.625 19.375] ; [36.375 60.625],0
a3,1,0.024772,5.039745,[24  6] ; [55 41],[18.80952381 11.19047619] ; [60.19047619 35.80952381],0
p2,1,0.02972,4.72539,[23  8] ; [51 47],[17.78294574 13.21705426] ; [56.21705426 41.78294574],0
d1,1,0.041865,4.140664,[18 13] ; [37 62],[13.11538462 17.88461538] ; [41.88461538 57.11538462],0
d3,1,0.065051,3.403676,[22  9] ; [50 46],[17.57480315 13.42519685] ; [54.42519685 41.57480315],0
n2,1,0.090092,2.872727,[11  3] ; [25 22],[8.26229508 5.73770492] ; [27.73770492 19.26229508],0
n6,1,0.108973,2.569057,[23  8] ; [57 41],[19.2248062 11.7751938] ; [60.7751938 37.2248062],0
a5,1,0.172071,1.864808,[20 11] ; [50 49],[16.69230769 14.30769231] ; [53.30769231 45.69230769],0
a8,1,0.204213,1.611988,[ 5 25] ; [ 8 86],[ 3.14516129 26.85483871] ; [ 9.85483871 84.14516129],0
u2,1,0.208872,1.579227,[4 3] ; [14 29],[2.52 4.48] ; [15.48 27.52],0
s1,1,0.213108,1.550183,[ 1 28] ; [11 88],[ 2.71875 26.28125] ; [ 9.28125 89.71875],0
u1,1,0.269963,1.216937,[ 5 26] ; [ 9 90],[ 3.33846154 27.66153846] ; [10.66153846 88.33846154],0
b4,1,0.293693,1.102614,[19 12] ; [50 49],[16.45384615 14.54615385] ; [52.54615385 46.45384615],0
r1,1,0.352706,0.863698,[20 10] ; [56 42],[17.8125 12.1875] ; [58.1875 39.8125],0
u4,1,0.381734,0.765111,[ 1 30] ; [ 1 98],[ 0.47692308 30.52307692] ; [ 1.52307692 97.47692308],0
p6,1,0.427816,0.628746,[ 7 24] ; [16 82],[ 5.52713178 25.47286822] ; [17.47286822 80.52713178],0
n3,1,0.431156,0.619708,[9 5] ; [23 21],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
a1,1,0.45046,0.569494,[ 2 29] ; [11 88],[ 3.1 27.9] ; [ 9.9 89.1],0
v3,1,0.476692,0.506423,[ 8 23] ; [19 77],[ 6.59055118 24.40944882] ; [20.40944882 75.59055118],0
a2,1,0.578941,0.30795,[ 6 25] ; [15 84],[ 5.00769231 25.99230769] ; [15.99230769 83.00769231],0
p7,1,0.596646,0.280084,[14 17] ; [39 59],[12.73643411 18.26356589] ; [40.26356589 57.73643411],0
p3,1,0.611645,0.257786,[11 20] ; [30 68],[ 9.85271318 21.14728682] ; [31.14728682 66.85271318],0
b1,1,0.624409,0.239719,[20 11] ; [59 40],[18.83846154 12.16153846] ; [60.16153846 38.83846154],0
p5,1,0.656713,0.197541,[ 3 28] ; [ 7 90],[ 2.421875 28.578125] ; [ 7.578125 89.421875],0
p8,1,0.68462,0.164971,[ 8 23] ; [29 69],[ 8.89147287 22.10852713] ; [28.10852713 69.89147287],0
p12,1,0.696438,0.152204,[ 1 30] ; [ 2 97],[ 0.71538462 30.28461538] ; [ 2.28461538 96.71538462],0
b2,1,0.741135,0.109132,[5 9] ; [19 42],[4.48 9.52] ; [19.52 41.48],0
b3,1,0.741135,0.109132,[5 9] ; [19 42],[4.48 9.52] ; [19.52 41.48],0
p1,1,0.785201,0.074282,[ 4 27] ; [11 88],[ 3.57692308 27.42307692] ; [11.42307692 87.57692308],0
a6,1,0.785655,0.073961,[17 14] ; [51 47],[16.34108527 14.65891473] ; [51.65891473 46.34108527],0
n1,1,0.863772,0.029438,[6 7] ; [20 26],[5.72881356 7.27118644] ; [20.27118644 25.72881356],0
a7,1,0.899627,0.01591,[20 11] ; [62 36],[19.70542636 11.29457364] ; [62.29457364 35.70542636],0
n5,1,0.929105,0.007916,[20 11] ; [63 36],[19.79230769 11.20769231] ; [63.20769231 35.79230769],0
