Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001209,10.476852,[246  64] ; [16 14],[238.88235294  71.11764706] ; [23.11764706  6.88235294],0
s6,1,0.03874,4.27225,[134 173] ; [19 11],[139.37982196 167.62017804] ; [13.62017804 16.37982196],0
n4,1,0.07267,3.22166,[224  86] ; [17 13],[219.73529412  90.26470588] ; [21.26470588  8.73529412],0
d2,1,0.097182,2.751193,[131 179] ; [ 8 22],[126.73529412 183.26470588] ; [12.26470588 17.73529412],0
n6,1,0.100423,2.698818,[238  71] ; [27  3],[241.54867257  67.45132743] ; [23.45132743  6.54867257],0
a4,1,0.105125,2.626024,[129 179] ; [ 8 22],[124.84023669 183.15976331] ; [12.15976331 17.84023669],0
p11,1,0.122228,2.38853,[236  74] ; [19 11],[232.5  77.5] ; [22.5  7.5],0
d3,1,0.128283,2.313164,[229  80] ; [26  4],[232.43362832  76.56637168] ; [22.56637168  7.43362832],0
a8,1,0.1338,2.247856,[ 37 239] ; [ 1 27],[ 34.5 241.5] ; [ 3.5 24.5],0
a2,1,0.189936,1.718115,[ 74 236] ; [ 4 26],[ 71.11764706 238.88235294] ; [ 6.88235294 23.11764706],0
n2,1,0.218772,1.512405,[50 30] ; [6 1],[51.49425287 28.50574713] ; [4.50574713 2.49425287],0
v4,1,0.304567,1.054088,[282  27] ; [29  1],[283.47787611  25.52212389] ; [27.52212389  2.47787611],0
b4,1,0.326759,0.961699,[178 132] ; [20 10],[180.52941176 129.47058824] ; [17.47058824 12.52941176],0
u2,1,0.332621,0.938667,[56 44] ; [4 6],[54.54545455 45.45454545] ; [5.45454545 4.54545455],0
b1,1,0.332689,0.938401,[110 200] ; [ 8 22],[107.58823529 202.41176471] ; [10.41176471 19.58823529],0
r4,1,0.391197,0.735217,[266  44] ; [24  6],[264.41176471  45.58823529] ; [25.58823529  4.41176471],0
p2,1,0.393728,0.727399,[247  62] ; [22  8],[245.19469027  63.80530973] ; [23.80530973  6.19469027],0
s5,1,0.395775,0.721125,[ 45 260] ; [ 6 23],[ 46.57185629 258.42814371] ; [ 4.42814371 24.57185629],0
d1,1,0.410243,0.678096,[169 141] ; [14 16],[166.85294118 143.14705882] ; [16.14705882 13.85294118],0
r2,1,0.419019,0.653065,[278  27] ; [26  4],[276.7761194  28.2238806] ; [27.2238806  2.7761194],0
s7,1,0.419512,0.651682,[ 78 213] ; [ 6 24],[ 76.14953271 214.85046729] ; [ 7.85046729 22.14953271],0
d5,1,0.42018,0.649811,[256  54] ; [23  7],[254.38235294  55.61764706] ; [24.61764706  5.38235294],0
u1,1,0.445955,0.580912,[ 47 263] ; [ 3 27],[ 45.58823529 264.41176471] ; [ 4.41176471 25.58823529],0
p8,1,0.514983,0.42393,[155 148] ; [13 16],[153.3253012 149.6746988] ; [14.6746988 14.3253012],0
v2,1,0.559914,0.339853,[165 132] ; [15 15],[163.48623853 133.51376147] ; [16.51376147 13.48623853],0
p4,1,0.562537,0.33533,[158 151] ; [17 13],[159.51327434 149.48672566] ; [15.48672566 14.51327434],0
v1,1,0.564455,0.332048,[148 155] ; [13 17],[146.4954955 156.5045045] ; [14.5045045 15.4954955],0
b5,1,0.585958,0.296701,[191 119] ; [20 10],[192.38235294 117.61764706] ; [18.61764706 11.38235294],0
p3,1,0.600024,0.27496,[139 170] ; [12 18],[137.63716814 171.36283186] ; [13.36283186 16.63716814],0
r3,1,0.615386,0.252406,[286  23] ; [27  3],[285.30088496  23.69911504] ; [27.69911504  2.30088496],0
p9,1,0.61546,0.2523,[236  69] ; [22  8],[234.89552239  70.10447761] ; [23.10447761  6.89552239],0
r1,1,0.624937,0.23899,[238  70] ; [22  8],[236.92307692  71.07692308] ; [23.07692308  6.92307692],0
p5,1,0.65582,0.198641,[ 28 280] ; [ 2 28],[ 27.33727811 280.66272189] ; [ 2.66272189 27.33727811],0
v3,1,0.660573,0.192829,[106 196] ; [ 9 20],[104.9244713 197.0755287] ; [10.0755287 18.9244713],0
p10,1,0.701821,0.146585,[224  81] ; [23  7],[224.88059701  80.11940299] ; [22.11940299  7.88059701],0
n1,1,0.714027,0.134288,[28 50] ; [3 4],[28.44705882 49.55294118] ; [2.55294118 4.44705882],0
u3,1,0.715868,0.132486,[56 44] ; [5 5],[55.45454545 44.54545455] ; [5.54545455 4.45454545],0
a1,1,0.763236,0.090742,[ 14 296] ; [ 1 29],[ 13.67647059 296.32352941] ; [ 1.32352941 28.67647059],0
s3,1,0.779253,0.078564,[ 68 238] ; [ 6 24],[ 67.39285714 238.60714286] ; [ 6.60714286 23.39285714],0
p6,1,0.812669,0.056161,[ 85 219] ; [ 9 21],[ 85.55688623 218.44311377] ; [ 8.44311377 21.55688623],0
p12,1,0.813354,0.055744,[ 13 294] ; [ 1 29],[ 12.7537092 294.2462908] ; [ 1.2462908 28.7537092],0
p7,1,0.81417,0.055248,[179 125] ; [17 13],[178.39520958 125.60479042] ; [17.60479042 12.39520958],0
n3,1,0.831058,0.045516,[54 26] ; [5 2],[54.25287356 25.74712644] ; [4.74712644 2.25287356],0
s8,1,0.840195,0.040661,[ 77 231] ; [ 7 23],[ 76.5443787 231.4556213] ; [ 7.4556213 22.5443787],0
p1,1,0.872883,0.025599,[ 23 285] ; [ 2 28],[ 22.78106509 285.21893491] ; [ 2.21893491 27.78106509],0
a3,1,0.874359,0.025003,[209  98] ; [20 10],[208.61424332  98.38575668] ; [20.38575668  9.61424332],0
b2,1,0.889866,0.019175,[ 60 121] ; [ 6 13],[ 59.73 121.27] ; [ 6.27 12.73],0
b3,1,0.889866,0.019175,[ 60 121] ; [ 6 13],[ 59.73 121.27] ; [ 6.27 12.73],0
n5,1,0.933373,0.006989,[203 105] ; [20 10],[203.20710059 104.79289941] ; [19.79289941 10.20710059],0
d4,1,0.933495,0.006964,[246  64] ; [24  6],[246.17647059  63.82352941] ; [23.82352941  6.17647059],0
a5,1,0.940968,0.005484,[219  91] ; [21  9],[218.82352941  91.17647059] ; [21.17647059  8.82352941],0
