Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000248,13.430193,[20  4] ; [28 42],[12.25531915 11.74468085] ; [35.74468085 34.25531915],1
r1,1,0.010728,6.50984,[22  3] ; [44 29],[16.83673469  8.16326531] ; [49.16326531 23.83673469],0
u1,1,0.010896,6.482123,[ 7 18] ; [ 6 68],[ 3.28282828 21.71717172] ; [ 9.71717172 64.28282828],0
p8,1,0.012832,6.19219,[16  8] ; [27 45],[10.75 13.25] ; [32.25 39.75],0
p12,1,0.014009,6.037048,[ 4 20] ; [ 2 71],[ 1.48453608 22.51546392] ; [ 4.51546392 68.48453608],0
b1,1,0.014359,5.993514,[ 4 21] ; [32 42],[ 9.09090909 15.90909091] ; [26.90909091 47.09090909],0
s4,1,0.028802,4.779394,[ 5 20] ; [33 41],[ 9.5959596 15.4040404] ; [28.4040404 45.5959596],0
a5,1,0.028802,4.779394,[20  5] ; [41 33],[15.4040404  9.5959596] ; [45.5959596 28.4040404],0
r4,1,0.0434,4.079772,[24  1] ; [58 16],[20.70707071  4.29292929] ; [61.29292929 12.70707071],0
v1,1,0.047646,3.922425,[16  9] ; [30 43],[11.73469388 13.26530612] ; [34.26530612 38.73469388],0
a2,1,0.062893,3.459399,[ 7 18] ; [ 9 65],[ 4.04040404 20.95959596] ; [11.95959596 62.04040404],0
p6,1,0.115986,2.470703,[ 5 19] ; [28 45],[ 8.16494845 15.83505155] ; [24.83505155 48.16494845],0
d3,1,0.118021,2.443389,[20  5] ; [46 27],[16.83673469  8.16326531] ; [49.16326531 23.83673469],0
a7,1,0.134182,2.243437,[21  4] ; [50 23],[18.1122449  6.8877551] ; [52.8877551 20.1122449],0
n6,1,0.137978,2.200362,[18  6] ; [43 31],[14.93877551  9.06122449] ; [46.06122449 27.93877551],0
b2,1,0.225179,1.471057,[5 6] ; [10 28],[3.36734694 7.63265306] ; [11.63265306 26.36734694],0
b3,1,0.225179,1.471057,[5 6] ; [10 28],[3.36734694 7.63265306] ; [11.63265306 26.36734694],0
u2,1,0.234314,1.414482,[6 2] ; [16 15],[4.51282051 3.48717949] ; [17.48717949 13.51282051],0
s5,1,0.23451,1.413299,[14 10] ; [31 39],[11.4893617 12.5106383] ; [33.5106383 36.4893617],0
d4,1,0.237441,1.39572,[22  3] ; [57 17],[19.94949495  5.05050505] ; [59.05050505 14.94949495],0
a6,1,0.237644,1.394515,[20  5] ; [50 24],[17.67676768  7.32323232] ; [52.32323232 21.67676768],0
a3,1,0.321947,0.981021,[17  8] ; [42 32],[14.8989899 10.1010101] ; [44.1010101 29.8989899],0
p7,1,0.323798,0.973545,[16  7] ; [40 29],[14.  9.] ; [42. 27.],0
p9,1,0.338034,0.917874,[20  3] ; [56 16],[18.4  4.6] ; [57.6 14.4],0
b4,1,0.385721,0.752389,[16  9] ; [40 34],[14.14141414 10.85858586] ; [41.85858586 32.14141414],0
