Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,27.320784,[10  1] ; [13 64],[2.875 8.125] ; [20.125 56.875],1
p5,1,7.9e-05,15.582977,[3 8] ; [ 1 79],[ 0.48351648 10.51648352] ; [ 3.51648352 76.48351648],1
s3,1,0.001152,10.566349,[9 2] ; [25 55],[4.10989011 6.89010989] ; [29.89010989 50.10989011],0
p10,1,0.003576,8.487723,[9 1] ; [33 47],[4.66666667 5.33333333] ; [37.33333333 42.66666667],0
p11,1,0.004307,8.149639,[9 2] ; [30 52],[4.61290323 6.38709677] ; [34.38709677 47.61290323],0
s2,1,0.010248,6.591277,[6 5] ; [16 66],[2.60215054 8.39784946] ; [19.39784946 62.60215054],0
s6,1,0.013342,6.123146,[7 4] ; [22 60],[3.43010753 7.56989247] ; [25.56989247 56.43010753],0
p9,1,0.021765,5.264487,[9 2] ; [35 43],[5.43820225 5.56179775] ; [38.56179775 39.43820225],0
p6,1,0.025347,5.0,[3 7] ; [ 6 74],[1. 9.] ; [ 8. 72.],0
d4,1,0.056562,3.635428,[10  1] ; [50 31],[7.17391304 3.82608696] ; [52.82608696 28.17391304],0
n2,1,0.061514,3.496098,[6 1] ; [20 22],[3.71428571 3.28571429] ; [22.28571429 19.71428571],0
n1,1,0.070701,3.266667,[4 3] ; [10 32],[2. 5.] ; [12. 30.],0
p2,1,0.071083,3.257837,[8 3] ; [35 45],[5.1978022 5.8021978] ; [37.8021978 42.1978022],0
v4,1,0.079115,3.082985,[9 2] ; [42 36],[6.30337079 4.69662921] ; [44.69662921 33.30337079],0
u3,1,0.114179,2.495411,[2 1] ; [ 9 28],[0.825 2.175] ; [10.175 26.825],0
n4,1,0.129214,2.301926,[9 2] ; [47 34],[6.69565217 4.30434783] ; [49.30434783 31.69565217],0
r3,1,0.135756,2.225414,[8 3] ; [38 40],[5.68539326 5.31460674] ; [40.31460674 37.68539326],0
v2,1,0.142667,2.148957,[6 5] ; [25 53],[3.83146067 7.16853933] ; [27.16853933 50.83146067],0
p7,1,0.155079,2.021566,[4 5] ; [18 61],[2.25 6.75] ; [19.75 59.25],0
d1,1,0.187123,1.740128,[6 5] ; [28 54],[4.02150538 6.97849462] ; [29.97849462 52.02150538],0
b3,1,0.222023,1.491246,[2 7] ; [19 24],[3.63461538 5.36538462] ; [17.36538462 25.63461538],0
b2,1,0.222023,1.491246,[2 7] ; [19 24],[3.63461538 5.36538462] ; [17.36538462 25.63461538],0
r1,1,0.248583,1.331249,[5 6] ; [23 58],[3.34782609 7.65217391] ; [24.65217391 56.34782609],0
