Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,4e-06,21.176306,[ 9 28] ; [67 31],[20.82962963 16.17037037] ; [55.17037037 42.82962963],1
a6,1,1.7e-05,18.517915,[12 25] ; [72 27],[22.85294118 14.14705882] ; [61.14705882 37.85294118],1
d2,1,0.000611,11.741708,[14 23] ; [68 29],[22.64179104 14.35820896] ; [59.35820896 37.64179104],1
a3,1,0.001648,9.904935,[20 17] ; [80 19],[27.20588235  9.79411765] ; [72.79411765 26.20588235],0
s5,1,0.006279,7.468459,[ 3 31] ; [31 63],[ 9.03125 24.96875] ; [24.96875 69.03125],0
d1,1,0.00968,6.692947,[20 17] ; [76 23],[26.11764706 10.88235294] ; [69.88235294 29.11764706],0
n5,1,0.012974,6.172612,[16 21] ; [66 33],[22.30882353 14.69117647] ; [59.69117647 39.30882353],0
u2,1,0.024737,5.042211,[13  4] ; [ 7 11],[9.71428571 7.28571429] ; [10.28571429  7.71428571],0
s7,1,0.050093,3.838331,[10 24] ; [45 47],[14.84126984 19.15873016] ; [40.15873016 51.84126984],0
s8,1,0.073722,3.198149,[10 27] ; [43 55],[14.52592593 22.47407407] ; [38.47407407 59.52592593],0
p9,1,0.084806,2.970296,[16 18] ; [62 35],[20.24427481 13.75572519] ; [57.75572519 39.24427481],0
a1,1,0.096425,2.763705,[ 1 36] ; [12 87],[ 3.53676471 33.46323529] ; [ 9.46323529 89.53676471],0
n4,1,0.100632,2.695495,[19 18] ; [66 33],[23.125 13.875] ; [61.875 37.125],0
b2,1,0.12103,2.403947,[ 4 15] ; [29 43],[ 6.89010989 12.10989011] ; [26.10989011 45.89010989],0
b3,1,0.12103,2.403947,[ 4 15] ; [29 43],[ 6.89010989 12.10989011] ; [26.10989011 45.89010989],0
u3,1,0.137111,2.210091,[13  4] ; [10  9],[10.86111111  6.13888889] ; [12.13888889  6.86111111],0
p3,1,0.143356,2.141561,[ 8 29] ; [34 64],[11.51111111 25.48888889] ; [30.48888889 67.51111111],0
b5,1,0.212095,1.557066,[26 11] ; [58 41],[22.85294118 14.14705882] ; [61.14705882 37.85294118],0
s2,1,0.27886,1.172635,[13 24] ; [45 54],[15.77941176 21.22058824] ; [42.22058824 56.77941176],0
b4,1,0.289231,1.123199,[25 12] ; [57 42],[22.30882353 14.69117647] ; [59.69117647 39.30882353],0
s3,1,0.322473,0.97889,[14 22] ; [48 51],[16.53333333 19.46666667] ; [45.46666667 53.53333333],0
v1,1,0.32276,0.977728,[11 26] ; [37 58],[13.45454545 23.54545455] ; [34.54545455 60.45454545],0
p5,1,0.33878,0.915042,[ 1 35] ; [ 7 90],[ 2.16541353 33.83458647] ; [ 5.83458647 91.16541353],0
r2,1,0.340075,0.910149,[31  5] ; [88  8],[32.45454545  3.54545455] ; [86.54545455  9.45454545],0
a7,1,0.36985,0.804169,[22 15] ; [67 32],[24.21323529 12.78676471] ; [64.78676471 34.21323529],0
d3,1,0.36985,0.804169,[22 15] ; [67 32],[24.21323529 12.78676471] ; [64.78676471 34.21323529],0
p6,1,0.390516,0.737336,[ 5 31] ; [20 78],[ 6.71641791 29.28358209] ; [18.28358209 79.71641791],0
p4,1,0.408961,0.681818,[10 26] ; [35 64],[12. 24.] ; [33. 66.],0
r1,1,0.416996,0.658766,[27 10] ; [65 34],[25.02941176 11.97058824] ; [66.97058824 32.02941176],0
s6,1,0.461092,0.543243,[18 18] ; [56 42],[19.88059701 16.11940299] ; [54.11940299 43.88059701],0
p8,1,0.515698,0.422488,[ 6 31] ; [21 78],[ 7.34558824 29.65441176] ; [19.65441176 79.34558824],0
p10,1,0.5289,0.396504,[18 17] ; [57 42],[19.58955224 15.41044776] ; [55.41044776 43.58955224],0
n2,1,0.543243,0.369562,[6 5] ; [29 16],[6.875 4.125] ; [28.125 16.875],0
u4,1,0.552955,0.35205,[ 1 36] ; [ 5 94],[ 1.63235294 35.36764706] ; [ 4.36764706 94.63235294],0
a8,1,0.597434,0.278883,[ 2 33] ; [ 8 86],[ 2.71317829 32.28682171] ; [ 7.28682171 86.71317829],0
s1,1,0.639684,0.219156,[ 3 33] ; [ 6 93],[ 2.4 33.6] ; [ 6.6 92.4],0
r4,1,0.644342,0.213109,[28  9] ; [71 28],[26.93382353 10.06617647] ; [72.06617647 26.93382353],0
n1,1,0.681771,0.168139,[4 7] ; [19 25],[4.6 6.4] ; [18.4 25.6],0
n6,1,0.68407,0.16558,[27 10] ; [68 30],[26.03703704 10.96296296] ; [68.96296296 29.03703704],0
d4,1,0.698775,0.14975,[32  5] ; [88 11],[32.64705882  4.35294118] ; [87.35294118 11.64705882],0
p7,1,0.714651,0.133676,[12 23] ; [30 67],[11.13636364 23.86363636] ; [30.86363636 66.13636364],0
n3,1,0.740572,0.109624,[7 4] ; [25 18],[6.51851852 4.48148148] ; [25.48148148 17.51851852],0
s4,1,0.792989,0.06887,[ 8 29] ; [19 78],[ 7.45522388 29.54477612] ; [19.54477612 77.45522388],0
r3,1,0.811992,0.056576,[30  7] ; [82 17],[30.47058824  6.52941176] ; [81.52941176 17.47058824],0
b1,1,0.847205,0.037128,[18 19] ; [50 49],[18.5 18.5] ; [49.5 49.5],0
v3,1,0.857555,0.032216,[12 23] ; [30 62],[11.57480315 23.42519685] ; [30.42519685 61.57480315],0
v4,1,0.894758,0.0175,[31  6] ; [82 17],[30.74264706  6.25735294] ; [82.25735294 16.74264706],0
v2,1,0.905452,0.014108,[19 17] ; [48 45],[18.69767442 17.30232558] ; [48.30232558 44.69767442],0
p11,1,0.929994,0.007718,[19 18] ; [50 49],[18.77205882 18.22794118] ; [50.22794118 48.77205882],0
