Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,105.022122,[22 47] ; [239  28],[53.59821429 15.40178571] ; [207.40178571  59.59821429],1
s7,1,0.000238,13.506019,[42 23] ; [217  39],[52.44548287 12.55451713] ; [206.55451713  49.44548287],1
n1,1,0.021489,5.28667,[ 3 13] ; [31 30],[7.06493506 8.93506494] ; [26.93506494 34.06493506],0
n2,1,0.021827,5.259563,[8 8] ; [48 13],[11.63636364  4.36363636] ; [44.36363636 16.63636364],0
p2,1,0.024312,5.072213,[52 17] ; [230  36],[58.08358209 10.91641791] ; [223.91641791  42.08358209],0
u2,1,0.028055,4.824658,[19  3] ; [32 21],[14.96  7.04] ; [36.04 16.96],0
a3,1,0.033703,4.509709,[47 22] ; [213  53],[53.55223881 15.44776119] ; [206.44776119  59.55223881],0
r2,1,0.034722,4.458791,[62  6] ; [255   8],[65.12386707  2.87613293] ; [251.87613293  11.12386707],0
p11,1,0.06412,3.427468,[50 19] ; [220  47],[55.44642857 13.55357143] ; [214.55357143  52.44642857],0
d1,1,0.11088,2.54163,[40 29] ; [182  85],[45.58928571 23.41071429] ; [176.41071429  90.58928571],0
a6,1,0.124251,2.362898,[41 28] ; [184  82],[46.34328358 22.65671642] ; [178.65671642  87.34328358],0
p1,1,0.134136,2.243967,[ 4 65] ; [ 32 233],[ 7.43712575 61.56287425] ; [ 28.56287425 236.43712575],0
n6,1,0.145993,2.113624,[57 12] ; [236  29],[60.52994012  8.47005988] ; [232.47005988  32.52994012],0
p8,1,0.147237,2.100644,[33 33] ; [158 106],[38.2 27.8] ; [152.8 111.2],0
s4,1,0.155772,2.014794,[10 58] ; [ 60 206],[14.25149701 53.74850299] ; [ 55.74850299 210.25149701],0
n5,1,0.156029,2.0123,[51 18] ; [217  49],[55.2 13.8] ; [212.8  53.2],0
s5,1,0.157049,2.002412,[27 40] ; [128 128],[32.15170279 34.84829721] ; [122.84829721 133.15170279],0
p6,1,0.194428,1.683744,[37 32] ; [118 145],[32.21385542 36.78614458] ; [122.78614458 140.21385542],0
b5,1,0.212364,1.55524,[47 22] ; [160 107],[42.50892857 26.49107143] ; [164.49107143 102.50892857],0
p5,1,0.242071,1.368492,[ 8 61] ; [ 46 218],[11.18918919 57.81081081] ; [ 42.81081081 221.18918919],0
d4,1,0.266325,1.235577,[56 13] ; [230  36],[58.90746269 10.09253731] ; [227.09253731  38.90746269],0
n3,1,0.27888,1.172539,[9 7] ; [43 18],[10.80519481  5.19480519] ; [41.19480519 19.80519481],0
p9,1,0.31182,1.022949,[60  8] ; [245  21],[62.09580838  5.90419162] ; [242.90419162  23.09580838],0
v4,1,0.338182,0.917311,[66  3] ; [260   6],[67.14626866  1.85373134] ; [258.85373134   7.14626866],0
u1,1,0.340137,0.909913,[19 50] ; [ 59 208],[16.01785714 52.98214286] ; [ 61.98214286 205.01785714],0
p12,1,0.369614,0.804961,[ 6 62] ; [ 34 232],[ 8.14371257 59.85628743] ; [ 31.85628743 234.14371257],0
a5,1,0.393324,0.72864,[57 12] ; [208  59],[54.41964286 14.58035714] ; [210.58035714  56.41964286],0
d3,1,0.404131,0.696001,[45 24] ; [188  79],[47.84821429 21.15178571] ; [185.15178571  81.84821429],0
b4,1,0.554709,0.348949,[42 27] ; [152 115],[39.83928571 29.16071429] ; [154.16071429 112.83928571],0
s1,1,0.560722,0.338456,[ 2 66] ; [ 12 253],[ 2.85885886 65.14114114] ; [ 11.14114114 253.85885886],0
v2,1,0.5883,0.293007,[38 30] ; [150 102],[39.95 28.05] ; [148.05 103.95],0
p10,1,0.603209,0.270182,[59  9] ; [235  29],[60.21686747  7.78313253] ; [233.78313253  30.21686747],0
v1,1,0.610828,0.258972,[40 28] ; [158  96],[41.8136646 26.1863354] ; [156.1863354  97.8136646],0
d5,1,0.615231,0.252628,[61  8] ; [229  37],[59.73134328  9.26865672] ; [230.26865672  35.73134328],0
a8,1,0.637064,0.222602,[ 9 53] ; [ 42 205],[10.23300971 51.76699029] ; [ 40.76699029 206.23300971],0
p3,1,0.655389,0.199173,[38 31] ; [155 112],[39.63392857 29.36607143] ; [153.36607143 113.63392857],0
a2,1,0.694921,0.15381,[18 51] ; [ 76 191],[19.30357143 49.69642857] ; [ 74.69642857 192.30357143],0
b1,1,0.709055,0.139223,[28 41] ; [115 152],[29.36607143 39.63392857] ; [113.63392857 153.36607143],0
u3,1,0.724663,0.124069,[15  7] ; [39 15],[15.63157895  6.36842105] ; [38.36842105 15.63157895],0
b3,1,0.826196,0.048216,[20 27] ; [ 73 106],[19.34070796 27.65929204] ; [ 73.65929204 105.34070796],0
b2,1,0.826196,0.048216,[20 27] ; [ 73 106],[19.34070796 27.65929204] ; [ 73.65929204 105.34070796],0
n4,1,0.833269,0.044315,[57 12] ; [216  49],[56.39820359 12.60179641] ; [216.60179641  48.39820359],0
d2,1,0.868817,0.027278,[38 31] ; [150 117],[38.60714286 30.39285714] ; [149.39285714 117.60714286],0
p7,1,0.880806,0.022484,[48 20] ; [179  78],[47.49538462 20.50461538] ; [179.50461538  77.49538462],0
r3,1,0.898973,0.016119,[67  2] ; [260   7],[67.15178571  1.84821429] ; [259.84821429   7.15178571],0
p4,1,0.943594,0.005006,[47 22] ; [180  86],[46.75522388 22.24477612] ; [180.24477612  85.75522388],0
a7,1,0.949826,0.00396,[48 21] ; [184  82],[47.78507463 21.21492537] ; [184.21492537  81.78507463],0
r4,1,0.951236,0.00374,[65  4] ; [251  16],[64.89285714  4.10714286] ; [251.10714286  15.89285714],0
a1,1,0.954207,0.003298,[ 4 65] ; [ 15 252],[ 3.90178571 65.09821429] ; [ 15.09821429 251.90178571],0
v3,1,0.966354,0.001779,[30 37] ; [113 141],[29.84735202 37.15264798] ; [113.15264798 140.84735202],0
r1,1,0.974234,0.001043,[59 10] ; [227  38],[59.08383234  9.91616766] ; [226.91616766  38.08383234],0
a4,1,0.98652,0.000285,[33 36] ; [128 139],[33.0625 35.9375] ; [127.9375 139.0625],0
