Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.9e-05,18.250701,[21  6] ; [ 6 23],[13.01785714 13.98214286] ; [13.98214286 15.01785714],1
p10,1,0.00013,14.642667,[19  8] ; [ 6 24],[11.84210526 15.15789474] ; [13.15789474 16.84210526],1
s6,1,0.002294,9.297652,[13 13] ; [ 4 27],[ 7.75438596 18.24561404] ; [ 9.24561404 21.75438596],0
r4,1,0.002559,9.097641,[12 15] ; [ 3 28],[ 6.98275862 20.01724138] ; [ 8.01724138 22.98275862],0
p4,1,0.003267,8.651946,[13 14] ; [ 4 27],[ 7.9137931 19.0862069] ; [ 9.0862069 21.9137931],0
p6,1,0.006557,7.390355,[ 8 19] ; [ 1 29],[ 4.26315789 22.73684211] ; [ 4.73684211 25.26315789],0
v1,1,0.0071,7.247564,[11 16] ; [ 3 27],[ 6.63157895 20.36842105] ; [ 7.36842105 22.63157895],0
p11,1,0.008902,6.842396,[18  9] ; [10 21],[13.03448276 13.96551724] ; [14.96551724 16.03448276],0
r3,1,0.014913,5.926701,[20  6] ; [14 17],[15.50877193 10.49122807] ; [18.49122807 12.50877193],0
p3,1,0.015733,5.832499,[11 16] ; [ 4 27],[ 6.98275862 20.01724138] ; [ 8.01724138 22.98275862],0
p7,1,0.019777,5.431483,[13 14] ; [ 6 25],[ 8.84482759 18.15517241] ; [10.15517241 20.84482759],0
p8,1,0.025164,5.012587,[ 9 17] ; [ 3 27],[ 5.57142857 20.42857143] ; [ 6.42857143 23.57142857],0
s2,1,0.026525,4.921459,[ 9 18] ; [ 3 28],[ 5.5862069 21.4137931] ; [ 6.4137931 24.5862069],0
r1,1,0.039158,4.253986,[16 11] ; [10 21],[12.10344828 14.89655172] ; [13.89655172 17.10344828],0
d2,1,0.044084,4.053333,[ 9 18] ; [18 12],[12.78947368 14.21052632] ; [14.21052632 15.78947368],0
s8,1,0.056445,3.638881,[ 5 22] ; [ 1 30],[ 2.79310345 24.20689655] ; [ 3.20689655 27.79310345],0
n6,1,0.057964,3.594695,[17  9] ; [12 18],[13.46428571 12.53571429] ; [15.53571429 14.46428571],0
n1,1,0.097899,2.739448,[1 6] ; [10 10],[2.85185185 4.14814815] ; [ 8.14814815 11.85185185],0
n3,1,0.116613,2.462227,[5 2] ; [ 7 12],[3.23076923 3.76923077] ; [ 8.76923077 10.23076923],0
s1,1,0.121162,2.40223,[ 1 26] ; [ 5 26],[ 2.79310345 24.20689655] ; [ 3.20689655 27.79310345],0
d3,1,0.125227,2.350703,[15 12] ; [11 20],[12.10344828 14.89655172] ; [13.89655172 17.10344828],0
v2,1,0.158035,1.992925,[11 16] ; [ 7 23],[ 8.52631579 18.47368421] ; [ 9.47368421 20.52631579],0
s5,1,0.181583,1.784622,[ 7 19] ; [ 4 27],[ 5.01754386 20.98245614] ; [ 5.98245614 25.01754386],0
p1,1,0.213079,1.55038,[ 1 26] ; [ 4 27],[ 2.32758621 24.67241379] ; [ 2.67241379 28.32758621],0
a1,1,0.213079,1.55038,[ 1 26] ; [ 4 27],[ 2.32758621 24.67241379] ; [ 2.67241379 28.32758621],0
d1,1,0.223987,1.478645,[ 8 19] ; [14 17],[10.24137931 16.75862069] ; [11.75862069 19.24137931],0
p5,1,0.25105,1.317453,[ 3 24] ; [ 1 29],[ 1.89473684 25.10526316] ; [ 2.10526316 27.89473684],0
s3,1,0.258979,1.274206,[12 15] ; [ 9 21],[ 9.94736842 17.05263158] ; [11.05263158 18.94736842],0
a5,1,0.265539,1.239649,[17 10] ; [15 16],[14.89655172 12.10344828] ; [17.10344828 13.89655172],0
b1,1,0.283832,1.148649,[16 11] ; [14 17],[13.96551724 13.03448276] ; [16.03448276 14.96551724],0
n4,1,0.34939,0.875671,[16 11] ; [22  9],[17.68965517  9.31034483] ; [20.31034483 10.68965517],0
s7,1,0.498404,0.458333,[ 6 19] ; [ 5 25],[ 5. 20.] ; [ 6. 24.],0
d5,1,0.530898,0.392672,[17 10] ; [17 14],[15.82758621 11.17241379] ; [18.17241379 12.82758621],0
s4,1,0.555757,0.347104,[ 5 22] ; [ 4 27],[ 4.18965517 22.81034483] ; [ 4.81034483 26.18965517],0
a7,1,0.611014,0.258702,[14 13] ; [14 17],[13.03448276 13.96551724] ; [14.96551724 16.03448276],0
b5,1,0.611014,0.258702,[14 13] ; [14 17],[13.03448276 13.96551724] ; [14.96551724 16.03448276],0
a2,1,0.637396,0.222164,[ 1 26] ; [ 2 29],[ 1.39655172 25.60344828] ; [ 1.60344828 29.39655172],0
a3,1,0.652577,0.202667,[16 11] ; [16 14],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
a8,1,0.660689,0.192688,[ 3 22] ; [ 5 26],[ 3.57142857 21.42857143] ; [ 4.42857143 26.57142857],0
u2,1,0.663674,0.189091,[3 8] ; [ 3 12],[2.53846154 8.46153846] ; [ 3.46153846 11.53846154],0
r2,1,0.679931,0.170203,[15 12] ; [14 14],[14.23636364 12.76363636] ; [14.76363636 13.23636364],0
n5,1,0.680656,0.169388,[16 11] ; [20 11],[16.75862069 10.24137931] ; [19.24137931 11.75862069],0
u3,1,0.734966,0.114601,[2 9] ; [ 2 13],[1.69230769 9.30769231] ; [ 2.30769231 12.69230769],0
a4,1,0.7639,0.090218,[ 8 19] ; [10 20],[ 8.52631579 18.47368421] ; [ 9.47368421 20.52631579],0
b2,1,0.780332,0.077778,[ 6 12] ; [ 9 15],[ 6.42857143 11.57142857] ; [ 8.57142857 15.42857143],0
b3,1,0.780332,0.077778,[ 6 12] ; [ 9 15],[ 6.42857143 11.57142857] ; [ 8.57142857 15.42857143],0
a6,1,0.847381,0.037041,[12 15] ; [13 18],[11.63793103 15.36206897] ; [13.36206897 17.63793103],0
d4,1,0.863534,0.029542,[18  9] ; [20 11],[17.68965517  9.31034483] ; [20.31034483 10.68965517],0
u1,1,0.886062,0.020532,[ 2 25] ; [ 2 29],[ 1.86206897 25.13793103] ; [ 2.13793103 28.86206897],0
n2,1,0.921775,0.009643,[3 4] ; [ 9 11],[3.11111111 3.88888889] ; [ 8.88888889 11.11111111],0
b4,1,0.926577,0.008492,[16 11] ; [18 13],[15.82758621 11.17241379] ; [18.17241379 12.82758621],0
