Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,8.4e-05,15.469804,[84 25] ; [96 82],[68.36236934 40.63763066] ; [111.63763066  66.36236934],1
s7,1,0.001036,10.762311,[71 37] ; [80 95],[57.6254417 50.3745583] ; [93.3745583 81.6254417],0
p12,1,0.001899,9.644775,[13 96] ; [  5 174],[  6.8125 102.1875] ; [ 11.1875 167.8125],0
s4,1,0.001978,9.569782,[33 74] ; [ 27 149],[22.68551237 84.31448763] ; [ 37.31448763 138.68551237],0
s8,1,0.007664,7.110374,[64 44] ; [ 77 102],[53.05923345 54.94076655] ; [87.94076655 91.05923345],0
p5,1,0.009589,6.709761,[12 97] ; [  6 172],[  6.83623693 102.16376307] ; [ 11.16376307 166.83623693],0
b3,1,0.018702,5.529208,[27 40] ; [23 76],[20.18072289 46.81927711] ; [29.81927711 69.18072289],0
b2,1,0.018702,5.529208,[27 40] ; [23 76],[20.18072289 46.81927711] ; [29.81927711 69.18072289],0
b5,1,0.019505,5.455643,[62 47] ; [126  53],[71.15277778 37.84722222] ; [116.84722222  62.15277778],0
a3,1,0.027791,4.840973,[80 29] ; [108  70],[71.40069686 37.59930314] ; [116.59930314  61.40069686],0
d2,1,0.031818,4.608251,[54 54] ; [ 66 112],[45.31468531 62.68531469] ; [ 74.68531469 103.31468531],0
n6,1,0.03527,4.432041,[96 12] ; [141  37],[89.4965035 18.5034965] ; [147.5034965  30.4965035],0
a4,1,0.048171,3.904008,[51 58] ; [ 62 115],[43.06643357 65.93356643] ; [ 69.93356643 107.06643357],0
a5,1,0.053999,3.712716,[83 26] ; [117  62],[75.69444444 33.30555556] ; [124.30555556  54.69444444],0
p9,1,0.057963,3.594736,[92 13] ; [140  38],[86.07773852 18.92226148] ; [145.92226148  32.07773852],0
s3,1,0.058495,3.579536,[79 26] ; [114  63],[71.86170213 33.13829787] ; [121.13829787  55.86170213],0
p10,1,0.059421,3.553466,[90 17] ; [132  45],[83.64084507 23.35915493] ; [138.35915493  38.64084507],0
a6,1,0.113209,2.508849,[66 43] ; [124  54],[72.16027875 36.83972125] ; [117.83972125  60.16027875],0
p1,1,0.113635,2.502926,[ 9 99] ; [  7 172],[  6.02090592 101.97909408] ; [  9.97909408 169.02090592],0
p6,1,0.123589,2.371243,[35 72] ; [ 43 134],[29.38732394 77.61267606] ; [ 48.61267606 128.38732394],0
u2,1,0.136382,2.218314,[13 15] ; [44 26],[16.28571429 11.71428571] ; [40.71428571 29.28571429],0
p7,1,0.145447,2.119365,[62 41] ; [88 84],[56.18181818 46.81818182] ; [93.81818182 78.18181818],0
d3,1,0.173003,1.85673,[72 37] ; [131  47],[77.09756098 31.90243902] ; [125.90243902  52.09756098],0
r4,1,0.183171,1.771703,[100   9] ; [155  24],[96.51041667 12.48958333] ; [158.48958333  20.51041667],0
r2,1,0.183324,1.770466,[101   5] ; [162  16],[98.16197183  7.83802817] ; [164.83802817  13.16197183],0
a2,1,0.199176,1.648405,[27 82] ; [ 33 146],[22.70833333 86.29166667] ; [ 37.29166667 141.70833333],0
v4,1,0.201611,1.630669,[104   3] ; [167  11],[101.74385965   5.25614035] ; [169.25614035   8.74385965],0
p11,1,0.29272,1.107068,[78 31] ; [138  41],[81.75 27.25] ; [134.25  44.75],0
d4,1,0.434988,0.609468,[91 18] ; [142  36],[88.4912892 20.5087108] ; [144.5087108  33.4912892],0
r3,1,0.464906,0.534058,[101   7] ; [170   8],[102.33566434   5.66433566] ; [168.66433566   9.33566434],0
v1,1,0.484757,0.488143,[58 50] ; [86 88],[55.14893617 52.85106383] ; [88.85106383 85.14893617],0
p8,1,0.524485,0.405065,[44 61] ; [ 67 109],[41.47686833 63.52313167] ; [ 69.52313167 106.47686833],0
n5,1,0.537572,0.380058,[82 26] ; [130  49],[79.77700348 28.22299652] ; [132.22299652  46.77700348],0
u1,1,0.556334,0.346092,[18 91] ; [ 25 154],[16.27430556 92.72569444] ; [ 26.72569444 152.27430556],0
n3,1,0.591105,0.288622,[23 10] ; [32 18],[21.86746988 11.13253012] ; [33.13253012 16.86746988],0
u4,1,0.608465,0.262417,[  2 107] ; [  5 174],[  2.64930556 106.35069444] ; [  4.35069444 174.64930556],0
v3,1,0.617496,0.249402,[39 68] ; [ 58 115],[37.06785714 69.93214286] ; [ 59.93214286 113.06785714],0
b1,1,0.624347,0.239805,[39 70] ; [ 59 120],[37.09027778 71.90972222] ; [ 60.90972222 118.09027778],0
v2,1,0.683734,0.165953,[53 51] ; [92 80],[54.63768116 49.36231884] ; [90.36231884 81.63768116],0
a7,1,0.701671,0.146739,[80 29] ; [135  44],[81.37152778 27.62847222] ; [133.62847222  45.37152778],0
d5,1,0.728583,0.120417,[87 22] ; [139  39],[85.83275261 23.16724739] ; [140.16724739  37.83275261],0
a1,1,0.780501,0.077655,[  5 104] ; [  7 172],[  4.54166667 104.45833333] ; [  7.45833333 171.54166667],0
b4,1,0.785775,0.073876,[64 45] ; [108  71],[65.09722222 43.90277778] ; [106.90277778  72.09722222],0
d1,1,0.790016,0.07091,[59 50] ; [94 85],[57.90625 51.09375] ; [95.09375 83.90625],0
u3,1,0.806831,0.059788,[18 11] ; [41 28],[17.45918367 11.54081633] ; [41.54081633 27.45918367],0
r1,1,0.8292,0.046539,[88 20] ; [144  35],[87.30313589 20.69686411] ; [144.69686411  34.30313589],0
n4,1,0.868555,0.027388,[80 28] ; [131  48],[79.40069686 28.59930314] ; [131.59930314  47.40069686],0
n2,1,0.869371,0.027046,[26  8] ; [39 11],[26.30952381  7.69047619] ; [38.69047619 11.30952381],0
p2,1,0.874408,0.024984,[85 24] ; [141  38],[85.53472222 23.46527778] ; [140.46527778  38.53472222],0
n1,1,0.898392,0.016305,[13 20] ; [19 31],[12.72289157 20.27710843] ; [19.27710843 30.72289157],0
a8,1,0.898604,0.016237,[16 80] ; [ 28 134],[16.37209302 79.62790698] ; [ 27.62790698 134.37209302],0
p4,1,0.929783,0.007765,[46 61] ; [ 76 103],[45.64335664 61.35664336] ; [ 76.35664336 102.64335664],0
s1,1,0.976754,0.000849,[  5 102] ; [  8 166],[  4.95017794 102.04982206] ; [  8.04982206 165.95017794],0
