Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,9e-06,19.797207,[21 96] ; [10  4],[27.6870229 89.3129771] ; [ 3.3129771 10.6870229],1
p1,1,3.4e-05,17.16616,[ 14 107] ; [8 7],[ 19.57352941 101.42647059] ; [ 2.42647059 12.57352941],1
p6,1,0.001751,9.793686,[32 87] ; [10  5],[37.29850746 81.70149254] ; [ 4.70149254 10.29850746],0
s7,1,0.003754,8.398947,[40 73] ; [10  3],[44.84126984 68.15873016] ; [5.15873016 7.84126984],0
p3,1,0.004057,8.258058,[49 71] ; [12  3],[54.22222222 65.77777778] ; [6.77777778 8.22222222],0
p4,1,0.013754,6.069421,[56 65] ; [12  3],[60.5 60.5] ; [7.5 7.5],0
s1,1,0.015585,5.849069,[  5 113] ; [ 3 12],[  7.09774436 110.90225564] ; [ 0.90225564 14.09774436],0
r1,1,0.030079,4.704781,[79 41] ; [14  1],[82.66666667 37.33333333] ; [10.33333333  4.66666667],0
s6,1,0.031139,4.645264,[63 55] ; [11  2],[66.65648855 51.34351145] ; [7.34351145 5.65648855],0
p12,1,0.046635,3.958505,[  7 114] ; [ 3 12],[  8.89705882 112.10294118] ; [ 1.10294118 13.89705882],0
b5,1,0.116311,2.466305,[74 47] ; [6 9],[71.17647059 49.82352941] ; [8.82352941 6.17647059],0
s8,1,0.142166,2.154359,[37 84] ; [7 7],[39.43703704 81.56296296] ; [4.56296296 9.43703704],0
p8,1,0.143645,2.138467,[52 67] ; [9 5],[54.57894737 64.42105263] ; [6.42105263 7.57894737],0
p7,1,0.150581,2.066351,[64 55] ; [11  4],[66.60447761 52.39552239] ; [8.39552239 6.60447761],0
v3,1,0.159809,1.976036,[41 77] ; [8 7],[43.47368421 74.52631579] ; [5.52631579 9.47368421],0
a8,1,0.20864,1.580841,[11 98] ; [ 3 11],[12.40650407 96.59349593] ; [ 1.59349593 12.40650407],0
s4,1,0.210075,1.570909,[24 96] ; [ 1 14],[22.22222222 97.77777778] ; [ 2.77777778 12.22222222],0
s2,1,0.264788,1.24355,[38 80] ; [7 8],[39.92481203 78.07518797] ; [5.07518797 9.92481203],0
s3,1,0.270893,1.212217,[57 60] ; [9 5],[58.94656489 58.05343511] ; [7.05343511 6.94656489],0
d5,1,0.341579,0.904497,[56 65] ; [ 5 10],[54.27205882 66.72794118] ; [6.72794118 8.27205882],0
b3,1,0.425944,0.633857,[22 57] ; [4 6],[23.07865169 55.92134831] ; [2.92134831 7.07865169],0
b2,1,0.425944,0.633857,[22 57] ; [4 6],[23.07865169 55.92134831] ; [2.92134831 7.07865169],0
p11,1,0.467424,0.528059,[86 35] ; [12  3],[87.19117647 33.80882353] ; [10.80882353  4.19117647],0
a6,1,0.476223,0.507501,[76 45] ; [8 7],[74.73529412 46.26470588] ; [9.26470588 5.73529412],0
a4,1,0.484088,0.489639,[34 85] ; [ 3 12],[32.85820896 86.14179104] ; [ 4.14179104 10.85820896],0
p2,1,0.547029,0.362667,[88 33] ; [12  3],[88.97058824 32.02941176] ; [11.02941176  3.97058824],0
r2,1,0.561276,0.3375,[106  14] ; [14  1],[106.66666667  13.33333333] ; [13.33333333  1.66666667],0
r3,1,0.583455,0.300682,[97 23] ; [13  2],[97.77777778 22.22222222] ; [12.22222222  2.77777778],0
n1,1,0.614756,0.253307,[17 16] ; [2 1],[17.41666667 15.58333333] ; [1.58333333 1.41666667],0
p9,1,0.615638,0.252047,[86 33] ; [11  3],[86.78947368 32.21052632] ; [10.21052632  3.78947368],0
a2,1,0.624036,0.240236,[ 13 108] ; [ 1 14],[ 12.45588235 108.54411765] ; [ 1.54411765 13.45588235],0
v1,1,0.644284,0.213183,[55 62] ; [8 7],[55.84090909 61.15909091] ; [7.15909091 7.84090909],0
a1,1,0.65209,0.203275,[  5 116] ; [ 1 14],[  5.33823529 115.66176471] ; [ 0.66176471 14.33823529],0
p10,1,0.72594,0.122872,[82 37] ; [11  4],[82.58955224 36.41044776] ; [10.41044776  4.58955224],0
n2,1,0.727724,0.121212,[25  8] ; [2 1],[24.75  8.25] ; [2.25 0.75],0
a5,1,0.733474,0.115946,[67 54] ; [9 6],[67.61764706 53.38235294] ; [8.38235294 6.61764706],0
d3,1,0.755487,0.096978,[37 84] ; [ 4 11],[36.47794118 84.52205882] ; [ 4.52205882 10.47794118],0
a7,1,0.779304,0.078527,[68 53] ; [9 6],[68.50735294 52.49264706] ; [8.49264706 6.50735294],0
a3,1,0.784093,0.07507,[60 59] ; [7 8],[59.5 59.5] ; [7.5 7.5],0
u3,1,0.850355,0.035595,[25 36] ; [3 5],[24.75362319 36.24637681] ; [3.24637681 4.75362319],0
d1,1,0.891135,0.018733,[  7 114] ; [ 1 14],[  7.11764706 113.88235294] ; [ 0.88235294 14.11764706],0
v2,1,0.906318,0.013849,[47 66] ; [6 9],[46.7890625 66.2109375] ; [6.2109375 8.7890625],0
u2,1,0.91995,0.0101,[24 37] ; [3 5],[23.86956522 37.13043478] ; [3.13043478 4.86956522],0
b4,1,0.929155,0.007905,[66 55] ; [8 7],[65.83823529 55.16176471] ; [8.16176471 6.83823529],0
d2,1,0.930293,0.007652,[31 90] ; [ 4 11],[31.13970588 89.86029412] ; [ 3.86029412 11.13970588],0
b1,1,0.970556,0.001362,[49 72] ; [6 9],[48.93382353 72.06617647] ; [6.06617647 8.93382353],0
