Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.006102,7.520004,[19  6] ; [16 23],[13.671875 11.328125] ; [21.328125 17.671875],0
p8,1,0.014618,5.961896,[12 12] ; [ 8 31],[ 7.61904762 16.38095238] ; [12.38095238 26.61904762],0
v3,1,0.034142,4.487578,[ 9 15] ; [ 5 31],[ 5.6 18.4] ; [ 8.4 27.6],0
r3,1,0.034696,4.460057,[22  3] ; [25 14],[18.359375  6.640625] ; [28.640625 10.359375],0
v4,1,0.057049,3.621174,[21  3] ; [25 13],[17.80645161  6.19354839] ; [28.19354839  9.80645161],0
s8,1,0.057498,3.608113,[ 9 16] ; [ 6 33],[ 5.859375 19.140625] ; [ 9.140625 29.859375],0
s7,1,0.063499,3.443547,[10 12] ; [ 8 28],[ 6.82758621 15.17241379] ; [11.17241379 24.82758621],0
d1,1,0.078089,3.104224,[11 14] ; [ 9 30],[ 7.8125 17.1875] ; [12.1875 26.8125],0
v1,1,0.092058,2.838009,[15 10] ; [15 24],[11.71875 13.28125] ; [18.28125 20.71875],0
s2,1,0.107347,2.592855,[12 13] ; [11 28],[ 8.984375 16.015625] ; [14.015625 24.984375],0
b1,1,0.111037,2.539396,[19  6] ; [22 17],[16.015625  8.984375] ; [24.984375 14.015625],0
n3,1,0.12609,2.34,[8 2] ; [8 8],[6.15384615 3.84615385] ; [9.84615385 6.15384615],0
a3,1,0.129241,2.301604,[17  8] ; [19 20],[14.0625 10.9375] ; [21.9375 17.0625],0
a4,1,0.174427,1.844474,[ 5 20] ; [14 25],[ 7.421875 17.578125] ; [11.578125 27.421875],0
p4,1,0.18021,1.795888,[13 11] ; [14 24],[10.4516129 13.5483871] ; [16.5483871 21.4516129],0
r4,1,0.18641,1.745762,[17  8] ; [20 19],[14.453125 10.546875] ; [22.546875 16.453125],0
p11,1,0.230827,1.43576,[16  9] ; [19 20],[13.671875 11.328125] ; [21.328125 17.671875],0
a1,1,0.237552,1.39506,[ 1 24] ; [ 5 34],[ 2.34375 22.65625] ; [ 3.65625 35.34375],0
s4,1,0.260766,1.264684,[ 4 21] ; [11 28],[ 5.859375 19.140625] ; [ 9.140625 29.859375],0
r1,1,0.317,1.001286,[16  9] ; [20 19],[14.0625 10.9375] ; [21.9375 17.0625],0
n1,1,0.319806,0.989741,[5 4] ; [ 6 11],[3.80769231 5.19230769] ; [7.19230769 9.80769231],0
a5,1,0.332421,0.939443,[14 11] ; [17 22],[12.109375 12.890625] ; [18.890625 20.109375],0
p6,1,0.384409,0.756554,[ 7 15] ; [ 8 29],[ 5.59322034 16.40677966] ; [ 9.40677966 27.59322034],0
b2,1,0.386095,0.751205,[6 7] ; [ 9 19],[4.75609756 8.24390244] ; [10.24390244 17.75609756],0
b3,1,0.386095,0.751205,[6 7] ; [ 9 19],[4.75609756 8.24390244] ; [10.24390244 17.75609756],0
u3,1,0.402784,0.7,[5 3] ; [ 9 11],[4. 4.] ; [10. 10.],0
p9,1,0.458032,0.550699,[14 10] ; [19 20],[12.57142857 11.42857143] ; [20.42857143 18.57142857],0
s6,1,0.486339,0.484615,[12 12] ; [16 23],[10.66666667 13.33333333] ; [17.33333333 21.66666667],0
b4,1,0.494256,0.467248,[15 10] ; [20 19],[13.671875 11.328125] ; [21.328125 17.671875],0
s5,1,0.503807,0.446907,[ 7 17] ; [ 8 29],[ 5.90163934 18.09836066] ; [ 9.09836066 27.90163934],0
r2,1,0.508508,0.437137,[20  4] ; [29  9],[18.96774194  5.03225806] ; [30.03225806  7.96774194],0
b5,1,0.510659,0.432716,[13 12] ; [17 22],[11.71875 13.28125] ; [18.28125 20.71875],0
p10,1,0.512863,0.428222,[12 11] ; [17 22],[10.75806452 12.24193548] ; [18.24193548 20.75806452],0
p1,1,0.564055,0.332732,[ 3 22] ; [ 3 36],[ 2.34375 22.65625] ; [ 3.65625 35.34375],0
n2,1,0.589951,0.29042,[8 2] ; [12  5],[7.40740741 2.59259259] ; [12.59259259  4.40740741],0
a6,1,0.599152,0.276277,[ 8 17] ; [15 24],[ 8.984375 16.015625] ; [14.015625 24.984375],0
p7,1,0.60204,0.27193,[13 11] ; [18 20],[12. 12.] ; [19. 19.],0
u2,1,0.608757,0.261988,[6 2] ; [13  7],[5.42857143 2.57142857] ; [13.57142857  6.42857143],0
s3,1,0.64504,0.212211,[13 12] ; [22 16],[13.88888889 11.11111111] ; [21.11111111 16.88888889],0
d4,1,0.687646,0.161645,[16  9] ; [23 16],[15.234375  9.765625] ; [23.765625 15.234375],0
d2,1,0.814152,0.055259,[11 14] ; [16 23],[10.546875 14.453125] ; [16.453125 22.546875],0
p5,1,0.83497,0.043402,[ 1 24] ; [ 2 37],[ 1.171875 23.828125] ; [ 1.828125 37.171875],0
a2,1,0.83497,0.043402,[ 1 24] ; [ 2 37],[ 1.171875 23.828125] ; [ 1.828125 37.171875],0
n4,1,0.865892,0.02852,[14 11] ; [21 18],[13.671875 11.328125] ; [21.328125 17.671875],0
n5,1,0.881807,0.022105,[11 14] ; [16 22],[10.71428571 14.28571429] ; [16.28571429 21.71428571],0
p2,1,0.932655,0.007141,[13 11] ; [21 17],[13.16129032 10.83870968] ; [20.83870968 17.16129032],0
d3,1,0.993343,7e-05,[ 9 16] ; [14 25],[ 8.984375 16.015625] ; [14.015625 24.984375],0
p3,1,1.0,0.0,[ 8 16] ; [13 26],[ 8. 16.] ; [13. 26.],0
