Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,7e-06,20.118112,[2 4] ; [61  4],[5.32394366 0.67605634] ; [57.67605634  7.32394366],1
r3,1,0.000131,14.62432,[3 3] ; [62  3],[5.49295775 0.50704225] ; [59.50704225  5.49295775],1
r1,1,0.000195,13.87748,[1 5] ; [54 11],[4.64788732 1.35211268] ; [50.35211268 14.64788732],1
a7,1,0.026908,4.896701,[1 5] ; [41 24],[3.54929577 2.45070423] ; [38.45070423 26.54929577],0
d2,1,0.074791,3.174615,[1 5] ; [35 29],[3.08571429 2.91428571] ; [32.91428571 31.08571429],0
a5,1,0.075311,3.163302,[2 4] ; [45 20],[3.97183099 2.02816901] ; [43.02816901 21.97183099],0
s7,1,0.133401,2.252472,[2 4] ; [40 22],[3.70588235 2.29411765] ; [38.29411765 23.70588235],0
n5,1,0.139249,2.186244,[2 4] ; [41 23],[3.68571429 2.31428571] ; [39.31428571 24.68571429],0
b4,1,0.153753,2.03462,[2 4] ; [41 24],[3.63380282 2.36619718] ; [39.36619718 25.63380282],0
d5,1,0.154602,2.026242,[3 3] ; [49 15],[4.45714286 1.54285714] ; [47.54285714 16.45714286],0
s3,1,0.271117,1.211087,[4 2] ; [54 10],[4.97142857 1.02857143] ; [53.02857143 10.97142857],0
d4,1,0.271117,1.211087,[4 2] ; [54 10],[4.97142857 1.02857143] ; [53.02857143 10.97142857],0
n3,1,0.294644,1.09828,[1 2] ; [13  7],[1.82608696 1.17391304] ; [12.17391304  7.82608696],0
v1,1,0.316375,1.003873,[4 2] ; [29 35],[2.82857143 3.17142857] ; [30.17142857 33.82857143],0
s5,1,0.329534,0.950728,[1 5] ; [23 40],[2.08695652 3.91304348] ; [21.91304348 41.08695652],0
d1,1,0.335859,0.926175,[2 4] ; [35 30],[3.12676056 2.87323944] ; [33.87323944 31.12676056],0
v3,1,0.33962,0.911864,[1 5] ; [22 39],[2.05970149 3.94029851] ; [20.94029851 40.05970149],0
n4,1,0.349798,0.874191,[3 3] ; [44 20],[4.02857143 1.97142857] ; [42.97142857 21.02857143],0
v2,1,0.372533,0.795198,[2 4] ; [33 30],[3.04347826 2.95652174] ; [31.95652174 31.04347826],0
p6,1,0.427944,0.628398,[1 5] ; [21 44],[1.85915493 4.14084507] ; [20.14084507 44.85915493],0
p2,1,0.427974,0.628314,[3 3] ; [43 22],[3.88732394 2.11267606] ; [42.11267606 22.88732394],0
p4,1,0.455761,0.556284,[4 2] ; [33 32],[3.12676056 2.87323944] ; [33.87323944 31.12676056],0
p1,1,0.458819,0.548774,[1 5] ; [ 5 59],[0.51428571 5.48571429] ; [ 5.48571429 58.51428571],0
a6,1,0.47852,0.502235,[4 2] ; [33 31],[3.17142857 2.82857143] ; [33.82857143 30.17142857],0
n6,1,0.499627,0.455729,[5 1] ; [45 19],[4.28571429 1.71428571] ; [45.71428571 18.28571429],0
s1,1,0.558819,0.341753,[1 5] ; [ 6 59],[0.5915493 5.4084507] ; [ 6.4084507 58.5915493],0
s4,1,0.655181,0.19943,[2 4] ; [16 48],[1.54285714 4.45714286] ; [16.45714286 47.54285714],0
u3,1,0.693196,0.155647,[1 1] ; [16  9],[1.25925926 0.74074074] ; [15.74074074  9.25925926],0
d3,1,0.782801,0.075994,[4 2] ; [39 25],[3.68571429 2.31428571] ; [39.31428571 24.68571429],0
p8,1,0.782801,0.075994,[2 4] ; [25 39],[2.31428571 3.68571429] ; [24.68571429 39.31428571],0
p3,1,0.799778,0.064331,[3 3] ; [29 36],[2.70422535 3.29577465] ; [29.29577465 35.70422535],0
a3,1,0.804458,0.061297,[4 2] ; [40 25],[3.71830986 2.28169014] ; [40.28169014 24.71830986],0
b5,1,0.804458,0.061297,[4 2] ; [40 25],[3.71830986 2.28169014] ; [40.28169014 24.71830986],0
n1,1,0.825381,0.048677,[1 2] ; [ 8 12],[1.17391304 1.82608696] ; [ 7.82608696 12.17391304],0
n2,1,0.906855,0.01369,[2 1] ; [14  6],[2.08695652 0.91304348] ; [13.91304348  6.08695652],0
u2,1,0.909583,0.012897,[1 1] ; [11 13],[0.92307692 1.07692308] ; [11.07692308 12.92307692],0
b1,1,0.913783,0.011722,[3 3] ; [34 31],[3.12676056 2.87323944] ; [33.87323944 31.12676056],0
s6,1,0.933819,0.006896,[5 1] ; [55 10],[5.07042254 0.92957746] ; [54.92957746 10.07042254],0
p7,1,0.970361,0.001381,[3 3] ; [31 32],[2.95652174 3.04347826] ; [31.04347826 31.95652174],0
p11,1,0.971234,0.0013,[3 3] ; [32 33],[2.95774648 3.04225352] ; [32.04225352 32.95774648],0
