Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2e-06,22.361218,[ 6 61] ; [14 12],[14.40860215 52.59139785] ; [ 5.59139785 20.40860215],1
s6,1,0.000329,12.898586,[30 39] ; [22  4],[37.76842105 31.23157895] ; [14.23157895 11.76842105],1
p12,1,0.00149,10.091164,[ 1 68] ; [ 5 21],[ 4.35789474 64.64210526] ; [ 1.64210526 24.35789474],0
p4,1,0.001633,9.921747,[17 51] ; [15 10],[23.39784946 44.60215054] ; [ 8.60215054 16.39784946],0
s8,1,0.013689,6.077789,[22 47] ; [15 10],[27.15957447 41.84042553] ; [ 9.84042553 15.15957447],0
s2,1,0.018526,5.545759,[24 45] ; [16 10],[29.05263158 39.94736842] ; [10.94736842 15.05263158],0
s4,1,0.021889,5.254607,[ 8 60] ; [ 8 17],[11.69892473 56.30107527] ; [ 4.30107527 20.69892473],0
v1,1,0.03516,4.437377,[20 46] ; [14 12],[24.39130435 41.60869565] ; [ 9.60869565 16.39130435],0
p10,1,0.049864,3.846027,[35 34] ; [19  7],[39.22105263 29.77894737] ; [14.77894737 11.22105263],0
p7,1,0.064358,3.421357,[17 48] ; [12 14],[20.71428571 44.28571429] ; [ 8.28571429 17.71428571],0
p5,1,0.073573,3.201441,[ 3 64] ; [ 4 22],[ 5.04301075 61.95698925] ; [ 1.95698925 24.04301075],0
s7,1,0.085923,2.949136,[28 36] ; [16  9],[31.64044944 32.35955056] ; [12.35955056 12.64044944],0
v2,1,0.098066,2.736719,[31 35] ; [16  8],[34.46666667 31.53333333] ; [12.53333333 11.46666667],0
p8,1,0.104154,2.640757,[13 56] ; [ 9 17],[15.97894737 53.02105263] ; [ 6.02105263 19.97894737],0
p3,1,0.10569,2.617511,[18 50] ; [11 14],[21.20430108 46.79569892] ; [ 7.79569892 17.20430108],0
r4,1,0.107799,2.5862,[47 22] ; [22  4],[50.11578947 18.88421053] ; [18.88421053  7.11578947],0
r3,1,0.111272,2.536055,[54 15] ; [24  2],[56.65263158 12.34736842] ; [21.34736842  4.65263158],0
p9,1,0.184106,1.764161,[39 28] ; [19  7],[41.78494624 25.21505376] ; [16.21505376  9.78494624],0
n6,1,0.190042,1.717289,[48 20] ; [21  4],[50.4516129 17.5483871] ; [18.5483871  6.4516129],0
a1,1,0.227191,1.458364,[ 5 64] ; [ 4 22],[ 6.53684211 62.46315789] ; [ 2.46315789 23.53684211],0
n4,1,0.238211,1.391151,[51 18] ; [16 10],[48.66315789 20.33684211] ; [18.33684211  7.66315789],0
a7,1,0.238211,1.391151,[51 18] ; [16 10],[48.66315789 20.33684211] ; [18.33684211  7.66315789],0
a4,1,0.248598,1.331166,[41 27] ; [19  7],[43.40425532 24.59574468] ; [16.59574468  9.40425532],0
u2,1,0.256839,1.285714,[8 6] ; [1 3],[7. 7.] ; [2. 2.],0
p1,1,0.339584,0.912,[ 4 65] ; [ 3 23],[ 5.08421053 63.91578947] ; [ 1.91578947 24.08421053],0
d2,1,0.340641,0.908018,[50 17] ; [21  4],[51.70652174 15.29347826] ; [19.29347826  5.70652174],0
s3,1,0.366234,0.816402,[30 39] ; [14 12],[31.95789474 37.04210526] ; [12.04210526 13.95789474],0
n1,1,0.388395,0.743961,[14 18] ; [7 5],[15.27272727 16.72727273] ; [5.72727273 6.27272727],0
b5,1,0.408514,0.68312,[41 28] ; [13 13],[39.22105263 29.77894737] ; [14.77894737 11.22105263],0
n2,1,0.419298,0.652281,[17 15] ; [8 4],[18.18181818 13.81818182] ; [6.81818182 5.18181818],0
p11,1,0.488567,0.479681,[37 32] ; [16 10],[38.49473684 30.50526316] ; [14.50526316 11.49473684],0
a6,1,0.491321,0.473632,[46 22] ; [15 10],[44.60215054 23.39784946] ; [16.39784946  8.60215054],0
s1,1,0.533841,0.387075,[ 5 63] ; [ 1 25],[ 4.34042553 63.65957447] ; [ 1.65957447 24.34042553],0
u4,1,0.543553,0.368994,[ 5 64] ; [ 1 25],[ 4.35789474 64.64210526] ; [ 1.64210526 24.35789474],0
v3,1,0.584549,0.298938,[21 43] ; [ 9 14],[22.06896552 41.93103448] ; [ 7.93103448 15.06896552],0
v4,1,0.586482,0.295872,[55 14] ; [22  4],[55.92631579 13.07368421] ; [21.07368421  4.92631579],0
n3,1,0.592379,0.286644,[17 14] ; [5 6],[16.23809524 14.76190476] ; [5.76190476 5.23809524],0
b4,1,0.618084,0.248569,[44 25] ; [18  8],[45.03157895 23.96842105] ; [16.96842105  9.03157895],0
b2,1,0.629547,0.232676,[18 30] ; [10 13],[18.92957746 29.07042254] ; [ 9.07042254 13.92957746],0
b3,1,0.629547,0.232676,[18 30] ; [10 13],[18.92957746 29.07042254] ; [ 9.07042254 13.92957746],0
b1,1,0.630572,0.231286,[33 36] ; [11 15],[31.95789474 37.04210526] ; [12.04210526 13.95789474],0
r1,1,0.639689,0.219149,[47 22] ; [19  7],[47.93684211 21.06315789] ; [18.06315789  7.93684211],0
u1,1,0.659887,0.193661,[19 50] ; [ 6 20],[18.15789474 50.84210526] ; [ 6.84210526 19.15789474],0
a8,1,0.67767,0.17276,[ 4 61] ; [ 2 21],[ 4.43181818 60.56818182] ; [ 1.56818182 21.43181818],0
a2,1,0.812153,0.056477,[23 46] ; [ 8 18],[22.51578947 46.48421053] ; [ 8.48421053 17.51578947],0
d3,1,0.851988,0.034813,[56 12] ; [21  4],[56.30107527 11.69892473] ; [20.69892473  4.30107527],0
u3,1,0.864591,0.029082,[9 5] ; [3 2],[8.84210526 5.15789474] ; [3.15789474 1.84210526],0
a3,1,0.908398,0.013239,[55 14] ; [21  5],[55.2 13.8] ; [20.8  5.2],0
n5,1,0.987823,0.000233,[45 24] ; [17  9],[45.03157895 23.96842105] ; [16.96842105  9.03157895],0
