Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.00044,12.354335,[ 1 36] ; [10 18],[ 6.26153846 30.73846154] ; [ 4.73846154 23.26153846],1
s2,1,0.000676,11.554918,[12 25] ; [21  7],[18.78461538 18.21538462] ; [14.21538462 13.78461538],1
s6,1,0.001454,10.136107,[17 19] ; [24  4],[23.0625 12.9375] ; [17.9375 10.0625],0
s3,1,0.002263,9.32306,[11 26] ; [19  9],[17.07692308 19.92307692] ; [12.92307692 15.07692308],0
d1,1,0.004208,8.191594,[16 21] ; [22  6],[21.63076923 15.36923077] ; [16.36923077 11.63076923],0
p10,1,0.00779,7.081091,[22 15] ; [25  3],[26.75384615 10.24615385] ; [20.24615385  7.75384615],0
p9,1,0.023618,5.12246,[24 13] ; [25  3],[27.89230769  9.10769231] ; [21.10769231  6.89230769],0
d2,1,0.029003,4.767447,[15 22] ; [19  9],[19.35384615 17.64615385] ; [14.64615385 13.35384615],0
s7,1,0.029076,4.763105,[14 22] ; [18  9],[18.28571429 17.71428571] ; [13.71428571 13.28571429],0
d5,1,0.056811,3.628118,[25 11] ; [25  3],[28.125  7.875] ; [21.875  6.125],0
b5,1,0.065692,3.3875,[21 16] ; [22  6],[24.47692308 12.52307692] ; [18.52307692  9.47692308],0
d4,1,0.067343,3.346626,[28  9] ; [26  2],[30.73846154  6.26153846] ; [23.26153846  4.73846154],0
a2,1,0.127074,2.327887,[ 7 30] ; [10 18],[ 9.67692308 27.32307692] ; [ 7.32307692 20.67692308],0
n2,1,0.136422,2.217857,[12  3] ; [4 4],[10.43478261  4.56521739] ; [5.56521739 2.43478261],0
a5,1,0.155783,2.014693,[23 14] ; [22  6],[25.61538462 11.38461538] ; [19.38461538  8.61538462],0
p4,1,0.155783,2.014693,[23 14] ; [22  6],[25.61538462 11.38461538] ; [19.38461538  8.61538462],0
r4,1,0.170301,1.88029,[32  5] ; [27  1],[33.58461538  3.41538462] ; [25.41538462  2.58461538],0
p7,1,0.171349,1.871102,[31  6] ; [18  8],[28.77777778  8.22222222] ; [20.22222222  5.77777778],0
v1,1,0.181113,1.788471,[13 24] ; [14 13],[15.609375 21.390625] ; [11.390625 15.609375],0
b4,1,0.181154,1.788127,[19 18] ; [19  9],[21.63076923 15.36923077] ; [16.36923077 11.63076923],0
d3,1,0.195238,1.677642,[26 10] ; [24  4],[28.125  7.875] ; [21.875  6.125],0
s4,1,0.195611,1.674844,[ 9 28] ; [11 17],[11.38461538 25.61538462] ; [ 8.61538462 19.38461538],0
p1,1,0.214349,1.541808,[ 4 33] ; [ 6 21],[ 5.78125 31.21875] ; [ 4.21875 22.78125],0
v3,1,0.244493,1.354497,[ 7 29] ; [ 9 19],[ 9. 27.] ; [ 7. 21.],0
v2,1,0.292571,1.107751,[17 20] ; [16 11],[19.078125 17.921875] ; [13.921875 13.078125],0
p8,1,0.296691,1.08901,[22 15] ; [13 15],[19.92307692 17.07692308] ; [15.07692308 12.92307692],0
a3,1,0.317634,0.998665,[22 15] ; [20  8],[23.90769231 13.09230769] ; [18.09230769  9.90769231],0
s5,1,0.348068,0.880487,[12 23] ; [12 14],[13.7704918 21.2295082] ; [10.2295082 15.7704918],0
a4,1,0.409063,0.681523,[16 21] ; [15 13],[17.64615385 19.35384615] ; [13.35384615 14.64615385],0
n1,1,0.435366,0.608466,[ 5 10] ; [4 4],[5.86956522 9.13043478] ; [3.13043478 4.86956522],0
a8,1,0.43905,0.598764,[ 2 33] ; [ 3 24],[ 2.82258065 32.17741935] ; [ 2.17741935 24.82258065],0
a1,1,0.451049,0.568015,[ 3 34] ; [ 1 27],[ 2.27692308 34.72307692] ; [ 1.72307692 26.27692308],0
r2,1,0.472217,0.516783,[34  3] ; [26  1],[34.6875  2.3125] ; [25.3125  1.6875],0
b2,1,0.495283,0.465029,[ 7 15] ; [ 8 11],[ 8.04878049 13.95121951] ; [ 6.95121951 12.04878049],0
b3,1,0.495283,0.465029,[ 7 15] ; [ 8 11],[ 8.04878049 13.95121951] ; [ 6.95121951 12.04878049],0
r1,1,0.514145,0.425622,[25 12] ; [21  7],[26.18461538 10.81538462] ; [19.81538462  8.18461538],0
n4,1,0.542567,0.370804,[17 20] ; [15 13],[18.21538462 18.78461538] ; [13.78461538 14.21538462],0
a6,1,0.634439,0.22609,[23 14] ; [19  9],[23.90769231 13.09230769] ; [18.09230769  9.90769231],0
p3,1,0.69207,0.156853,[22 15] ; [18 10],[22.76923077 14.23076923] ; [17.23076923 10.76923077],0
s1,1,0.772858,0.083312,[ 2 35] ; [ 2 26],[ 2.27692308 34.72307692] ; [ 1.72307692 26.27692308],0
b1,1,0.859152,0.03149,[18 19] ; [13 15],[17.64615385 19.35384615] ; [13.35384615 14.64615385],0
p12,1,0.885014,0.020914,[ 3 34] ; [ 2 26],[ 2.84615385 34.15384615] ; [ 2.15384615 25.84615385],0
p11,1,0.890408,0.018986,[27 10] ; [20  8],[26.75384615 10.24615385] ; [20.24615385  7.75384615],0
p2,1,0.913,0.011937,[30  7] ; [23  5],[30.16923077  6.83076923] ; [22.83076923  5.16923077],0
n3,1,0.930912,0.007516,[11  4] ; [6 2],[11.08695652  3.91304348] ; [5.91304348 2.08695652],0
n6,1,0.993093,7.5e-05,[26 11] ; [19  8],[26.015625 10.984375] ; [18.984375  8.015625],0
a7,1,1.0,0.0,[27  9] ; [21  7],[27.  9.] ; [21.  7.],0
