Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000119,14.805429,[72  5] ; [25 13],[64.94782609 12.05217391] ; [32.05217391  5.94782609],1
p7,1,0.000122,14.769216,[44 33] ; [ 7 30],[34.44736842 42.55263158] ; [16.55263158 20.44736842],1
r3,1,0.000296,13.095159,[67 11] ; [21 17],[59.17241379 18.82758621] ; [28.82758621  9.17241379],1
s1,1,0.002691,9.005716,[ 2 74] ; [ 7 30],[ 6.05309735 69.94690265] ; [ 2.94690265 34.05309735],0
p11,1,0.002839,8.908117,[55 24] ; [16 23],[47.53389831 31.46610169] ; [23.46610169 15.53389831],0
p10,1,0.004273,8.164134,[54 22] ; [16 21],[47.07964602 28.92035398] ; [22.92035398 14.07964602],0
p1,1,0.009004,6.822085,[ 4 75] ; [ 8 31],[ 8.03389831 70.96610169] ; [ 3.96610169 35.03389831],0
p9,1,0.011045,6.458017,[56 22] ; [17 19],[49.94736842 28.05263158] ; [23.05263158 12.94736842],0
n6,1,0.011084,6.45178,[60 19] ; [20 18],[54.01709402 24.98290598] ; [25.98290598 12.01709402],0
b3,1,0.012615,6.222255,[ 5 32] ; [10 14],[ 9.09836066 27.90163934] ; [ 5.90163934 18.09836066],0
b2,1,0.012615,6.222255,[ 5 32] ; [10 14],[ 9.09836066 27.90163934] ; [ 5.90163934 18.09836066],0
d5,1,0.016746,5.722826,[38 40] ; [10 29],[32. 46.] ; [16. 23.],0
p4,1,0.017054,5.690821,[29 50] ; [ 6 33],[23.43220339 55.56779661] ; [11.56779661 27.43220339],0
v2,1,0.029443,4.741504,[29 46] ; [ 6 28],[24.08256881 50.91743119] ; [10.91743119 23.08256881],0
r4,1,0.04815,3.904756,[57 22] ; [21 18],[52.22033898 26.77966102] ; [25.77966102 13.22033898],0
p8,1,0.049203,3.868421,[30 46] ; [ 8 30],[25.33333333 50.66666667] ; [12.66666667 25.33333333],0
s3,1,0.059146,3.561168,[39 40] ; [11 25],[34.34782609 44.65217391] ; [15.65217391 20.34782609],0
p12,1,0.072053,3.235619,[ 1 77] ; [ 3 36],[ 2.66666667 75.33333333] ; [ 1.33333333 37.66666667],0
b1,1,0.074202,3.187538,[27 52] ; [20 19],[31.46610169 47.53389831] ; [15.53389831 23.46610169],0
p6,1,0.074384,3.183527,[19 58] ; [ 4 34],[15.4 61.6] ; [ 7.6 30.4],0
s6,1,0.085416,2.958704,[42 36] ; [14 24],[37.65517241 40.34482759] ; [18.34482759 19.65517241],0
s7,1,0.094017,2.804219,[29 47] ; [ 8 28],[25.10714286 50.89285714] ; [11.89285714 24.10714286],0
s8,1,0.115422,2.478374,[25 54] ; [ 7 32],[21.42372881 57.57627119] ; [10.57627119 28.42372881],0
r1,1,0.148071,2.092013,[48 30] ; [18 20],[44.37931034 33.62068966] ; [21.62068966 16.37931034],0
