Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4.4e-05,16.684307,[7 3] ; [ 8 53],[2.11267606 7.88732394] ; [12.88732394 48.11267606],1
p4,1,7.8e-05,15.598207,[9 1] ; [17 48],[3.46666667 6.53333333] ; [22.53333333 42.46666667],1
s2,1,0.000408,12.495416,[8 2] ; [16 50],[3.15789474 6.84210526] ; [20.84210526 45.15789474],1
p9,1,0.009668,6.695029,[9 1] ; [28 33],[5.21126761 4.78873239] ; [31.78873239 29.21126761],0
s5,1,0.019339,5.470644,[4 3] ; [12 53],[1.55555556 5.44444444] ; [14.44444444 50.55555556],0
u2,1,0.020562,5.36358,[4 1] ; [ 9 24],[1.71052632 3.28947368] ; [11.28947368 21.71052632],0
v1,1,0.030704,4.669411,[6 4] ; [17 48],[3.06666667 6.93333333] ; [19.93333333 45.06666667],0
r4,1,0.034069,4.491243,[7 3] ; [23 43],[3.94736842 6.05263158] ; [26.05263158 39.94736842],0
p6,1,0.048324,3.898681,[4 6] ; [ 9 54],[1.78082192 8.21917808] ; [11.21917808 51.78082192],0
u1,1,0.066203,3.37475,[2 8] ; [ 3 63],[0.65789474 9.34210526] ; [ 4.34210526 61.65789474],0
s6,1,0.070506,3.271197,[5 4] ; [17 48],[2.67567568 6.32432432] ; [19.32432432 45.67567568],0
v2,1,0.096037,2.770147,[5 5] ; [16 49],[2.8 7.2] ; [18.2 46.8],0
p10,1,0.096733,2.758599,[6 4] ; [21 43],[3.64864865 6.35135135] ; [23.35135135 40.64864865],0
v4,1,0.11518,2.481663,[9 1] ; [43 23],[6.84210526 3.15789474] ; [45.15789474 20.84210526],0
s3,1,0.120218,2.41448,[6 4] ; [22 42],[3.78378378 6.21621622] ; [24.21621622 39.78378378],0
n6,1,0.128688,2.308264,[8 2] ; [36 30],[5.78947368 4.21052632] ; [38.21052632 27.78947368],0
s4,1,0.151064,2.061476,[4 6] ; [13 53],[2.23684211 7.76315789] ; [14.76315789 51.23684211],0
b5,1,0.176395,1.827738,[8 2] ; [38 28],[6.05263158 3.94736842] ; [39.94736842 26.05263158],0
p3,1,0.189945,1.718043,[5 5] ; [19 46],[3.2 6.8] ; [20.8 44.2],0
d3,1,0.204545,1.609622,[7 3] ; [31 33],[5.13513514 4.86486486] ; [32.86486486 31.13513514],0
r3,1,0.204645,1.608911,[8 2] ; [39 27],[6.18421053 3.81578947] ; [40.81578947 25.18421053],0
d1,1,0.216665,1.526322,[5 5] ; [20 46],[3.28947368 6.71052632] ; [21.71052632 44.28947368],0
b4,1,0.274451,1.194366,[3 7] ; [32 34],[4.60526316 5.39473684] ; [30.39473684 35.60526316],0
r2,1,0.276071,1.186329,[8 1] ; [46 18],[6.65753425 2.34246575] ; [47.34246575 16.65753425],0
n5,1,0.297566,1.085069,[4 6] ; [38 28],[5.52631579 4.47368421] ; [36.47368421 29.52631579],0
p5,1,0.298311,1.081731,[1 9] ; [ 2 63],[0.4 9.6] ; [ 2.6 62.4],0
n4,1,0.342344,0.901632,[4 6] ; [37 29],[5.39473684 4.60526316] ; [35.60526316 30.39473684],0
d5,1,0.384334,0.756792,[7 3] ; [36 29],[5.73333333 4.26666667] ; [37.26666667 27.73333333],0
a2,1,0.391568,0.734067,[2 8] ; [ 7 59],[1.18421053 8.81578947] ; [ 7.81578947 58.18421053],0
b2,1,0.396704,0.718294,[1 3] ; [17 19],[1.8 2.2] ; [16.2 19.8],0
b3,1,0.396704,0.718294,[1 3] ; [17 19],[1.8 2.2] ; [16.2 19.8],0
d4,1,0.405411,0.692218,[7 3] ; [37 29],[5.78947368 4.21052632] ; [38.21052632 27.78947368],0
p8,1,0.410522,0.677288,[3 7] ; [12 52],[2.02702703 7.97297297] ; [12.97297297 51.02702703],0
a7,1,0.468623,0.525222,[6 4] ; [31 34],[4.93333333 5.06666667] ; [32.06666667 32.93333333],0
a6,1,0.497341,0.460606,[6 4] ; [32 34],[5. 5.] ; [33. 33.],0
a4,1,0.560195,0.339367,[4 6] ; [20 45],[3.2 6.8] ; [20.8 44.2],0
b1,1,0.587401,0.294421,[5 5] ; [39 27],[5.78947368 4.21052632] ; [38.21052632 27.78947368],0
a8,1,0.58879,0.292239,[1 8] ; [ 4 60],[0.61643836 8.38356164] ; [ 4.38356164 59.61643836],0
d2,1,0.614509,0.253662,[5 5] ; [27 38],[4.26666667 5.73333333] ; [27.73333333 37.26666667],0
n1,1,0.632305,0.228947,[1 1] ; [ 9 18],[0.68965517 1.31034483] ; [ 9.31034483 17.68965517],0
v3,1,0.828712,0.046809,[2 8] ; [15 50],[2.26666667 7.73333333] ; [14.73333333 50.26666667],0
a5,1,0.858057,0.031987,[5 5] ; [31 35],[4.73684211 5.26315789] ; [31.26315789 34.73684211],0
p1,1,0.926187,0.008583,[1 9] ; [ 6 60],[0.92105263 9.07894737] ; [ 6.07894737 59.92105263],0
p7,1,0.956527,0.002972,[4 6] ; [27 39],[4.07894737 5.92105263] ; [26.92105263 39.07894737],0
n3,1,0.959668,0.002557,[1 1] ; [13 14],[0.96551724 1.03448276] ; [13.03448276 13.96551724],0
a3,1,0.963872,0.002052,[5 5] ; [32 33],[4.93333333 5.06666667] ; [32.06666667 32.93333333],0
