Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.4e-05,17.1875,[21  1] ; [3 8],[16.  6.] ; [8. 3.],1
r1,1,0.003012,8.8,[16  6] ; [2 9],[12. 10.] ; [6. 5.],0
v4,1,0.004075,8.25,[21  1] ; [6 5],[18.  4.] ; [9. 2.],0
a7,1,0.005587,7.678846,[17  5] ; [3 8],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
d3,1,0.012753,6.203008,[16  6] ; [3 8],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
a6,1,0.026091,4.95,[13  9] ; [2 9],[10. 12.] ; [5. 6.],0
d5,1,0.032135,4.591304,[18  4] ; [5 6],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
n3,1,0.048766,3.883405,[8 1] ; [3 4],[6.1875 2.8125] ; [4.8125 2.1875],0
p9,1,0.083053,3.00412,[ 8 13] ; [ 1 10],[ 5.90625 15.09375] ; [3.09375 7.90625],0
p4,1,0.084695,2.972426,[13  9] ; [3 8],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
p3,1,0.138011,2.2,[12 10] ; [3 8],[10. 12.] ; [5. 6.],0
d4,1,0.180503,1.793478,[17  5] ; [6 5],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
s1,1,0.198959,1.65,[ 1 21] ; [2 9],[ 2. 20.] ; [ 1. 10.],0
v3,1,0.205483,1.602968,[ 6 15] ; [ 1 10],[ 4.59375 16.40625] ; [2.40625 8.59375],0
b4,1,0.207821,1.586538,[15  7] ; [5 6],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
s3,1,0.209601,1.574183,[16  5] ; [6 5],[14.4375  6.5625] ; [7.5625 3.4375],0
v2,1,0.284005,1.147826,[ 8 14] ; [2 9],[ 6.66666667 15.33333333] ; [3.33333333 7.66666667],0
n5,1,0.313616,1.015385,[12 10] ; [8 3],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
d2,1,0.319137,0.992481,[ 8 14] ; [6 5],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
a3,1,0.319137,0.992481,[14  8] ; [5 6],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
a5,1,0.324534,0.970588,[12 10] ; [4 7],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
u2,1,0.333998,0.933333,[2 6] ; [3 3],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
u3,1,0.333998,0.933333,[6 2] ; [3 3],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
s8,1,0.407016,0.6875,[ 7 15] ; [2 9],[ 6. 16.] ; [3. 8.],0
v1,1,0.407016,0.6875,[ 7 15] ; [2 9],[ 6. 16.] ; [3. 8.],0
s6,1,0.407016,0.6875,[17  5] ; [7 4],[16.  6.] ; [8. 3.],0
n6,1,0.442695,0.589286,[15  7] ; [6 5],[14.  8.] ; [7. 4.],0
p2,1,0.442695,0.589286,[15  7] ; [6 5],[14.  8.] ; [7. 4.],0
p7,1,0.442695,0.589286,[ 9 13] ; [3 8],[ 8. 14.] ; [4. 7.],0
n4,1,0.458318,0.55,[11 11] ; [7 4],[12. 10.] ; [6. 5.],0
b3,1,0.494125,0.467532,[3 8] ; [3 4],[3.66666667 7.33333333] ; [2.33333333 4.66666667],0
b2,1,0.494125,0.467532,[3 8] ; [3 4],[3.66666667 7.33333333] ; [2.33333333 4.66666667],0
n1,1,0.515305,0.42328,[4 5] ; [2 5],[3.375 5.625] ; [2.625 4.375],0
d1,1,0.601508,0.272727,[ 8 14] ; [3 8],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
a1,1,0.60594,0.266129,[ 1 21] ; [ 1 10],[ 1.33333333 20.66666667] ; [ 0.66666667 10.33333333],0
p11,1,0.61438,0.253846,[ 8 14] ; [5 6],[ 8.66666667 13.33333333] ; [4.33333333 6.66666667],0
s2,1,0.687245,0.162084,[13  8] ; [6 5],[12.46875  8.53125] ; [6.53125 4.46875],0
u1,1,0.706063,0.142241,[ 3 19] ; [ 1 10],[ 2.66666667 19.33333333] ; [1.33333333 9.66666667],0
a2,1,0.706063,0.142241,[ 3 19] ; [ 1 10],[ 2.66666667 19.33333333] ; [1.33333333 9.66666667],0
p8,1,0.763341,0.090659,[ 5 17] ; [2 9],[ 4.66666667 17.33333333] ; [2.33333333 8.66666667],0
p6,1,0.773938,0.0825,[ 5 17] ; [3 8],[ 5.33333333 16.66666667] ; [2.66666667 8.33333333],0
b5,1,0.794003,0.068182,[15  7] ; [7 4],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
a4,1,0.803316,0.06203,[ 9 13] ; [5 6],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
s5,1,0.804113,0.061517,[ 8 13] ; [3 6],[ 7.7 13.3] ; [3.3 5.7],0
b1,1,0.805453,0.060662,[11 11] ; [6 5],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
s7,1,0.901312,0.015377,[11 10] ; [5 5],[10.83870968 10.16129032] ; [5.16129032 4.83870968],0
p1,1,1.0,0.0,[ 2 20] ; [ 1 10],[ 2. 20.] ; [ 1. 10.],0
