Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,85.191528,[91 33] ; [ 25 119],[53.67164179 70.32835821] ; [62.32835821 81.67164179],1
d5,1,0.0,78.459241,[123   3] ; [71 74],[90.19926199 35.80073801] ; [103.80073801  41.19926199],1
d3,1,0.0,76.226547,[106  20] ; [45 99],[70.46666667 55.53333333] ; [80.53333333 63.46666667],1
d4,1,0.0,72.617852,[121   3] ; [74 71],[89.88847584 34.11152416] ; [105.11152416  39.88847584],1
a4,1,0.0,48.996894,[78 48] ; [ 29 115],[49.93333333 76.06666667] ; [57.06666667 86.93333333],1
a2,1,0.0,46.24758,[50 77] ; [  8 137],[27.08088235 99.91911765] ; [ 30.91911765 114.08088235],1
a5,1,0.0,27.85193,[105  22] ; [76 69],[84.51102941 42.48897059] ; [96.48897059 48.51102941],1
a3,1,7e-06,20.110439,[102  24] ; [79 64],[84.78066914 41.21933086] ; [96.21933086 46.78066914],1
a6,1,1.2e-05,19.190611,[99 26] ; [78 67],[81.94444444 43.05555556] ; [95.05555556 49.94444444],1
u1,1,1.2e-05,19.116647,[29 98] ; [  7 138],[ 16.80882353 110.19117647] ; [ 19.19117647 125.80882353],1
r2,1,0.000504,12.101177,[122   3] ; [124  21],[113.88888889  11.11111111] ; [132.11111111  12.88888889],1
s8,1,0.000928,10.966516,[57 70] ; [ 37 107],[44.05166052 82.94833948] ; [49.94833948 94.05166052],1
r1,1,0.001869,9.67425,[102  24] ; [92 52],[90.53333333 35.46666667] ; [103.46666667  40.53333333],0
s4,1,0.002781,8.945759,[  9 115] ; [ 29 116],[ 17.51672862 106.48327138] ; [ 20.48327138 124.51672862],0
a7,1,0.003718,8.416872,[91 35] ; [80 65],[79.50553506 46.49446494] ; [91.49446494 53.50553506],0
r3,1,0.004778,7.961741,[117   9] ; [116  27],[109.13754647  16.86245353] ; [123.86245353  19.13754647],0
s7,1,0.010232,6.594061,[58 65] ; [44 95],[47.88549618 75.11450382] ; [54.11450382 84.88549618],0
n4,1,0.015331,5.878044,[113  14] ; [113  32],[105.52205882  21.47794118] ; [120.47794118  24.52205882],0
r4,1,0.020128,5.40072,[109  18] ; [108  37],[101.31985294  25.68014706] ; [115.68014706  29.31985294],0
n6,1,0.027636,4.850626,[111  16] ; [111  33],[104.03690037  22.96309963] ; [117.96309963  26.03690037],0
v2,1,0.036503,4.373474,[65 55] ; [55 79],[56.69291339 63.30708661] ; [63.30708661 70.69291339],0
v4,1,0.054761,3.689351,[117   9] ; [124  21],[112.05166052  13.94833948] ; [128.94833948  16.05166052],0
n2,1,0.061149,3.505932,[29 15] ; [39  8],[32.87912088 11.12087912] ; [35.12087912 11.87912088],0
s1,1,0.085454,2.958,[  2 122] ; [  8 134],[  4.66165414 119.33834586] ; [  5.33834586 136.66165414],0
p10,1,0.112897,2.513193,[97 29] ; [97 45],[91.20895522 34.79104478] ; [102.79104478  39.20895522],0
p11,1,0.153352,2.038584,[95 32] ; [97 48],[89.64705882 37.35294118] ; [102.35294118  42.64705882],0
b5,1,0.164466,1.932672,[84 43] ; [84 61],[78.44117647 48.55882353] ; [89.55882353 55.44117647],0
s2,1,0.165986,1.918826,[59 67] ; [55 88],[53.39776952 72.60223048] ; [60.60223048 82.39776952],0
u2,1,0.171246,1.872,[14 11] ; [26 39],[11.11111111 13.88888889] ; [28.88888889 36.11111111],0
v3,1,0.197576,1.660204,[48 75] ; [45 98],[43.0037594 79.9962406] ; [49.9962406 93.0037594],0
s3,1,0.209964,1.571671,[70 56] ; [68 74],[64.88059701 61.11940299] ; [73.11940299 68.88059701],0
s5,1,0.283343,1.150985,[35 88] ; [ 32 109],[31.21590909 91.78409091] ; [ 35.78409091 105.21590909],0
b2,1,0.36481,0.821268,[33 47] ; [26 50],[30.25641026 49.74358974] ; [28.74358974 47.25641026],0
b3,1,0.36481,0.821268,[33 47] ; [26 50],[30.25641026 49.74358974] ; [28.74358974 47.25641026],0
n3,1,0.413073,0.669938,[27 17] ; [32 14],[28.84444444 15.15555556] ; [30.15555556 15.84444444],0
b1,1,0.415953,0.661721,[49 78] ; [63 82],[52.29411765 74.70588235] ; [59.70588235 85.29411765],0
p9,1,0.455503,0.556923,[96 27] ; [103  36],[93.42366412 29.57633588] ; [105.57633588  33.42366412],0
u3,1,0.491134,0.47404,[13 12] ; [29 37],[11.53846154 13.46153846] ; [30.46153846 35.53846154],0
b4,1,0.50734,0.439549,[76 51] ; [81 64],[73.30514706 53.69485294] ; [83.69485294 61.30514706],0
n1,1,0.529148,0.396027,[16 26] ; [21 26],[17.46067416 24.53932584] ; [19.53932584 27.46067416],0
p2,1,0.537086,0.380968,[87 39] ; [95 50],[84.6199262 41.3800738] ; [97.3800738 47.6199262],0
p7,1,0.547754,0.361357,[58 61] ; [63 77],[55.59459459 63.40540541] ; [65.40540541 74.59459459],0
p12,1,0.592874,0.285879,[  8 117] ; [  7 136],[  6.99626866 118.00373134] ; [  8.00373134 134.99626866],0
p1,1,0.597822,0.278294,[ 11 116] ; [ 10 134],[  9.84132841 117.15867159] ; [ 11.15867159 132.84132841],0
p6,1,0.66687,0.185285,[ 24 102] ; [ 24 117],[ 22.65168539 103.34831461] ; [ 25.34831461 115.65168539],0
p5,1,0.829523,0.04636,[  5 121] ; [  5 139],[  4.66666667 121.33333333] ; [  5.33333333 138.66666667],0
a8,1,0.838112,0.041742,[20 95] ; [ 23 117],[19.39215686 95.60784314] ; [ 23.60784314 116.39215686],0
p3,1,0.866817,0.028124,[28 98] ; [ 31 114],[27.43173432 98.56826568] ; [ 31.56826568 113.43173432],0
p8,1,0.930214,0.007669,[39 84] ; [44 97],[38.67045455 84.32954545] ; [44.32954545 96.67045455],0
v1,1,0.957507,0.002839,[55 69] ; [63 78],[55.21509434 68.78490566] ; [62.78490566 78.21509434],0
a1,1,0.974966,0.000985,[  8 119] ; [  9 136],[  7.9375 119.0625] ; [  9.0625 135.9375],0
s6,1,0.992657,8.5e-05,[70 55] ; [80 63],[69.96268657 55.03731343] ; [80.03731343 62.96268657],0
