Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000756,11.347355,[ 6 34] ; [10  7],[11.22807018 28.77192982] ; [ 4.77192982 12.22807018],1
p3,1,0.00292,8.856555,[ 6 34] ; [9 8],[10.52631579 29.47368421] ; [ 4.47368421 12.52631579],0
p2,1,0.00452,8.062299,[12 28] ; [12  5],[16.84210526 23.15789474] ; [7.15789474 9.84210526],0
p11,1,0.012882,6.18519,[ 8 32] ; [9 8],[11.92982456 28.07017544] ; [ 5.07017544 11.92982456],0
p8,1,0.013822,6.060745,[ 6 34] ; [7 8],[ 9.45454545 30.54545455] ; [ 3.54545455 11.45454545],0
d1,1,0.074095,3.189894,[14 26] ; [ 2 15],[11.22807018 28.77192982] ; [ 4.77192982 12.22807018],0
b3,1,0.074791,3.174603,[13 15] ; [ 2 10],[10.5 17.5] ; [4.5 7.5],0
b2,1,0.074791,3.174603,[13 15] ; [ 2 10],[10.5 17.5] ; [4.5 7.5],0
u2,1,0.088233,2.906325,[ 4 15] ; [3 2],[ 5.54166667 13.45833333] ; [1.45833333 3.54166667],0
n4,1,0.100454,2.698319,[28 12] ; [8 9],[25.26315789 14.73684211] ; [10.73684211  6.26315789],0
n5,1,0.101192,2.686652,[30 10] ; [9 8],[27.36842105 12.63157895] ; [11.63157895  5.36842105],0
b5,1,0.137744,2.202987,[15 25] ; [10  7],[17.54385965 22.45614035] ; [7.45614035 9.54385965],0
d5,1,0.173364,1.853615,[22 18] ; [ 6 11],[19.64912281 20.35087719] ; [8.35087719 8.64912281],0
a6,1,0.173364,1.853615,[22 18] ; [ 6 11],[19.64912281 20.35087719] ; [8.35087719 8.64912281],0
p1,1,0.181141,1.788235,[ 8 32] ; [ 1 16],[ 6.31578947 33.68421053] ; [ 2.68421053 14.31578947],0
a1,1,0.247998,1.334548,[ 7 33] ; [ 1 16],[ 5.61403509 34.38596491] ; [ 2.38596491 14.61403509],0
s8,1,0.277102,1.18125,[ 7 33] ; [ 1 15],[ 5.71428571 34.28571429] ; [ 2.28571429 13.71428571],0
a3,1,0.283679,1.149381,[21 17] ; [12  5],[22.8 15.2] ; [10.2  6.8],0
d2,1,0.317852,0.997766,[17 22] ; [ 5 12],[15.32142857 23.67857143] ; [ 6.67857143 10.32142857],0
a4,1,0.330872,0.945481,[14 24] ; [ 4 13],[12.43636364 25.56363636] ; [ 5.56363636 11.43636364],0
r1,1,0.353098,0.862294,[17 23] ; [ 5 12],[15.43859649 24.56140351] ; [ 6.56140351 10.43859649],0
n3,1,0.353755,0.859941,[10 13] ; [5 3],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
r2,1,0.371743,0.79783,[27 11] ; [10  7],[25.56363636 12.43636364] ; [11.43636364  5.56363636],0
v3,1,0.454543,0.559299,[ 8 32] ; [ 2 15],[ 7.01754386 32.98245614] ; [ 2.98245614 14.01754386],0
p10,1,0.500969,0.452883,[15 25] ; [8 9],[16.14035088 23.85964912] ; [ 6.85964912 10.14035088],0
a8,1,0.520282,0.413335,[ 1 37] ; [ 1 15],[ 1.40740741 36.59259259] ; [ 0.59259259 15.40740741],0
p5,1,0.553337,0.351373,[ 3 37] ; [ 2 14],[ 3.57142857 36.42857143] ; [ 1.42857143 14.57142857],0
n6,1,0.554113,0.35,[19 21] ; [9 7],[20. 20.] ; [8. 8.],0
s3,1,0.577962,0.309541,[11 26] ; [ 6 10],[11.86792453 25.13207547] ; [ 5.13207547 10.86792453],0
p9,1,0.593955,0.284211,[16 22] ; [8 8],[16.88888889 21.11111111] ; [7.11111111 8.88888889],0
u3,1,0.612274,0.256877,[ 6 13] ; [1 4],[ 5.54166667 13.45833333] ; [1.45833333 3.54166667],0
p6,1,0.623147,0.241469,[ 3 36] ; [ 2 15],[ 3.48214286 35.51785714] ; [ 1.51785714 15.48214286],0
s6,1,0.633278,0.227642,[10 30] ; [ 5 11],[10.71428571 29.28571429] ; [ 4.28571429 11.71428571],0
s5,1,0.648874,0.207322,[ 9 30] ; [ 3 14],[ 8.35714286 30.64285714] ; [ 3.64285714 13.35714286],0
