Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3e-06,22.035147,[  3 102] ; [4 6],[ 6.39130435 98.60869565] ; [0.60869565 9.39130435],1
a1,1,0.000284,13.172104,[  1 105] ; [2 8],[  2.74137931 103.25862069] ; [0.25862069 9.74137931],1
p1,1,0.000569,11.873443,[ 7 99] ; [4 6],[10.05172414 95.94827586] ; [0.94827586 9.05172414],1
d2,1,0.009603,6.707134,[50 56] ; [9 1],[53.9137931 52.0862069] ; [5.0862069 4.9137931],0
s8,1,0.023589,5.124613,[56 50] ; [9 1],[59.39655172 46.60344828] ; [5.60344828 4.39655172],0
v1,1,0.02435,5.069559,[45 60] ; [8 2],[48.39130435 56.60869565] ; [4.60869565 5.39130435],0
d1,1,0.044918,4.021732,[61 45] ; [9 1],[63.96551724 42.03448276] ; [6.03448276 3.96551724],0
s1,1,0.054128,3.708743,[  5 100] ; [2 8],[ 6.39130435 98.60869565] ; [0.60869565 9.39130435],0
p6,1,0.061407,3.498973,[41 63] ; [7 3],[43.78947368 60.21052632] ; [4.21052632 5.78947368],0
p8,1,0.06539,3.395117,[51 52] ; [8 2],[53.77876106 49.22123894] ; [5.22123894 4.77876106],0
p3,1,0.078256,3.10076,[54 52] ; [8 2],[56.65517241 49.34482759] ; [5.34482759 4.65517241],0
p7,1,0.100817,2.692574,[65 36] ; [9 1],[67.33333333 33.66666667] ; [6.66666667 3.33333333],0
s5,1,0.175453,1.835725,[54 44] ; [5 1],[55.59615385 42.40384615] ; [3.40384615 2.59615385],0
b4,1,0.211042,1.564262,[64 42] ; [4 6],[62.13793103 43.86206897] ; [5.86206897 4.13793103],0
a4,1,0.248636,1.330952,[52 54] ; [3 7],[50.25862069 55.74137931] ; [4.74137931 5.25862069],0
r1,1,0.352696,0.863735,[82 24] ; [9 1],[83.15517241 22.84482759] ; [7.84482759 2.15517241],0
u1,1,0.414838,0.664892,[22 84] ; [1 9],[21.01724138 84.98275862] ; [1.98275862 8.01724138],0
u3,1,0.41835,0.654947,[25  8] ; [1 1],[24.51428571  8.48571429] ; [1.48571429 0.51428571],0
v3,1,0.461492,0.542274,[30 74] ; [4 6],[31.01754386 72.98245614] ; [2.98245614 7.01754386],0
a3,1,0.463479,0.537481,[73 33] ; [8 2],[74.01724138 31.98275862] ; [6.98275862 3.01724138],0
b5,1,0.484198,0.489394,[65 41] ; [5 5],[63.96551724 42.03448276] ; [6.03448276 3.96551724],0
d4,1,0.486305,0.484691,[86 20] ; [9 1],[86.81034483 19.18965517] ; [8.18965517 1.81034483],0
s7,1,0.518177,0.417519,[71 30] ; [8 2],[71.88288288 29.11711712] ; [7.11711712 2.88288288],0
a8,1,0.5195,0.414886,[ 5 93] ; [1 9],[ 5.44444444 92.55555556] ; [0.55555556 9.44444444],0
a5,1,0.52147,0.410985,[74 32] ; [6 4],[73.10344828 32.89655172] ; [6.89655172 3.10344828],0
b1,1,0.562569,0.335276,[43 63] ; [5 5],[43.86206897 62.13793103] ; [4.13793103 5.86206897],0
p11,1,0.574462,0.315274,[76 30] ; [8 2],[76.75862069 29.24137931] ; [7.24137931 2.75862069],0
b2,1,0.599793,0.275308,[11 44] ; [2 5],[11.53225806 43.46774194] ; [1.46774194 5.53225806],0
b3,1,0.599793,0.275308,[11 44] ; [2 5],[11.53225806 43.46774194] ; [1.46774194 5.53225806],0
a7,1,0.609767,0.260515,[72 34] ; [6 4],[71.27586207 34.72413793] ; [6.72413793 3.27586207],0
v2,1,0.669282,0.182443,[48 54] ; [4 6],[47.35714286 54.64285714] ; [4.64285714 5.35714286],0
a6,1,0.79985,0.064283,[70 36] ; [7 3],[70.36206897 35.63793103] ; [6.63793103 3.36206897],0
u2,1,0.833497,0.044192,[19 14] ; [1 1],[18.85714286 14.14285714] ; [1.14285714 0.85714286],0
s2,1,0.833591,0.044141,[93 13] ; [9 1],[93.20689655 12.79310345] ; [8.79310345 1.20689655],0
d3,1,0.858207,0.031918,[77 29] ; [7 3],[76.75862069 29.24137931] ; [7.24137931 2.75862069],0
d5,1,0.930438,0.00762,[86 20] ; [8 2],[85.89655172 20.10344828] ; [8.10344828 1.89655172],0
