Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,44.202214,[108  23] ; [ 6 23],[93.3375 37.6625] ; [20.6625  8.3375],1
p10,1,4.2e-05,16.797127,[107  23] ; [14 16],[98.3125 31.6875] ; [22.6875  7.3125],1
p11,1,0.000537,11.98319,[99 32] ; [13 17],[91.13043478 39.86956522] ; [20.86956522  9.13043478],1
n4,1,0.00335,8.606196,[110  21] ; [18 12],[104.14906832  26.85093168] ; [23.85093168  6.14906832],0
r3,1,0.008529,6.918933,[126   5] ; [25  5],[122.86335404   8.13664596] ; [28.13664596  1.86335404],0
p4,1,0.009825,6.666269,[97 34] ; [15 15],[91.13043478 39.86956522] ; [20.86956522  9.13043478],0
b1,1,0.010109,6.615537,[62 69] ; [22  8],[68.34782609 62.65217391] ; [15.65217391 14.34782609],0
d5,1,0.021529,5.28342,[117  14] ; [22  8],[113.09937888  17.90062112] ; [25.90062112  4.09937888],0
p9,1,0.031874,4.605254,[109  21] ; [20 10],[104.8125  25.1875] ; [24.1875  5.8125],0
v4,1,0.033166,4.537178,[124   7] ; [25  5],[121.23602484   9.76397516] ; [27.76397516  2.23602484],0
v3,1,0.0405,4.196829,[56 69] ; [ 6 20],[51.32450331 73.67549669] ; [10.67549669 15.32450331],0
u1,1,0.043814,4.063707,[36 95] ; [ 3 27],[31.73291925 99.26708075] ; [ 7.26708075 22.73291925],0
v2,1,0.103195,2.655464,[73 53] ; [11 16],[69.17647059 56.82352941] ; [14.82352941 12.17647059],0
d4,1,0.114352,2.493018,[101  30] ; [27  3],[104.14906832  26.85093168] ; [23.85093168  6.14906832],0
s4,1,0.116738,2.460551,[ 19 110] ; [ 8 22],[ 21.90566038 107.09433962] ; [ 5.09433962 24.90566038],0
u3,1,0.119661,2.421755,[19 12] ; [8 1],[20.925 10.075] ; [6.075 2.925],0
r1,1,0.144368,2.130771,[98 32] ; [18 11],[94.8427673 35.1572327] ; [21.1572327  7.8427673],0
r4,1,0.163017,1.946016,[117  14] ; [24  6],[114.72670807  16.27329193] ; [26.27329193  3.72670807],0
p1,1,0.172032,1.865143,[ 11 120] ; [ 5 25],[ 13.01863354 117.98136646] ; [ 2.98136646 27.01863354],0
s6,1,0.216499,1.52743,[93 37] ; [18 12],[90.1875 39.8125] ; [20.8125  9.1875],0
s7,1,0.234392,1.414012,[68 55] ; [12 16],[65.16556291 57.83443709] ; [14.83443709 13.16556291],0
