Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,32.087404,[280  17] ; [62 23],[265.90052356  31.09947644] ; [76.09947644  8.90052356],1
n5,1,0.0,30.60116,[222  73] ; [37 48],[201.06578947  93.93421053] ; [57.93421053 27.06578947],1
p10,1,0.0,28.599874,[228  65] ; [39 43],[208.616  84.384] ; [58.384 23.616],1
p11,1,0.0,28.365006,[239  58] ; [44 41],[220.02879581  76.97120419] ; [62.97120419 22.02879581],1
r3,1,0.0,25.432456,[272  23] ; [61 24],[258.51315789  36.48684211] ; [74.48684211 10.51315789],1
r4,1,1e-06,24.577521,[254  43] ; [52 33],[237.91099476  59.08900524] ; [68.08900524 16.91099476],1
p9,1,3.4e-05,17.189226,[235  55] ; [49 34],[220.80428954  69.19571046] ; [63.19571046 19.80428954],1
n4,1,0.000188,13.946366,[223  74] ; [46 39],[209.14397906  87.85602094] ; [59.85602094 25.14397906],1
b1,1,0.000291,13.12751,[103 194] ; [48 37],[117.40052356 179.59947644] ; [33.59947644 51.40052356],1
r2,1,0.00098,10.864297,[265  27] ; [65 19],[256.27659574  35.72340426] ; [73.72340426 10.27659574],1
d4,1,0.001266,10.390725,[235  61] ; [53 32],[223.7480315  72.2519685] ; [64.2519685 20.7480315],0
p2,1,0.00172,9.82649,[232  64] ; [51 32],[221.0237467  74.9762533] ; [61.9762533 21.0237467],0
p4,1,0.001728,9.817708,[159 136] ; [29 55],[146.33245383 148.66754617] ; [41.66754617 42.33245383],0
p3,1,0.006131,7.511337,[134 162] ; [24 60],[123.07368421 172.92631579] ; [34.92631579 49.07368421],0
d1,1,0.016758,5.721593,[159 138] ; [33 52],[149.27748691 147.72251309] ; [42.72251309 42.27748691],0
p8,1,0.017767,5.618932,[144 146] ; [29 54],[134.50402145 155.49597855] ; [38.49597855 44.50402145],0
a5,1,0.019497,5.456347,[211  86] ; [49 36],[202.14659686  94.85340314] ; [57.85340314 27.14659686],0
p6,1,0.022574,5.201011,[ 88 205] ; [14 67],[ 79.90909091 213.09090909] ; [22.09090909 58.90909091],0
s7,1,0.022576,5.200813,[ 74 208] ; [11 68],[ 66.39889197 215.60110803] ; [18.60110803 60.39889197],0
p7,1,0.023419,5.137119,[166 126] ; [36 48],[156.87234043 135.12765957] ; [45.12765957 38.87234043],0
s6,1,0.023808,5.108594,[118 173] ; [23 62],[109.125 181.875] ; [31.875 53.125],0
s5,1,0.027175,4.879644,[ 64 228] ; [ 9 73],[ 56.99465241 235.00534759] ; [16.00534759 65.99465241],0
r1,1,0.04408,4.053481,[224  72] ; [55 30],[216.75590551  79.24409449] ; [62.24409449 22.75590551],0
v3,1,0.047474,3.928507,[103 187] ; [19 61],[ 95.62162162 194.37837838] ; [26.37837838 53.62162162],0
u1,1,0.047826,3.916074,[ 41 256] ; [ 5 80],[ 35.76439791 261.23560209] ; [10.23560209 74.76439791],0
d3,1,0.049281,3.865758,[194 103] ; [45 39],[186.30708661 110.69291339] ; [52.69291339 31.30708661],0
s1,1,0.05802,3.593092,[  4 291] ; [ 4 81],[  6.21052632 288.78947368] ; [ 1.78947368 83.21052632],0
v1,1,0.065384,3.395251,[143 149] ; [32 53],[135.54376658 156.45623342] ; [39.45623342 45.54376658],0
n2,1,0.143262,2.142572,[51 24] ; [17 15],[47.6635514 27.3364486] ; [20.3364486 11.6635514],0
v2,1,0.145579,2.117971,[153 136] ; [35 45],[147.24119241 141.75880759] ; [40.75880759 39.24119241],0
p5,1,0.211792,1.559137,[ 31 265] ; [ 5 79],[ 28.04210526 267.95789474] ; [ 7.95789474 76.04210526],0
d5,1,0.285488,1.140778,[233  64] ; [62 23],[229.35863874  67.64136126] ; [65.64136126 19.35863874],0
s8,1,0.287271,1.132369,[ 64 230] ; [14 71],[ 60.50659631 233.49340369] ; [17.49340369 67.50659631],0
n3,1,0.29824,1.082047,[53 21] ; [19 12],[50.74285714 23.25714286] ; [21.25714286  9.74285714],0
u3,1,0.381484,0.765913,[51 54] ; [11 17],[48.94736842 56.05263158] ; [13.05263158 14.94736842],0
u2,1,0.446422,0.57972,[51 53] ; [16 12],[52.78787879 51.21212121] ; [14.21212121 13.78787879],0
b4,1,0.447218,0.577694,[171 126] ; [45 40],[167.93717277 129.06282723] ; [48.06282723 36.93717277],0
a1,1,0.467747,0.527293,[ 12 285] ; [ 5 80],[ 13.21727749 283.78272251] ; [ 3.78272251 81.21727749],0
a6,1,0.550403,0.356596,[199  98] ; [54 31],[196.70418848 100.29581152] ; [56.29581152 28.70418848],0
a3,1,0.571564,0.320072,[191 105] ; [57 27],[193.17894737 102.82105263] ; [54.82105263 29.17894737],0
s4,1,0.590145,0.290118,[ 30 264] ; [ 7 78],[ 28.70184697 265.29815303] ; [ 8.29815303 76.70184697],0
a7,1,0.612693,0.256272,[207  89] ; [57 28],[205.1023622  90.8976378] ; [58.8976378 26.1023622],0
a8,1,0.63535,0.224875,[ 31 232] ; [ 8 73],[ 29.81686047 233.18313953] ; [ 9.18313953 71.81686047],0
u4,1,0.643145,0.214652,[  2 295] ; [ 1 84],[  2.33246073 294.66753927] ; [ 0.66753927 84.33246073],0
n1,1,0.712512,0.135781,[25 49] ; [12 20],[25.83018868 48.16981132] ; [11.16981132 20.83018868],0
