Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,75.223373,[282  77] ; [42 76],[243.8490566 115.1509434] ; [80.1509434 37.8490566],1
d3,1,0.0,39.436022,[293  66] ; [62 56],[267.1802935  91.8197065] ; [87.8197065 30.1802935],1
a2,1,0.0,34.363573,[120 239] ; [  7 111],[ 95.58280922 263.41719078] ; [31.41719078 86.58280922],1
u1,1,0.0,26.17057,[ 99 260] ; [  6 112],[ 79.02515723 279.97484277] ; [25.97484277 92.02515723],1
b5,1,3e-06,21.951139,[231 128] ; [47 71],[209.22851153 149.77148847] ; [68.77148847 49.22851153],1
r4,1,0.000169,14.152563,[340  19] ; [99 19],[330.40041929  28.59958071] ; [108.59958071   9.40041929],1
r2,1,0.003483,8.535337,[341  14] ; [103  13],[334.64968153  20.35031847] ; [109.35031847   6.64968153],0
r1,1,0.004801,7.952782,[304  53] ; [87 31],[293.86736842  63.13263158] ; [97.13263158 20.86736842],0
v4,1,0.006323,7.455864,[349   8] ; [109   9],[344.22315789  12.77684211] ; [113.77684211   4.22315789],0
r3,1,0.013758,6.068957,[345  11] ; [108  10],[340.2278481  15.7721519] ; [112.7721519   5.2278481],0
s8,1,0.020772,5.345847,[170 185] ; [71 47],[180.87737844 174.12262156] ; [60.12262156 57.87737844],0
b1,1,0.021882,5.255136,[125 234] ; [55 63],[135.47169811 223.52830189] ; [44.52830189 73.47169811],0
d1,1,0.026883,4.898317,[244 115] ; [67 51],[234.06498952 124.93501048] ; [76.93501048 41.06498952],0
a5,1,0.033506,4.519745,[289  70] ; [84 34],[280.72746331  78.27253669] ; [92.27253669 25.72746331],0
u3,1,0.035604,4.415954,[59 34] ; [13 18],[54. 39.] ; [18. 13.],0
v2,1,0.068374,3.32164,[212 138] ; [58 56],[203.6637931 146.3362069] ; [66.3362069 47.6637931],0
p2,1,0.092689,2.827045,[328  30] ; [101  16],[323.33052632  34.66947368] ; [105.66947368  11.33052632],0
d4,1,0.122121,2.389904,[307  52] ; [93 24],[301.68067227  57.31932773] ; [98.31932773 18.68067227],0
b4,1,0.145056,2.123485,[216 143] ; [62 56],[209.22851153 149.77148847] ; [68.77148847 49.22851153],0
s7,1,0.145299,2.120921,[189 147] ; [73 41],[195.62666667 140.37333333] ; [66.37333333 47.62666667],0
s5,1,0.145647,2.117263,[130 214] ; [51 61],[136.54385965 207.45614035] ; [44.45614035 67.54385965],0
v1,1,0.148818,2.084324,[220 130] ; [63 51],[213.46982759 136.53017241] ; [69.53017241 44.46982759],0
n5,1,0.170404,1.879389,[300  58] ; [105  13],[304.60084034  53.39915966] ; [100.39915966  17.60084034],0
u2,1,0.176856,1.82385,[54 40] ; [13 17],[50.79032258 43.20967742] ; [16.20967742 13.79032258],0
n2,1,0.187448,1.73756,[43 13] ; [17 10],[40.48192771 15.51807229] ; [19.51807229  7.48192771],0
b3,1,0.192007,1.702149,[ 83 143] ; [36 44],[ 87.88888889 138.11111111] ; [31.11111111 48.88888889],0
b2,1,0.192007,1.702149,[ 83 143] ; [36 44],[ 87.88888889 138.11111111] ; [31.11111111 48.88888889],0
p12,1,0.253346,1.30476,[ 41 318] ; [  9 108],[ 37.71008403 321.28991597] ; [ 12.28991597 104.71008403],0
n3,1,0.258259,1.278067,[44 13] ; [17  9],[41.89156627 15.10843373] ; [19.10843373  6.89156627],0
p5,1,0.26995,1.216999,[ 60 296] ; [25 92],[ 63.97463002 292.02536998] ; [21.02536998 95.97463002],0
p6,1,0.2753,1.190148,[185 171] ; [54 63],[179.88160677 176.11839323] ; [59.11839323 57.88160677],0
d5,1,0.297551,1.085137,[306  53] ; [95 22],[302.43487395  56.56512605] ; [98.56512605 18.43487395],0
v3,1,0.343363,0.897834,[144 199] ; [55 62],[148.38478261 194.61521739] ; [50.61521739 66.38478261],0
u4,1,0.436173,0.60633,[ 10 348] ; [  5 113],[ 11.28151261 346.71848739] ; [  3.71848739 114.28151261],0
p1,1,0.487072,0.482988,[ 42 316] ; [ 11 106],[ 39.94526316 318.05473684] ; [ 13.05473684 103.94526316],0
p10,1,0.496044,0.46339,[312  43] ; [100  17],[309.87288136  45.12711864] ; [102.12711864  14.87288136],0
n1,1,0.505225,0.443944,[21 36] ; [12 15],[22.39285714 34.60714286] ; [10.60714286 16.39285714],0
n4,1,0.525626,0.402841,[304  54] ; [103  15],[306.10504202  51.89495798] ; [100.89495798  17.10504202],0
p11,1,0.579189,0.307548,[300  59] ; [96 22],[298.03773585  60.96226415] ; [97.96226415 20.03773585],0
s2,1,0.66225,0.190801,[202 150] ; [65 53],[199.96595745 152.03404255] ; [67.03404255 50.96595745],0
s6,1,0.714987,0.133347,[258  92] ; [86 28],[259.48275862  90.51724138] ; [84.51724138 29.48275862],0
p9,1,0.748021,0.103202,[316  40] ; [106  12],[316.94514768  39.05485232] ; [105.05485232  12.94514768],0
a8,1,0.799386,0.064588,[ 45 271] ; [15 98],[ 44.1958042 271.8041958] ; [15.8041958 97.1958042],0
s4,1,0.810143,0.057716,[ 62 289] ; [22 96],[ 62.86567164 288.13432836] ; [21.13432836 96.86567164],0
