Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2.3e-05,17.961386,[21 61] ; [34 21],[32.91970803 49.08029197] ; [22.08029197 32.91970803],1
v3,1,0.000608,11.752782,[17 62] ; [27 27],[26.13533835 52.86466165] ; [17.86466165 36.13533835],1
n3,1,0.001239,10.431767,[13 17] ; [17  2],[18.36734694 11.63265306] ; [11.63265306  7.36734694],0
r3,1,0.001505,10.071958,[58 24] ; [52  4],[65.36231884 16.63768116] ; [44.63768116 11.36231884],0
d4,1,0.003233,8.670796,[49 32] ; [47  9],[56.75912409 24.24087591] ; [39.24087591 16.75912409],0
s8,1,0.012058,6.302258,[16 65] ; [22 34],[22.46715328 58.53284672] ; [15.53284672 40.46715328],0
p2,1,0.029722,4.725297,[44 38] ; [41 16],[50.14388489 31.85611511] ; [34.85611511 22.14388489],0
p11,1,0.029917,4.71406,[35 47] ; [35 22],[41.29496403 40.70503597] ; [28.70503597 28.29496403],0
n2,1,0.03037,4.688245,[18 15] ; [16  3],[21.57692308 11.42307692] ; [12.42307692  6.57692308],0
n6,1,0.031519,4.624464,[50 31] ; [45 12],[55.76086957 25.23913043] ; [39.23913043 17.76086957],0
s7,1,0.034024,4.493475,[24 52] ; [27 27],[29.81538462 46.18461538] ; [21.18461538 32.81538462],0
b5,1,0.034348,4.477307,[46 36] ; [42 15],[51.91366906 30.08633094] ; [36.08633094 20.91366906],0
d3,1,0.036953,4.352561,[41 40] ; [39 18],[46.95652174 34.04347826] ; [33.04347826 23.95652174],0
p5,1,0.038508,4.282436,[ 9 73] ; [ 1 56],[ 5.89928058 76.10071942] ; [ 4.10071942 52.89928058],0
p6,1,0.045021,4.017857,[16 65] ; [19 35],[21. 60.] ; [14. 40.],0
v4,1,0.05625,3.644653,[63 19] ; [51  6],[67.25179856 14.74820144] ; [46.74820144 10.25179856],0
u2,1,0.059063,3.563491,[12 23] ; [10  6],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
s2,1,0.059579,3.549068,[23 59] ; [24 31],[28.13138686 53.86861314] ; [18.86861314 36.13138686],0
d1,1,0.064678,3.413176,[33 49] ; [32 25],[38.34532374 43.65467626] ; [26.65467626 30.34532374],0
d5,1,0.069161,3.302825,[54 27] ; [46 11],[58.69565217 22.30434783] ; [41.30434783 15.69565217],0
p4,1,0.079704,3.070922,[26 56] ; [26 30],[30.89855072 51.10144928] ; [21.10144928 34.89855072],0
s5,1,0.081891,3.026962,[11 68] ; [14 40],[14.84962406 64.15037594] ; [10.15037594 43.84962406],0
a7,1,0.091713,2.844054,[47 35] ; [40 16],[51.69565217 30.30434783] ; [35.30434783 20.69565217],0
s6,1,0.108755,2.572224,[35 46] ; [32 24],[39.61313869 41.38686131] ; [27.38686131 28.61313869],0
n5,1,0.113338,2.507045,[62 20] ; [36 21],[57.81294964 24.18705036] ; [40.18705036 16.81294964],0
p7,1,0.163419,1.942299,[29 53] ; [26 29],[32.91970803 49.08029197] ; [22.08029197 32.91970803],0
d2,1,0.189132,1.724365,[38 42] ; [33 23],[41.76470588 38.23529412] ; [29.23529412 26.76470588],0
u4,1,0.191417,1.706675,[ 2 80] ; [ 4 53],[ 3.53956835 78.46043165] ; [ 2.46043165 54.53956835],0
a3,1,0.248417,1.332184,[47 33] ; [39 18],[50.2189781 29.7810219] ; [35.7810219 21.2189781],0
p8,1,0.278938,1.172256,[21 60] ; [19 36],[23.82352941 57.17647059] ; [16.17647059 38.82352941],0
p1,1,0.31458,1.011347,[ 8 72] ; [ 3 54],[ 6.42335766 73.57664234] ; [ 4.57664234 52.42335766],0
a6,1,0.371818,0.797579,[45 36] ; [36 21],[47.54347826 33.45652174] ; [33.45652174 23.54347826],0
r4,1,0.396576,0.718684,[58 24] ; [44 13],[60.17266187 21.82733813] ; [41.82733813 15.17266187],0
p9,1,0.399868,0.708723,[26 53] ; [22 33],[28.29850746 50.70149254] ; [19.70149254 35.29850746],0
n1,1,0.422536,0.643251,[18 14] ; [ 8 10],[16.64 15.36] ; [9.36 8.64],0
u1,1,0.432478,0.61616,[13 69] ; [12 45],[14.74820144 67.25179856] ; [10.25179856 46.74820144],0
b4,1,0.448134,0.575368,[48 34] ; [37 20],[50.14388489 31.85611511] ; [34.85611511 22.14388489],0
b1,1,0.475823,0.508421,[41 41] ; [32 25],[43.0647482 38.9352518] ; [29.9352518 27.0647482],0
s3,1,0.476635,0.506552,[35 45] ; [27 27],[37.01492537 42.98507463] ; [24.98507463 29.01492537],0
a2,1,0.476646,0.506527,[16 66] ; [14 43],[17.69784173 64.30215827] ; [12.30215827 44.69784173],0
a4,1,0.497118,0.461083,[36 44] ; [29 28],[37.95620438 42.04379562] ; [27.04379562 29.95620438],0
r1,1,0.561998,0.336257,[56 25] ; [42 15],[57.52173913 23.47826087] ; [40.47826087 16.52173913],0
a8,1,0.585568,0.297319,[12 66] ; [ 9 38],[13.104 64.896] ; [ 7.896 39.104],0
r2,1,0.598311,0.277551,[69 11] ; [50  6],[70. 10.] ; [49.  7.],0
u3,1,0.634929,0.225436,[16 19] ; [ 7 11],[15.18867925 19.81132075] ; [ 7.81132075 10.18867925],0
a5,1,0.693051,0.155803,[52 30] ; [38 19],[53.09352518 28.90647482] ; [36.90647482 20.09352518],0
b2,1,0.69617,0.152487,[20 35] ; [13 27],[19.10526316 35.89473684] ; [13.89473684 26.10526316],0
b3,1,0.69617,0.152487,[20 35] ; [13 27],[19.10526316 35.89473684] ; [13.89473684 26.10526316],0
p12,1,0.720013,0.12848,[ 2 79] ; [ 2 55],[ 2.34782609 78.65217391] ; [ 1.65217391 55.34782609],0
s4,1,0.832333,0.044821,[11 69] ; [ 7 49],[10.58823529 69.41176471] ; [ 7.41176471 48.58823529],0
a1,1,0.844607,0.038417,[ 8 74] ; [ 5 52],[ 7.66906475 74.33093525] ; [ 5.33093525 51.66906475],0
