Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,99.673947,[140  16] ; [ 70 119],[94.95652174 61.04347826] ; [115.04347826  73.95652174],1
d5,1,0.0,95.899782,[152   4] ; [94 96],[110.9132948  45.0867052] ; [135.0867052  54.9132948],1
d2,1,0.0,93.005882,[105  50] ; [ 32 159],[61.37283237 93.62716763] ; [ 75.62716763 115.37283237],1
d4,1,0.0,81.749971,[152   3] ; [106  85],[115.57803468  39.42196532] ; [142.42196532  48.57803468],1
a5,1,0.0,40.334034,[124  32] ; [ 88 103],[95.30835735 60.69164265] ; [116.69164265  74.30835735],1
a2,1,0.0,38.757452,[ 47 109] ; [ 10 181],[ 25.62536023 130.37463977] ; [ 31.37463977 159.62536023],1
a4,1,1e-06,24.992315,[79 76] ; [ 47 142],[56.77325581 98.22674419] ; [ 69.22674419 119.77325581],1
u1,1,2e-06,23.128307,[ 31 125] ; [  7 184],[ 17.08357349 138.91642651] ; [ 20.91642651 170.08357349],1
a3,1,6e-06,20.41022,[116  40] ; [95 93],[95.68604651 60.31395349] ; [115.31395349  72.68604651],1
r2,1,4.2e-05,16.782218,[144   7] ; [151  37],[131.40117994  19.59882006] ; [163.59882006  24.40117994],1
a6,1,0.000194,13.893003,[113  43] ; [101  90],[96.2074928 59.7925072] ; [117.7925072  73.2074928],1
r1,1,0.000735,11.399707,[123  32] ; [119  71],[108.72463768  46.27536232] ; [133.27536232  56.72463768],1
r4,1,0.002579,9.083925,[131  25] ; [134  57],[119.13544669  36.86455331] ; [145.86455331  45.13544669],0
a7,1,0.004875,7.925293,[116  40] ; [114  76],[103.69942197  52.30057803] ; [126.30057803  63.69942197],0
n6,1,0.016918,5.704824,[125  31] ; [130  59],[115.30434783  40.69565217] ; [139.69565217  49.30434783],0
r3,1,0.033288,4.530902,[143  13] ; [158  30],[136.5  19.5] ; [164.5  23.5],0
v2,1,0.051012,3.807864,[61 89] ; [ 55 126],[52.56797583 97.43202417] ; [ 63.43202417 117.56797583],0
p4,1,0.055705,3.660866,[60 95] ; [ 55 135],[ 51.66666667 103.33333333] ; [ 63.33333333 126.66666667],0
s2,1,0.087038,2.928322,[69 86] ; [ 67 122],[61.27906977 93.72093023] ; [ 74.72093023 114.27906977],0
n4,1,0.092353,2.832875,[108  48] ; [115  75],[100.5433526  55.4566474] ; [122.4566474  67.5433526],0
s7,1,0.094365,2.798285,[60 91] ; [ 57 127],[52.73731343 98.26268657] ; [ 64.26268657 119.73731343],0
s1,1,0.10724,2.594431,[  3 150] ; [ 10 178],[  5.83284457 147.16715543] ; [  7.16715543 180.83284457],0
b4,1,0.116145,2.468544,[94 62] ; [99 92],[86.76657061 69.23342939] ; [106.23342939  84.76657061],0
b2,1,0.131698,2.27238,[34 58] ; [28 76],[29.10204082 62.89795918] ; [32.89795918 71.10204082],0
b3,1,0.131698,2.27238,[34 58] ; [28 76],[29.10204082 62.89795918] ; [32.89795918 71.10204082],0
a1,1,0.157243,2.000541,[  3 153] ; [  9 182],[  5.39481268 150.60518732] ; [  6.60518732 184.39481268],0
s8,1,0.163196,1.944357,[ 50 106] ; [ 48 142],[ 44.1849711 111.8150289] ; [ 53.8150289 136.1849711],0
p6,1,0.165659,1.921798,[ 40 114] ; [ 37 151],[ 34.67251462 119.32748538] ; [ 42.32748538 145.67251462],0
s6,1,0.187862,1.734303,[90 64] ; [97 92],[83.95918367 70.04081633] ; [103.04081633  85.95918367],0
v4,1,0.200989,1.635173,[139  16] ; [159  28],[135.05847953  19.94152047] ; [162.94152047  24.05847953],0
n2,1,0.213661,1.546446,[34 19] ; [50 17],[37.1 15.9] ; [46.9 20.1],0
