Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.006686,7.355414,[35 41] ; [ 41 106],[25.90134529 50.09865471] ; [50.09865471 96.90134529],0
p11,1,0.008427,6.940349,[42 34] ; [107  40],[50.78026906 25.21973094] ; [98.21973094 48.78026906],0
p9,1,0.011045,6.457988,[48 26] ; [116  28],[55.66972477 18.33027523] ; [108.33027523  35.66972477],0
v4,1,0.01279,6.197881,[65 10] ; [139   6],[69.54545455  5.45454545] ; [134.45454545  10.54545455],0
p2,1,0.022074,5.239924,[47 28] ; [112  33],[54.20454545 20.79545455] ; [104.79545455  40.20454545],0
n5,1,0.024085,5.088508,[17 57] ; [56 91],[24.44343891 49.55656109] ; [48.55656109 98.44343891],0
s1,1,0.034153,4.487033,[ 5 71] ; [  2 145],[ 2.38565022 73.61434978] ; [  4.61434978 142.38565022],0
p10,1,0.043089,4.091902,[44 30] ; [105  39],[50.57798165 23.42201835] ; [98.42201835 45.57798165],0
u2,1,0.056154,3.64749,[24 11] ; [28 30],[19.56989247 15.43010753] ; [32.43010753 25.56989247],0
r2,1,0.065496,3.392438,[65 11] ; [136  10],[68.81081081  7.18918919] ; [132.18918919  13.81081081],0
p1,1,0.127922,2.317542,[ 7 69] ; [  6 139],[ 4.47058824 71.52941176] ; [  8.52941176 136.47058824],0
n1,1,0.131161,2.278709,[10 18] ; [11 43],[ 7.17073171 20.82926829] ; [13.82926829 40.17073171],0
s5,1,0.148738,2.085142,[18 55] ; [49 94],[22.64351852 50.35648148] ; [44.35648148 98.64351852],0
a6,1,0.176083,1.830381,[53 23] ; [89 58],[48.39461883 27.60538117] ; [93.60538117 53.39461883],0
s4,1,0.177496,1.818467,[14 62] ; [ 39 108],[18.06278027 57.93721973] ; [ 34.93721973 112.06278027],0
r4,1,0.179848,1.798881,[61 15] ; [128  19],[64.41255605 11.58744395] ; [124.58744395  22.41255605],0
s6,1,0.211597,1.560468,[40 35] ; [90 55],[44.31818182 30.68181818] ; [85.68181818 59.31818182],0
a7,1,0.234009,1.416325,[51 25] ; [109  37],[54.77477477 21.22522523] ; [105.22522523  40.77477477],0
s3,1,0.237356,1.39623,[42 34] ; [68 77],[37.8280543 38.1719457] ; [72.1719457 72.8280543],0
a3,1,0.274173,1.19575,[40 36] ; [88 58],[43.81981982 32.18018018] ; [84.18018018 61.81981982],0
n2,1,0.2788,1.172929,[18 11] ; [39 14],[20.15853659  8.84146341] ; [36.84146341 16.15853659],0
p7,1,0.35597,0.85206,[36 36] ; [81 62],[39.18139535 32.81860465] ; [77.81860465 65.18139535],0
p12,1,0.376169,0.783183,[ 1 73] ; [  5 142],[ 2.00904977 71.99095023] ; [  3.99095023 143.00904977],0
b4,1,0.447677,0.576526,[42 34] ; [89 58],[44.64573991 31.35426009] ; [86.35426009 60.64573991],0
u3,1,0.466862,0.529392,[22 13] ; [32 26],[20.32258065 14.67741935] ; [33.67741935 24.32258065],0
b5,1,0.496127,0.46321,[44 32] ; [92 55],[46.34977578 29.65022422] ; [89.65022422 57.34977578],0
s8,1,0.535381,0.384169,[26 50] ; [ 44 102],[23.96396396 52.03603604] ; [46.03603604 99.96396396],0
n3,1,0.553034,0.351909,[21  8] ; [35 18],[19.80487805  9.19512195] ; [36.19512195 16.80487805],0
d1,1,0.595908,0.281213,[38 38] ; [68 79],[36.12556054 39.87443946] ; [69.87443946 77.12556054],0
v3,1,0.612624,0.256372,[16 55] ; [ 36 104],[17.49763033 53.50236967] ; [ 34.50236967 105.49763033],0
s2,1,0.615671,0.251999,[36 40] ; [64 82],[34.23423423 41.76576577] ; [65.76576577 80.23423423],0
a1,1,0.618644,0.247778,[ 3 73] ; [  4 143],[ 2.38565022 73.61434978] ; [  4.61434978 142.38565022],0
a8,1,0.629846,0.23227,[ 3 68] ; [  8 130],[ 3.73684211 67.26315789] ; [  7.26315789 130.73684211],0
a5,1,0.642793,0.215108,[42 34] ; [86 61],[43.62331839 32.37668161] ; [84.37668161 62.62331839],0
p8,1,0.660206,0.193273,[33 41] ; [61 86],[31.47511312 42.52488688] ; [62.52488688 84.47511312],0
s7,1,0.666248,0.186023,[20 50] ; [45 98],[21.36150235 48.63849765] ; [43.63849765 99.36150235],0
d4,1,0.678269,0.172081,[59 16] ; [112  35],[57.77027027 17.22972973] ; [113.22972973  33.77027027],0
p6,1,0.694152,0.154627,[18 54] ; [ 33 113],[16.8440367 55.1559633] ; [ 34.1559633 111.8440367],0
d5,1,0.699287,0.149215,[56 20] ; [104  42],[54.77477477 21.22522523] ; [105.22522523  40.77477477],0
v1,1,0.710963,0.137317,[29 46] ; [59 84],[30.27522936 44.72477064] ; [57.72477064 85.27522936],0
