Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-05,15.329661,[16 20] ; [66 16],[25.01694915 10.98305085] ; [56.98305085 25.01694915],1
r3,1,0.000158,14.271169,[21 15] ; [72  9],[28.61538462  7.38461538] ; [64.38461538 16.61538462],1
v4,1,0.000831,11.170784,[24 12] ; [74  7],[30.15384615  5.84615385] ; [67.84615385 13.15384615],1
a1,1,0.00392,8.320311,[ 5 31] ; [ 1 81],[ 1.83050847 34.16949153] ; [ 4.16949153 77.83050847],0
p11,1,0.006118,7.515116,[18 18] ; [62 20],[24.40677966 11.59322034] ; [55.59322034 26.40677966],0
p10,1,0.013913,6.049117,[13 21] ; [50 29],[18.95575221 15.04424779] ; [44.04424779 34.95575221],0
p9,1,0.020524,5.366769,[17 17] ; [58 22],[22.36842105 11.63157895] ; [52.63157895 27.36842105],0
n4,1,0.021122,5.316687,[18 18] ; [59 23],[23.49152542 12.50847458] ; [53.50847458 28.49152542],0
b1,1,0.029267,4.751826,[20 16] ; [28 54],[14.6440678 21.3559322] ; [33.3559322 48.6440678],0
p3,1,0.033466,4.521784,[ 8 28] ; [35 47],[13.11864407 22.88135593] ; [29.88135593 52.11864407],0
p2,1,0.047534,3.92638,[19 17] ; [58 23],[23.69230769 12.30769231] ; [53.30769231 27.69230769],0
s1,1,0.055035,3.681037,[ 4 32] ; [ 2 77],[ 1.87826087 34.12173913] ; [ 4.12173913 74.87826087],0
p1,1,0.096593,2.760922,[ 7 29] ; [ 7 74],[ 4.30769231 31.69230769] ; [ 9.69230769 71.30769231],0
d2,1,0.098888,2.723384,[11 25] ; [14 68],[ 7.62711864 28.37288136] ; [17.37288136 64.62711864],0
b3,1,0.107058,2.597125,[ 7 12] ; [ 9 40],[ 4.47058824 14.52941176] ; [11.52941176 37.47058824],0
b2,1,0.107058,2.597125,[ 7 12] ; [ 9 40],[ 4.47058824 14.52941176] ; [11.52941176 37.47058824],0
p4,1,0.17268,1.859524,[11 25] ; [36 46],[14.33898305 21.66101695] ; [32.66101695 49.33898305],0
n3,1,0.177262,1.820433,[11  6] ; [16  3],[12.75  4.25] ; [14.25  4.75],0
s3,1,0.199746,1.644231,[ 9 27] ; [29 49],[12. 24.] ; [26. 52.],0
v2,1,0.203588,1.616444,[ 8 24] ; [29 48],[10.86238532 21.13761468] ; [26.13761468 50.86238532],0
s6,1,0.221937,1.491803,[11 25] ; [34 46],[13.96551724 22.03448276] ; [31.03448276 48.96551724],0
r1,1,0.226533,1.4625,[17 19] ; [48 33],[20. 16.] ; [45. 36.],0
n5,1,0.242539,1.365774,[22 14] ; [59 23],[24.71186441 11.28813559] ; [56.28813559 25.71186441],0
b5,1,0.266597,1.234175,[18 18] ; [50 32],[20.74576271 15.25423729] ; [47.25423729 34.74576271],0
n2,1,0.294859,1.097304,[10  7] ; [15  5],[11.48648649  5.51351351] ; [13.51351351  6.48648649],0
u3,1,0.325724,0.965823,[10 10] ; [19 32],[ 8.16901408 11.83098592] ; [20.83098592 30.16901408],0
a4,1,0.348601,0.878541,[ 9 27] ; [14 66],[ 7.13793103 28.86206897] ; [15.86206897 64.13793103],0
d3,1,0.370858,0.800786,[ 6 29] ; [20 61],[ 7.84482759 27.15517241] ; [18.15517241 62.84482759],0
v1,1,0.382042,0.76412,[11 24] ; [32 48],[13.08695652 21.91304348] ; [29.91304348 50.08695652],0
r2,1,0.404953,0.69357,[28  8] ; [69 13],[29.59322034  6.40677966] ; [67.40677966 14.59322034],0
a8,1,0.434812,0.609936,[ 5 29] ; [ 7 66],[ 3.81308411 30.18691589] ; [ 8.18691589 64.81308411],0
a3,1,0.453566,0.561724,[16 19] ; [31 50],[14.18103448 20.81896552] ; [32.81896552 48.18103448],0
p5,1,0.476984,0.50575,[ 1 33] ; [ 5 76],[ 1.77391304 32.22608696] ; [ 4.22608696 76.77391304],0
s4,1,0.48419,0.489412,[ 4 32] ; [13 68],[ 5.23076923 30.76923077] ; [11.76923077 69.23076923],0
d1,1,0.545973,0.36458,[ 1 35] ; [ 1 81],[ 0.61016949 35.38983051] ; [ 1.38983051 80.61016949],0
a7,1,0.577973,0.309524,[18 18] ; [45 36],[19.38461538 16.61538462] ; [43.61538462 37.38461538],0
s5,1,0.591725,0.287658,[ 2 32] ; [ 7 72],[ 2.7079646 31.2920354] ; [ 6.2920354 72.7079646],0
b4,1,0.624774,0.239214,[18 18] ; [45 37],[19.22033898 16.77966102] ; [43.77966102 38.22033898],0
a2,1,0.656449,0.197866,[ 3 33] ; [ 5 77],[ 2.44067797 33.55932203] ; [ 5.55932203 76.44067797],0
a5,1,0.692073,0.15685,[15 21] ; [31 51],[14.03389831 21.96610169] ; [31.96610169 50.03389831],0
n1,1,0.699454,0.149041,[ 7 10] ; [ 7 13],[ 6.43243243 10.56756757] ; [ 7.56756757 12.43243243],0
u2,1,0.711207,0.137074,[ 8 12] ; [18 33],[ 7.32394366 12.67605634] ; [18.67605634 32.32394366],0
d5,1,0.754088,0.098128,[14 22] ; [34 47],[14.76923077 21.23076923] ; [33.23076923 47.76923077],0
p7,1,0.764277,0.089922,[16 19] ; [39 41],[16.73913043 18.26086957] ; [38.26086957 41.73913043],0
s8,1,0.784606,0.074705,[ 5 31] ; [13 69],[ 5.49152542 30.50847458] ; [12.50847458 69.49152542],0
v3,1,0.849041,0.03623,[ 9 26] ; [19 60],[ 8.59649123 26.40350877] ; [19.40350877 59.59649123],0
p6,1,0.879361,0.023037,[ 7 28] ; [17 63],[ 7.30434783 27.69565217] ; [16.69565217 63.30434783],0
s2,1,0.889926,0.019154,[ 6 30] ; [14 65],[ 6.26086957 29.73913043] ; [13.73913043 65.26086957],0
a6,1,0.929631,0.007798,[19 17] ; [44 38],[19.22033898 16.77966102] ; [43.77966102 38.22033898],0
p8,1,0.958812,0.002667,[13 21] ; [31 49],[13.12280702 20.87719298] ; [30.87719298 49.12280702],0
