Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.9e-05,18.2665,[143 121] ; [44  7],[156.72380952 107.27619048] ; [30.27619048 20.72380952],1
s2,1,7.5e-05,15.668561,[104 165] ; [35 16],[116.846875 152.153125] ; [22.153125 28.846875],1
s3,1,0.000429,12.403268,[131 133] ; [39 12],[142.47619048 121.52380952] ; [27.52380952 23.47619048],1
s5,1,0.001935,9.609985,[ 62 200] ; [21 25],[ 70.6038961 191.3961039] ; [12.3961039 33.6038961],0
s7,1,0.010811,6.496046,[113 142] ; [32 18],[121.2295082 133.7704918] ; [23.7704918 26.2295082],0
b2,1,0.013969,6.042024,[ 61 103] ; [ 4 25],[ 55.23316062 108.76683938] ; [ 9.76683938 19.23316062],0
b3,1,0.013969,6.042024,[ 61 103] ; [ 4 25],[ 55.23316062 108.76683938] ; [ 9.76683938 19.23316062],0
a8,1,0.026996,4.891042,[ 40 208] ; [ 2 47],[ 35.07070707 212.92929293] ; [ 6.92929293 42.07070707],0
s1,1,0.061473,3.497194,[ 10 257] ; [ 5 46],[ 12.59433962 254.40566038] ; [ 2.40566038 48.59433962],0
n1,1,0.077027,3.126548,[31 42] ; [ 3 13],[27.88764045 45.11235955] ; [6.11235955 9.88764045],0
v4,1,0.083029,3.004589,[236  32] ; [50  2],[239.525  28.475] ; [46.475  5.525],0
s8,1,0.093395,2.814868,[ 91 177] ; [24 28],[ 96.3125 171.6875] ; [18.6875 33.3125],0
p6,1,0.132586,2.261961,[ 74 190] ; [20 32],[ 78.53164557 185.46835443] ; [15.46835443 36.53164557],0
p5,1,0.152203,2.05003,[ 27 241] ; [ 2 50],[ 24.2875 243.7125] ; [ 4.7125 47.2875],0
p9,1,0.160203,1.972312,[199  64] ; [44  8],[202.88571429  60.11428571] ; [40.11428571 11.88571429],0
u3,1,0.189867,1.718651,[34 48] ; [10  7],[36.44444444 45.55555556] ; [7.55555556 9.44444444],0
a1,1,0.208749,1.580081,[ 17 253] ; [ 1 51],[ 15.0931677 254.9068323] ; [ 2.9068323 49.0931677],0
u2,1,0.214391,1.541525,[39 42] ; [11  6],[41.32653061 39.67346939] ; [8.67346939 8.32653061],0
d5,1,0.225624,1.468238,[212  57] ; [37 15],[208.6635514  60.3364486] ; [40.3364486 11.6635514],0
n3,1,0.226682,1.461559,[48 25] ; [13  3],[50.03370787 22.96629213] ; [10.96629213  5.03370787],0
r2,1,0.239761,1.381996,[242  23] ; [43  7],[239.76190476  25.23809524] ; [45.23809524  4.76190476],0
v3,1,0.246793,1.34137,[ 83 179] ; [12 39],[ 79.52076677 182.47923323] ; [15.47923323 35.52076677],0
r3,1,0.282905,1.153083,[239  28] ; [43  8],[236.77358491  30.22641509] ; [45.22641509  5.77358491],0
d4,1,0.310917,1.026777,[212  55] ; [38 14],[209.2476489  57.7523511] ; [40.7523511 11.2476489],0
a7,1,0.315891,1.005884,[184  84] ; [32 20],[180.9  87.1] ; [35.1 16.9],0
p12,1,0.335145,0.928916,[ 16 251] ; [ 5 47],[ 17.57680251 249.42319749] ; [ 3.42319749 48.57680251],0
p3,1,0.345997,0.888083,[115 153] ; [26 26],[118.0875 149.9125] ; [22.9125 29.0875],0
r4,1,0.394048,0.726413,[226  44] ; [41 11],[223.88198758  46.11801242] ; [43.11801242  8.88198758],0
p10,1,0.395906,0.720726,[194  71] ; [41 11],[196.4511041  68.5488959] ; [38.5488959 13.4511041],0
d3,1,0.396022,0.720372,[169  99] ; [36 16],[171.6875  96.3125] ; [33.3125 18.6875],0
b1,1,0.417354,0.657755,[115 155] ; [19 33],[112.36024845 157.63975155] ; [21.63975155 30.36024845],0
