Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.006018,7.544817,[10  1] ; [32 37],[5.775 5.225] ; [36.225 32.775],0
p11,1,0.110665,2.544702,[8 3] ; [62  7],[9.625 1.375] ; [60.375  8.625],0
d1,1,0.154145,2.030742,[9 2] ; [41 28],[6.875 4.125] ; [43.125 25.875],0
s8,1,0.186308,1.746571,[9 2] ; [41 26],[7.05128205 3.94871795] ; [42.94871795 24.05128205],0
p12,1,0.187479,1.737321,[5 6] ; [18 51],[3.1625 7.8375] ; [19.8375 49.1625],0
s1,1,0.233245,1.420965,[2 9] ; [ 5 64],[ 0.9625 10.0375] ; [ 6.0375 62.9625],0
a6,1,0.239684,1.382451,[9 2] ; [44 25],[7.2875 3.7125] ; [45.7125 23.2875],0
p6,1,0.250067,1.322931,[9 2] ; [43 24],[7.33333333 3.66666667] ; [44.66666667 22.33333333],0
s5,1,0.270816,1.212609,[6 1] ; [43 23],[4.69863014 2.30136986] ; [44.30136986 21.69863014],0
s2,1,0.293264,1.104574,[8 3] ; [38 30],[6.40506329 4.59493671] ; [39.59493671 28.40506329],0
b1,1,0.310599,1.028127,[3 8] ; [30 39],[4.5375 6.4625] ; [28.4625 40.5375],0
s7,1,0.313137,1.017396,[7 4] ; [49 14],[8.32432432 2.67567568] ; [47.67567568 15.32432432],0
d5,1,0.358349,0.843671,[8 3] ; [58 11],[9.075 1.925] ; [56.925 12.075],0
u3,1,0.422813,0.642483,[1 1] ; [10  3],[1.46666667 0.53333333] ; [9.53333333 3.46666667],0
v3,1,0.429157,0.625102,[5 6] ; [39 28],[6.20512821 4.79487179] ; [37.79487179 29.20512821],0
r1,1,0.429323,0.624654,[10  1] ; [56 13],[9.075 1.925] ; [56.925 12.075],0
b3,1,0.446312,0.58,[3 5] ; [26 24],[4. 4.] ; [25. 25.],0
b2,1,0.446312,0.58,[3 5] ; [26 24],[4. 4.] ; [25. 25.],0
p8,1,0.477663,0.504195,[10  1] ; [56 12],[9.18987342 1.81012658] ; [56.81012658 11.18987342],0
v1,1,0.484033,0.489762,[8 3] ; [42 26],[6.96202532 4.03797468] ; [43.03797468 24.96202532],0
n6,1,0.511371,0.431261,[10  1] ; [65  3],[10.44303797  0.55696203] ; [64.55696203  3.44303797],0
s3,1,0.541464,0.372833,[8 3] ; [43 25],[7.10126582 3.89873418] ; [43.89873418 24.10126582],0
p7,1,0.543552,0.368996,[10  1] ; [57 11],[9.32911392 1.67088608] ; [57.67088608 10.32911392],0
u2,1,0.591208,0.288462,[1 1] ; [9 4],[1.33333333 0.66666667] ; [8.66666667 4.33333333],0
a4,1,0.594908,0.282745,[4 7] ; [31 38],[4.8125 6.1875] ; [30.1875 38.8125],0
u1,1,0.59904,0.276446,[3 8] ; [14 55],[2.3375 8.6625] ; [14.6625 54.3375],0
b4,1,0.657547,0.196516,[7 4] ; [39 30],[6.325 4.675] ; [39.675 29.325],0
a8,1,0.666119,0.186175,[1 9] ; [10 56],[1.44736842 8.55263158] ; [ 9.55263158 56.44736842],0
p2,1,0.675121,0.17567,[10  1] ; [65  4],[10.3125  0.6875] ; [64.6875  4.3125],0
u4,1,0.675121,0.17567,[ 1 10] ; [ 4 65],[ 0.6875 10.3125] ; [ 4.3125 64.6875],0
v2,1,0.676226,0.174405,[6 5] ; [41 26],[6.62820513 4.37179487] ; [40.37179487 26.62820513],0
p1,1,0.693588,0.155228,[4 7] ; [21 48],[3.4375 7.5625] ; [21.5625 47.4375],0
a1,1,0.750313,0.101268,[2 9] ; [10 59],[1.65 9.35] ; [10.35 58.65],0
a5,1,0.767515,0.087395,[8 3] ; [53 16],[8.3875 2.6125] ; [52.6125 16.3875],0
d3,1,0.768306,0.086784,[7 4] ; [47 22],[7.425 3.575] ; [46.575 22.425],0
b5,1,0.830983,0.045557,[5 6] ; [29 40],[4.675 6.325] ; [29.325 39.675],0
a7,1,0.831688,0.045172,[8 3] ; [48 21],[7.7 3.3] ; [48.3 20.7],0
d4,1,0.851653,0.034973,[9 2] ; [58 11],[9.2125 1.7875] ; [57.7875 11.2125],0
n5,1,0.913822,0.011711,[10  1] ; [62  7],[9.9 1.1] ; [62.1  6.9],0
n4,1,0.913822,0.011711,[10  1] ; [62  7],[9.9 1.1] ; [62.1  6.9],0
a2,1,0.958539,0.002703,[2 9] ; [13 56],[2.0625 8.9375] ; [12.9375 56.0625],0
a3,1,0.958539,0.002703,[9 2] ; [56 13],[8.9375 2.0625] ; [56.0625 12.9375],0
