Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,46.205957,[84 46] ; [ 1 38],[65.38461538 64.61538462] ; [19.61538462 19.38461538],1
d4,1,0.0,30.083747,[112  18] ; [17 22],[99.23076923 30.76923077] ; [29.76923077  9.23076923],1
a4,1,2e-06,22.389805,[70 60] ; [ 4 34],[57.26190476 72.73809524] ; [16.73809524 21.26190476],1
a3,1,2.9e-05,17.511619,[102  28] ; [17 22],[91.53846154 38.46153846] ; [27.46153846 11.53846154],1
d3,1,4.6e-05,16.593,[75 55] ; [ 8 31],[63.84615385 66.15384615] ; [19.15384615 19.84615385],1
a5,1,9.6e-05,15.21,[102  28] ; [18 21],[92.30769231 37.69230769] ; [27.69230769 11.30769231],1
d2,1,0.000397,12.54697,[72 58] ; [ 9 30],[62.30769231 67.69230769] ; [18.69230769 20.30769231],1
n2,1,0.005767,7.621569,[30  6] ; [4 6],[26.60869565  9.39130435] ; [7.39130435 2.60869565],0
p6,1,0.012346,6.260534,[59 68] ; [ 9 29],[52.33939394 74.66060606] ; [15.66060606 22.33939394],0
v3,1,0.01467,5.955713,[59 67] ; [ 9 28],[52.56441718 73.43558282] ; [15.43558282 21.56441718],0
v2,1,0.015513,5.857257,[67 60] ; [10 24],[60.73913043 66.26086957] ; [16.26086957 17.73913043],0
n6,1,0.016275,5.772917,[111  18] ; [27 12],[105.96428571  23.03571429] ; [32.03571429  6.96428571],0
s2,1,0.028917,4.772556,[90 40] ; [19 19],[84.3452381 45.6547619] ; [24.6547619 13.3452381],0
r1,1,0.033323,4.529125,[102  28] ; [24 15],[96.92307692 33.07692308] ; [29.07692308  9.92307692],0
p7,1,0.034102,4.489571,[85 41] ; [19 20],[79.41818182 46.58181818] ; [24.58181818 14.41818182],0
v4,1,0.034719,4.458959,[123   7] ; [32  6],[119.94047619  10.05952381] ; [35.05952381  2.94047619],0
r2,1,0.035151,4.437843,[120   9] ; [31  7],[116.64071856  12.35928144] ; [34.35928144  3.64071856],0
p10,1,0.050668,3.819202,[107  22] ; [26 12],[102.73652695  26.26347305] ; [30.26347305  7.73652695],0
s7,1,0.053302,3.734419,[86 40] ; [20 19],[80.94545455 45.05454545] ; [25.05454545 13.94545455],0
p9,1,0.063316,3.448317,[112  17] ; [29 10],[108.26785714  20.73214286] ; [32.73214286  6.26785714],0
u2,1,0.074505,3.180877,[12 16] ; [15  7],[15.12 12.88] ; [11.88 10.12],0
a2,1,0.076018,3.148039,[ 16 114] ; [ 1 38],[ 13.07692308 116.92307692] ; [ 3.92307692 35.07692308],0
s8,1,0.090277,2.869422,[83 47] ; [19 20],[78.46153846 51.53846154] ; [23.53846154 15.46153846],0
r4,1,0.096628,2.760333,[114  16] ; [30  9],[110.76923077  19.23076923] ; [33.23076923  5.76923077],0
p1,1,0.10663,2.603473,[  9 120] ; [ 6 33],[ 11.51785714 117.48214286] ; [ 3.48214286 35.51785714],0
r3,1,0.112791,2.514667,[123   7] ; [34  5],[120.76923077   9.23076923] ; [36.23076923  2.76923077],0
n1,1,0.152763,2.044444,[20 16] ; [3 7],[18. 18.] ; [5. 5.],0
a6,1,0.186603,1.74424,[48 82] ; [19 20],[51.53846154 78.46153846] ; [15.46153846 23.53846154],0
p4,1,0.186603,1.74424,[82 48] ; [20 19],[78.46153846 51.53846154] ; [23.53846154 15.46153846],0
p3,1,0.187039,1.740786,[75 54] ; [18 21],[71.41071429 57.58928571] ; [21.58928571 17.41071429],0
s5,1,0.192624,1.697432,[63 63] ; [14 23],[59.52147239 66.47852761] ; [17.47852761 19.52147239],0
v1,1,0.196044,1.671602,[73 53] ; [18 21],[69.49090909 56.50909091] ; [21.50909091 17.49090909],0
a1,1,0.208508,1.581759,[ 11 119] ; [ 1 38],[  9.23076923 120.76923077] ; [ 2.76923077 36.23076923],0
s1,1,0.289333,1.122722,[  5 124] ; [ 3 34],[  6.21686747 122.78313253] ; [ 1.78313253 35.21686747],0
p12,1,0.338254,0.917037,[ 10 118] ; [ 5 34],[ 11.49700599 116.50299401] ; [ 3.50299401 35.49700599],0
p2,1,0.353724,0.860053,[101  27] ; [28 11],[98.8742515 29.1257485] ; [30.1257485  8.8742515],0
p8,1,0.360005,0.837876,[61 66] ; [22 17],[63.5 63.5] ; [19.5 19.5],0
n3,1,0.366036,0.817077,[23 12] ; [5 5],[21.77777778 13.22222222] ; [6.22222222 3.77777778],0
n5,1,0.398848,0.711797,[104  25] ; [29 10],[102.125  26.875] ; [30.875  8.125],0
n4,1,0.537889,0.379465,[105  24] ; [30  9],[103.66071429  25.33928571] ; [31.33928571  7.66071429],0
b1,1,0.613138,0.25563,[66 64] ; [18 21],[64.61538462 65.38461538] ; [19.38461538 19.61538462],0
s3,1,0.688006,0.161253,[90 40] ; [25 13],[88.98809524 41.01190476] ; [26.01190476 11.98809524],0
a8,1,0.705581,0.14273,[ 15 111] ; [ 5 30],[ 15.65217391 110.34782609] ; [ 4.34782609 30.65217391],0
b4,1,0.734088,0.115391,[74 56] ; [21 18],[73.07692308 56.92307692] ; [21.92307692 17.07692308],0
u3,1,0.749465,0.101981,[14 14] ; [10 12],[13.44 14.56] ; [10.56 11.44],0
p11,1,0.757544,0.095301,[103  27] ; [30  9],[102.30769231  27.69230769] ; [30.69230769  8.30769231],0
p5,1,0.836745,0.04246,[ 18 110] ; [ 6 33],[ 18.39520958 109.60479042] ; [ 5.60479042 33.39520958],0
b2,1,0.90167,0.015265,[36 51] ; [10 15],[35.73214286 51.26785714] ; [10.26785714 14.73214286],0
b3,1,0.90167,0.015265,[36 51] ; [10 15],[35.73214286 51.26785714] ; [10.26785714 14.73214286],0
s4,1,0.915976,0.011131,[32 97] ; [10 29],[32.25 96.75] ; [ 9.75 29.25],0
b5,1,0.955194,0.003157,[64 66] ; [19 20],[63.84615385 66.15384615] ; [19.15384615 19.84615385],0
