Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,28.173848,[56  2] ; [20 19],[45.44329897 12.55670103] ; [30.55670103  8.44329897],1
d2,1,0.0,27.673445,[42 16] ; [ 7 32],[29.29896907 28.70103093] ; [19.70103093 19.29896907],1
d3,1,1e-06,24.047133,[50  8] ; [15 24],[38.86597938 19.13402062] ; [26.13402062 12.86597938],1
d4,1,5e-06,20.832098,[57  1] ; [25 14],[49.03092784  8.96907216] ; [32.96907216  6.03092784],1
a3,1,0.000133,14.600678,[53  6] ; [22 17],[45.15306122 13.84693878] ; [29.84693878  9.15306122],1
s2,1,0.005171,7.818678,[41 18] ; [16 23],[34.31632653 24.68367347] ; [22.68367347 16.31632653],0
v1,1,0.006866,7.307692,[45 12] ; [20 18],[39. 18.] ; [26. 12.],0
a2,1,0.014746,5.946524,[14 45] ; [ 2 37],[ 9.63265306 49.36734694] ; [ 6.36734694 32.63265306],0
a5,1,0.01679,5.718169,[49 10] ; [24 15],[43.94897959 15.05102041] ; [29.05102041  9.94897959],0
s3,1,0.024714,5.043813,[42 17] ; [19 20],[36.7244898 22.2755102] ; [24.2755102 14.7244898],0
a4,1,0.038906,4.264966,[29 30] ; [11 28],[24.08163265 34.91836735] ; [15.91836735 23.08163265],0
s4,1,0.046282,3.971288,[11 46] ; [ 2 37],[ 7.71875 49.28125] ; [ 5.28125 33.71875],0
n3,1,0.063716,3.437921,[4 5] ; [7 1],[5.82352941 3.17647059] ; [5.17647059 2.82352941],0
p4,1,0.082983,3.005491,[54  4] ; [31  7],[51.35416667  6.64583333] ; [33.64583333  4.35416667],0
v4,1,0.141908,2.157147,[58  1] ; [36  3],[56.59183673  2.40816327] ; [37.40816327  1.59183673],0
p11,1,0.152064,2.051427,[53  6] ; [31  8],[50.57142857  8.42857143] ; [33.42857143  5.57142857],0
r2,1,0.158264,1.990734,[56  3] ; [33  5],[54.13402062  4.86597938] ; [34.86597938  3.13402062],0
n5,1,0.161375,1.961294,[54  5] ; [32  7],[51.7755102  7.2244898] ; [34.2244898  4.7755102],0
b2,1,0.165145,1.926469,[25 20] ; [10 16],[22.18309859 22.81690141] ; [12.81690141 13.18309859],0
b3,1,0.165145,1.926469,[25 20] ; [10 16],[22.18309859 22.81690141] ; [12.81690141 13.18309859],0
p9,1,0.165183,1.926125,[57  2] ; [35  4],[55.3877551  3.6122449] ; [36.6122449  2.3877551],0
n4,1,0.16837,1.897392,[55  4] ; [33  6],[52.97959184  6.02040816] ; [35.02040816  3.97959184],0
p2,1,0.177667,1.817031,[54  4] ; [33  6],[52.02061856  5.97938144] ; [34.97938144  4.02061856],0
a1,1,0.186045,1.748664,[10 49] ; [ 3 36],[ 7.82653061 51.17346939] ; [ 5.17346939 33.82653061],0
r1,1,0.202983,1.620782,[50  9] ; [29 10],[47.56122449 11.43877551] ; [31.43877551  7.56122449],0
s5,1,0.225561,1.468638,[38 15] ; [22 15],[35.33333333 17.66666667] ; [24.66666667 12.33333333],0
s8,1,0.248261,1.333065,[38 20] ; [21 18],[35.27835052 22.72164948] ; [23.72164948 15.27835052],0
a6,1,0.248261,1.333065,[38 20] ; [21 18],[35.27835052 22.72164948] ; [23.72164948 15.27835052],0
u2,1,0.278493,1.174428,[5 1] ; [10  7],[3.91304348 2.08695652] ; [11.08695652  5.91304348],0
n1,1,0.280425,1.165029,[5 4] ; [2 5],[3.9375 5.0625] ; [3.0625 3.9375],0
r4,1,0.343402,0.897691,[57  2] ; [36  3],[55.98979592  3.01020408] ; [37.01020408  1.98979592],0
v3,1,0.396243,0.719697,[35 22] ; [20 18],[33. 24.] ; [22. 16.],0
p8,1,0.408647,0.682733,[48 11] ; [29 10],[46.35714286 12.64285714] ; [30.64285714  8.35714286],0
p3,1,0.433798,0.612633,[47 11] ; [29 10],[45.44329897 12.55670103] ; [30.55670103  8.44329897],0
p10,1,0.486734,0.483738,[55  4] ; [33  4],[54.08333333  4.91666667] ; [33.91666667  3.08333333],0
s7,1,0.495028,0.465579,[42 16] ; [23 12],[40.53763441 17.46236559] ; [24.46236559 10.53763441],0
b1,1,0.521499,0.410928,[25 34] ; [14 25],[23.47959184 35.52040816] ; [15.52040816 23.47959184],0
p6,1,0.545594,0.36527,[34 23] ; [25 13],[35.4 21.6] ; [23.6 14.4],0
b4,1,0.581839,0.30327,[33 26] ; [24 15],[34.31632653 24.68367347] ; [22.68367347 16.31632653],0
b5,1,0.651152,0.204451,[26 33] ; [19 20],[27.09183673 31.90816327] ; [17.90816327 21.09183673],0
a8,1,0.66068,0.192699,[ 8 44] ; [ 7 30],[ 8.76404494 43.23595506] ; [ 6.23595506 30.76404494],0
v2,1,0.671438,0.179924,[34 23] ; [21 17],[33. 24.] ; [22. 16.],0
n2,1,0.70663,0.141667,[6 3] ; [6 2],[6.35294118 2.64705882] ; [5.64705882 2.35294118],0
p7,1,0.714337,0.133984,[47 10] ; [31  8],[46.3125 10.6875] ; [31.6875  7.3125],0
n6,1,0.722972,0.125663,[54  4] ; [37  2],[54.41237113  3.58762887] ; [36.58762887  2.41237113],0
s6,1,0.73564,0.113996,[47  9] ; [32  5],[47.56989247  8.43010753] ; [31.43010753  5.56989247],0
s1,1,0.863663,0.029486,[ 4 55] ; [ 3 36],[ 4.21428571 54.78571429] ; [ 2.78571429 36.21428571],0
p1,1,0.871169,0.0263,[16 43] ; [10 29],[15.65306122 43.34693878] ; [10.34693878 28.65306122],0
p12,1,0.930559,0.007594,[16 43] ; [10 28],[15.81443299 43.18556701] ; [10.18556701 27.81443299],0
a7,1,0.978129,0.000752,[41 18] ; [27 12],[40.93877551 18.06122449] ; [27.06122449 11.93877551],0
