Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3e-05,17.434923,[299  37] ; [45 20],[288.2394015  47.7605985] ; [55.7605985  9.2394015],1
r1,1,0.000714,11.452706,[259  77] ; [37 28],[248.01995012  87.98004988] ; [47.98004988 17.01995012],1
d1,1,0.001103,10.646226,[189 149] ; [22 43],[176.96774194 161.03225806] ; [34.03225806 30.96774194],0
a5,1,0.002509,9.13417,[250  88] ; [36 29],[239.87096774  98.12903226] ; [46.12903226 18.87096774],0
r2,1,0.003695,8.428044,[310  24] ; [53 12],[303.86466165  30.13533835] ; [59.13533835  5.86466165],0
s6,1,0.008593,6.905577,[225 107] ; [33 32],[215.7581864 116.2418136] ; [42.2418136 22.7581864],0
r4,1,0.008875,6.847899,[289  49] ; [47 18],[281.80645161  56.19354839] ; [54.19354839 10.80645161],0
s5,1,0.011919,6.322856,[110 219] ; [11 52],[101.55357143 227.44642857] ; [19.44642857 43.55357143],0
d5,1,0.012059,6.302138,[267  71] ; [42 23],[259.16129032  78.83870968] ; [49.83870968 15.16129032],0
n1,1,0.012529,6.234375,[42 38] ; [ 6 19],[36.57142857 43.42857143] ; [11.42857143 13.57142857],0
a4,1,0.016064,5.7959,[152 183] ; [19 46],[143.2125 191.7875] ; [27.7875 37.2125],0
u1,1,0.019136,5.489012,[ 60 278] ; [ 4 61],[ 53.67741935 284.32258065] ; [10.32258065 54.67741935],0
d2,1,0.023969,5.09691,[165 171] ; [22 43],[156.6882793 179.3117207] ; [30.3117207 34.6882793],0
p2,1,0.029552,4.735156,[277  59] ; [46 19],[270.64339152  65.35660848] ; [52.35660848 12.64339152],0
p3,1,0.033826,4.50348,[157 180] ; [21 44],[149.21890547 187.78109453] ; [28.78109453 36.21890547],0
s7,1,0.035429,4.42437,[151 172] ; [20 42],[143.46233766 179.53766234] ; [27.53766234 34.46233766],0
p10,1,0.038305,4.291428,[270  66] ; [44 20],[263.76  72.24] ; [50.24 13.76],0
a8,1,0.039911,4.221659,[ 53 261] ; [ 4 57],[ 47.728 266.272] ; [ 9.272 51.728],0
p4,1,0.054514,3.696904,[199 138] ; [30 35],[191.97263682 145.02736318] ; [37.02736318 27.97263682],0
s4,1,0.055029,3.681211,[ 62 269] ; [19 46],[ 67.70454545 263.29545455] ; [13.29545455 51.70454545],0
a2,1,0.058022,3.593041,[ 77 261] ; [ 8 57],[ 71.29032258 266.70967742] ; [13.70967742 51.29032258],0
d4,1,0.05937,3.554898,[264  74] ; [43 21],[258.12437811  79.87562189] ; [48.87562189 15.12437811],0
b1,1,0.104889,2.629582,[135 203] ; [33 32],[140.90322581 197.09677419] ; [27.09677419 37.90322581],0
p5,1,0.109418,2.562609,[ 38 298] ; [ 3 61],[ 34.44 301.56] ; [ 6.56 57.44],0
p12,1,0.125808,2.343483,[ 21 314] ; [ 1 64],[ 18.425 316.575] ; [ 3.575 61.425],0
p6,1,0.163652,1.940154,[124 209] ; [18 46],[119.10831234 213.89168766] ; [22.89168766 41.10831234],0
r3,1,0.169511,1.887267,[303  33] ; [54 10],[299.88  36.12] ; [57.12  6.88],0
d3,1,0.177119,1.821631,[215 123] ; [35 29],[210.19900498 127.80099502] ; [39.80099502 24.19900498],0
s3,1,0.180829,1.790798,[186 151] ; [30 35],[181.07462687 155.92537313] ; [34.92537313 30.07462687],0
p9,1,0.184566,1.760471,[277  56] ; [48 15],[273.29545455  59.70454545] ; [51.70454545 11.29545455],0
p8,1,0.1855,1.752997,[173 160] ; [27 36],[168.18181818 164.81818182] ; [31.81818182 31.18181818],0
a3,1,0.198545,1.653042,[234 102] ; [40 25],[229.58603491 106.41396509] ; [44.41396509 20.58603491],0
a7,1,0.22343,1.482204,[234 104] ; [40 25],[229.80645161 108.19354839] ; [44.19354839 20.80645161],0
p7,1,0.237578,1.39491,[201 131] ; [32 29],[196.8346056 135.1653944] ; [36.1653944 24.8346056],0
p11,1,0.26361,1.249698,[261  77] ; [46 19],[257.48387097  80.51612903] ; [49.51612903 15.48387097],0
a1,1,0.309876,1.031203,[ 14 324] ; [ 1 64],[ 12.58064516 325.41935484] ; [ 2.41935484 62.58064516],0
s8,1,0.317635,0.998658,[131 206] ; [21 44],[127.42288557 209.57711443] ; [24.57711443 40.42288557],0
s2,1,0.334793,0.930267,[159 178] ; [26 38],[155.47381546 181.52618454] ; [29.52618454 34.47381546],0
