Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.509324,[97 35] ; [ 3 13],[89.18918919 42.81081081] ; [10.81081081  5.18918919],1
n6,1,0.007247,7.210795,[111  21] ; [9 7],[107.02702703  24.97297297] ; [12.97297297  3.02702703],0
s6,1,0.021202,5.310115,[78 49] ; [ 5 11],[73.71328671 53.28671329] ; [9.28671329 6.71328671],0
s1,1,0.032486,4.572664,[  3 129] ; [ 2 14],[  4.45945946 127.54054054] ; [ 0.54054054 15.45945946],0
p11,1,0.034695,4.460139,[111  21] ; [10  6],[107.91891892  24.08108108] ; [13.08108108  2.91891892],0
v2,1,0.048595,3.889286,[57 71] ; [ 3 13],[53.33333333 74.66666667] ; [6.66666667 9.33333333],0
a7,1,0.074718,3.176213,[87 44] ; [7 9],[83.76870748 47.23129252] ; [10.23129252  5.76870748],0
a6,1,0.099694,2.71043,[78 54] ; [ 6 10],[74.91891892 57.08108108] ; [9.08108108 6.91891892],0
b1,1,0.107838,2.585621,[47 85] ; [9 7],[49.94594595 82.05405405] ; [6.05405405 9.94594595],0
d4,1,0.110732,2.54375,[99 33] ; [9 7],[96.32432432 35.67567568] ; [11.67567568  4.32432432],0
d5,1,0.115332,2.479599,[98 33] ; [9 7],[95.3537415 35.6462585] ; [11.6462585  4.3537415],0
a3,1,0.175347,1.836622,[81 51] ; [7 9],[78.48648649 53.51351351] ; [9.51351351 6.48648649],0
u3,1,0.192068,1.701681,[22 29] ; [6 3],[23.8 27.2] ; [4.2 4.8],0
n2,1,0.21737,1.521652,[30  8] ; [4 3],[28.71111111  9.28888889] ; [5.28888889 1.71111111],0
p9,1,0.218955,1.51121,[125   7] ; [13  2],[123.91836735   8.08163265] ; [14.08163265  0.91836735],0
b2,1,0.237528,1.395203,[27 48] ; [6 5],[28.77906977 46.22093023] ; [4.22093023 6.77906977],0
b3,1,0.237528,1.395203,[27 48] ; [6 5],[28.77906977 46.22093023] ; [4.22093023 6.77906977],0
p3,1,0.255504,1.292957,[61 71] ; [ 5 11],[58.86486486 73.13513514] ; [7.13513514 8.86486486],0
b5,1,0.260499,1.266104,[85 47] ; [8 8],[82.94594595 49.05405405] ; [10.05405405  5.94594595],0
n5,1,0.283778,1.148906,[99 33] ; [10  6],[97.21621622 34.78378378] ; [11.78378378  4.21621622],0
v3,1,0.284829,1.143902,[41 88] ; [ 3 13],[39.14482759 89.85517241] ; [ 4.85517241 11.14482759],0
d1,1,0.305198,1.051345,[59 73] ; [ 5 11],[57.08108108 74.91891892] ; [6.91891892 9.08108108],0
n4,1,0.305837,1.048567,[91 41] ; [9 7],[89.18918919 42.81081081] ; [10.81081081  5.18918919],0
s8,1,0.312194,1.021372,[50 82] ; [ 4 12],[48.16216216 83.83783784] ; [ 5.83783784 10.16216216],0
p1,1,0.334628,0.930903,[ 14 118] ; [ 3 13],[ 15.16216216 116.83783784] ; [ 1.83783784 14.16216216],0
v1,1,0.375096,0.786713,[57 71] ; [9 7],[58.66666667 69.33333333] ; [7.33333333 8.66666667],0
u2,1,0.384488,0.756303,[26 25] ; [6 3],[27.2 23.8] ; [4.8 4.2],0
v4,1,0.400427,0.707044,[116  15] ; [13  3],[114.95918367  16.04081633] ; [14.04081633  1.95918367],0
s7,1,0.427017,0.630922,[52 73] ; [ 5 11],[50.53191489 74.46808511] ; [6.46808511 9.53191489],0
s3,1,0.429739,0.623529,[67 65] ; [6 9],[65.55102041 66.44897959] ; [7.44897959 7.55102041],0
p5,1,0.438393,0.600485,[ 17 114] ; [ 1 15],[ 16.04081633 114.95918367] ; [ 1.95918367 14.04081633],0
p8,1,0.445286,0.582624,[60 70] ; [9 7],[61.43835616 68.56164384] ; [7.56164384 8.43835616],0
n3,1,0.465082,0.533635,[27 11] ; [4 3],[26.17777778 11.82222222] ; [4.82222222 2.17777778],0
a5,1,0.486398,0.484485,[78 54] ; [8 8],[76.7027027 55.2972973] ; [9.2972973 6.7027027],0
a4,1,0.501282,0.452222,[44 88] ; [ 4 12],[42.81081081 89.18918919] ; [ 5.18918919 10.81081081],0
n1,1,0.550913,0.355683,[15 22] ; [2 5],[14.29545455 22.70454545] ; [2.70454545 4.29545455],0
b4,1,0.563661,0.333404,[84 48] ; [9 7],[82.94594595 49.05405405] ; [10.05405405  5.94594595],0
s2,1,0.636753,0.223014,[66 66] ; [7 9],[65.10810811 66.89189189] ; [7.89189189 8.10810811],0
s4,1,0.673047,0.178059,[ 27 105] ; [ 4 12],[ 27.64864865 104.35135135] ; [ 3.35135135 12.64864865],0
p2,1,0.684526,0.165075,[104  27] ; [12  4],[103.37414966  27.62585034] ; [12.62585034  3.37414966],0
p4,1,0.720327,0.12818,[68 64] ; [9 7],[68.67567568 63.32432432] ; [8.32432432 7.67567568],0
s5,1,0.747701,0.103473,[34 90] ; [ 5 11],[34.54285714 89.45714286] ; [ 4.45714286 11.54285714],0
r2,1,0.752074,0.099796,[109  20] ; [14  2],[109.42758621  19.57241379] ; [13.57241379  2.42758621],0
p6,1,0.771336,0.084465,[44 86] ; [ 6 10],[44.52054795 85.47945205] ; [ 5.47945205 10.52054795],0
d2,1,0.850567,0.035493,[46 85] ; [ 6 10],[46.34013605 84.65986395] ; [ 5.65986395 10.34013605],0
p7,1,0.87977,0.02288,[72 58] ; [8 7],[71.72413793 58.27586207] ; [8.27586207 6.72413793],0
d3,1,0.959092,0.002631,[74 56] ; [9 7],[73.90410959 56.09589041] ; [9.09589041 6.90410959],0
a1,1,0.976117,0.000896,[  8 124] ; [ 1 15],[  8.02702703 123.97297297] ; [ 0.97297297 15.02702703],0
