Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000151,14.359091,[ 2 38] ; [6 6],[ 6.15384615 33.84615385] ; [ 1.84615385 10.15384615],1
s7,1,0.0008,11.240856,[ 3 32] ; [6 5],[ 6.84782609 28.15217391] ; [2.15217391 8.84782609],1
s6,1,0.003013,8.799375,[11 29] ; [9 3],[15.38461538 24.61538462] ; [4.61538462 7.38461538],0
s2,1,0.005275,7.782705,[ 5 35] ; [6 6],[ 8.46153846 31.53846154] ; [2.53846154 9.46153846],0
s3,1,0.021351,5.297905,[ 9 30] ; [7 5],[12.23529412 26.76470588] ; [3.76470588 8.23529412],0
p11,1,0.028377,4.804998,[19 21] ; [10  2],[22.30769231 17.69230769] ; [6.69230769 5.30769231],0
p9,1,0.028666,4.787537,[18 20] ; [10  2],[21.28 16.72] ; [6.72 5.28],0
r3,1,0.029112,4.761002,[23 17] ; [11  1],[26.15384615 13.84615385] ; [7.84615385 4.15384615],0
p8,1,0.035656,4.413462,[10 29] ; [7 5],[13. 26.] ; [4. 8.],0
p2,1,0.056236,3.645059,[21 19] ; [10  2],[23.84615385 16.15384615] ; [7.15384615 4.84615385],0
d4,1,0.056236,3.645059,[21 19] ; [10  2],[23.84615385 16.15384615] ; [7.15384615 4.84615385],0
p4,1,0.106681,2.602708,[13 27] ; [7 5],[15.38461538 24.61538462] ; [4.61538462 7.38461538],0
n1,1,0.111219,2.536813,[ 3 11] ; [3 2],[4.42105263 9.57894737] ; [1.57894737 3.42105263],0
a3,1,0.120867,2.406048,[13 26] ; [7 5],[15.29411765 23.70588235] ; [4.70588235 7.29411765],0
n2,1,0.153338,2.03873,[6 8] ; [4 1],[7.36842105 6.63157895] ; [2.63157895 2.36842105],0
n4,1,0.166459,1.914545,[21 19] ; [9 3],[23.07692308 16.92307692] ; [6.92307692 5.07692308],0
r4,1,0.189236,1.723559,[ 9 31] ; [5 7],[10.76923077 29.23076923] ; [3.23076923 8.76923077],0
u2,1,0.189854,1.718751,[13 14] ; [4 1],[14.34375 12.65625] ; [2.65625 2.34375],0
r1,1,0.201513,1.631373,[12 28] ; [6 6],[13.84615385 26.15384615] ; [4.15384615 7.84615385],0
a4,1,0.215016,1.537324,[10 30] ; [ 1 11],[ 8.46153846 31.53846154] ; [2.53846154 9.46153846],0
d1,1,0.238839,1.387435,[ 7 33] ; [4 8],[ 8.46153846 31.53846154] ; [2.53846154 9.46153846],0
b1,1,0.262073,1.257771,[24 16] ; [5 7],[22.30769231 17.69230769] ; [6.69230769 5.30769231],0
n6,1,0.274449,1.194375,[23 17] ; [9 3],[24.61538462 15.38461538] ; [7.38461538 4.61538462],0
u3,1,0.285836,1.139132,[ 5 22] ; [2 3],[ 5.90625 21.09375] ; [1.09375 3.90625],0
p6,1,0.310338,1.029237,[ 5 34] ; [3 9],[ 6.11764706 32.88235294] ; [ 1.88235294 10.11764706],0
b2,1,0.326687,0.961988,[ 6 19] ; [3 4],[ 7.03125 17.96875] ; [1.96875 5.03125],0
b3,1,0.326687,0.961988,[ 6 19] ; [3 4],[ 7.03125 17.96875] ; [1.96875 5.03125],0
n3,1,0.36308,0.827211,[8 6] ; [4 1],[8.84210526 5.15789474] ; [3.15789474 1.84210526],0
b5,1,0.43893,0.599078,[25 15] ; [6 6],[23.84615385 16.15384615] ; [7.15384615 4.84615385],0
v4,1,0.473091,0.514747,[22 18] ; [8 4],[23.07692308 16.92307692] ; [6.92307692 5.07692308],0
a6,1,0.473091,0.514747,[18 22] ; [4 8],[16.92307692 23.07692308] ; [5.07692308 6.92307692],0
s5,1,0.526093,0.401932,[ 4 36] ; [ 2 10],[ 4.61538462 35.38461538] ; [ 1.38461538 10.61538462],0
p7,1,0.538578,0.378182,[16 24] ; [6 6],[16.92307692 23.07692308] ; [5.07692308 6.92307692],0
a5,1,0.538578,0.378182,[16 24] ; [6 6],[16.92307692 23.07692308] ; [5.07692308 6.92307692],0
d2,1,0.568134,0.325815,[10 30] ; [4 8],[10.76923077 29.23076923] ; [3.23076923 8.76923077],0
