Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.723666,[5 5] ; [146  10],[9.09638554 0.90361446] ; [141.90361446  14.09638554],1
p10,1,0.003193,8.693845,[3 7] ; [112  40],[7.09876543 2.90123457] ; [107.90123457  44.09876543],0
p9,1,0.006082,7.525713,[4 6] ; [119  33],[7.59259259 2.40740741] ; [115.40740741  36.59259259],0
a6,1,0.010617,6.528308,[3 7] ; [108  48],[6.68674699 3.31325301] ; [104.31325301  51.68674699],0
a7,1,0.048176,3.903821,[5 5] ; [121  35],[7.59036145 2.40963855] ; [118.40963855  37.59036145],0
p2,1,0.068221,3.325324,[5 5] ; [117  37],[7.43902439 2.56097561] ; [114.56097561  39.43902439],0
r2,1,0.079463,3.075849,[8 2] ; [147   9],[9.3373494 0.6626506] ; [145.6626506  10.3373494],0
r3,1,0.081162,3.041475,[8 2] ; [146   9],[9.33333333 0.66666667] ; [144.66666667  10.33333333],0
n6,1,0.092682,2.82717,[4 6] ; [102  52],[6.46341463 3.53658537] ; [99.53658537 54.46341463],0
s8,1,0.11403,2.497457,[1 9] ; [ 53 102],[3.27272727 6.72727273] ; [ 50.72727273 104.27272727],0
s2,1,0.129107,2.303208,[2 8] ; [69 86],[4.3030303 5.6969697] ; [66.6969697 88.3030303],0
n3,1,0.137299,2.207975,[1 2] ; [41 15],[2.13559322 0.86440678] ; [39.86440678 16.13559322],0
v3,1,0.151568,2.056396,[1 9] ; [ 46 100],[3.01282051 6.98717949] ; [ 43.98717949 102.01282051],0
d3,1,0.172871,1.85787,[5 5] ; [110  46],[6.92771084 3.07228916] ; [108.07228916  47.92771084],0
s6,1,0.174232,1.846152,[4 6] ; [95 59],[6.03658537 3.96341463] ; [92.96341463 61.03658537],0
b5,1,0.17729,1.820196,[4 6] ; [96 60],[6.02409639 3.97590361] ; [93.97590361 62.02409639],0
d1,1,0.178876,1.806935,[3 7] ; [81 75],[5.06024096 4.93975904] ; [78.93975904 77.06024096],0
d5,1,0.247114,1.339544,[6 4] ; [119  37],[7.53012048 2.46987952] ; [117.46987952  38.53012048],0
s1,1,0.267364,1.230219,[1 9] ; [  5 150],[0.36363636 9.63636364] ; [  5.63636364 149.36363636],0
p11,1,0.281925,1.157787,[5 5] ; [104  52],[6.56626506 3.43373494] ; [102.43373494  53.56626506],0
a4,1,0.281925,1.157787,[5 5] ; [ 52 104],[3.43373494 6.56626506] ; [ 53.56626506 102.43373494],0
p7,1,0.293156,1.105071,[4 6] ; [85 64],[5.59748428 4.40251572] ; [83.40251572 65.59748428],0
v2,1,0.296747,1.088756,[4 6] ; [82 62],[5.58441558 4.41558442] ; [80.41558442 63.58441558],0
v1,1,0.314281,1.012599,[3 7] ; [70 81],[4.53416149 5.46583851] ; [68.46583851 82.53416149],0
p3,1,0.336804,0.922557,[2 8] ; [ 54 101],[3.39393939 6.60606061] ; [ 52.60606061 102.39393939],0
p6,1,0.352721,0.863642,[1 9] ; [ 34 117],[2.17391304 7.82608696] ; [ 32.82608696 118.17391304],0
s4,1,0.354934,0.855739,[1 9] ; [ 35 121],[2.1686747 7.8313253] ; [ 33.8313253 122.1686747],0
n2,1,0.380547,0.768933,[2 2] ; [39 16],[2.77966102 1.22033898] ; [38.22033898 16.77966102],0
b4,1,0.490877,0.474603,[7 3] ; [92 64],[5.96385542 4.03614458] ; [93.03614458 62.96385542],0
s5,1,0.527773,0.398678,[2 8] ; [ 44 106],[2.875 7.125] ; [ 43.125 106.875],0
d4,1,0.549677,0.357895,[9 1] ; [129  27],[8.31325301 1.68674699] ; [129.68674699  26.31325301],0
u2,1,0.551926,0.353878,[2 2] ; [35 19],[2.55172414 1.44827586] ; [34.44827586 19.55172414],0
b1,1,0.634116,0.226521,[4 6] ; [ 51 105],[3.31325301 6.68674699] ; [ 51.68674699 104.31325301],0
b2,1,0.68584,0.163626,[1 4] ; [21 53],[1.39240506 3.60759494] ; [20.60759494 53.39240506],0
b3,1,0.68584,0.163626,[1 4] ; [21 53],[1.39240506 3.60759494] ; [20.60759494 53.39240506],0
d2,1,0.729182,0.119864,[4 6] ; [ 54 102],[3.4939759 6.5060241] ; [ 54.5060241 101.4939759],0
p4,1,0.73695,0.112826,[4 6] ; [70 84],[4.51219512 5.48780488] ; [69.48780488 84.51219512],0
p8,1,0.779786,0.078175,[5 5] ; [70 84],[4.57317073 5.42682927] ; [70.42682927 83.57317073],0
a3,1,0.793488,0.068531,[6 4] ; [100  56],[6.38554217 3.61445783] ; [99.61445783 56.38554217],0
a5,1,0.955052,0.003177,[6 4] ; [95 61],[6.08433735 3.91566265] ; [94.91566265 61.08433735],0
s3,1,0.984223,0.000391,[5 5] ; [78 77],[5.03030303 4.96969697] ; [77.96969697 77.03030303],0
s7,1,0.988879,0.000194,[3 6] ; [49 99],[2.98089172 6.01910828] ; [49.01910828 98.98089172],0
n1,1,1.0,0.0,[1 3] ; [14 42],[1. 3.] ; [14. 42.],0
