Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.2e-05,17.993051,[43 26] ; [63  5],[53.38686131 15.61313869] ; [52.61313869 15.38686131],1
r3,1,0.000178,14.048228,[43 26] ; [61  7],[52.37956204 16.62043796] ; [51.62043796 16.37956204],1
p7,1,0.000289,13.140097,[13 55] ; [33 35],[23. 45.] ; [23. 45.],1
p8,1,0.000305,13.038965,[ 5 65] ; [21 46],[13.28467153 56.71532847] ; [12.71532847 54.28467153],1
p11,1,0.000506,12.095134,[23 47] ; [43 26],[33.23741007 36.76258993] ; [32.76258993 36.23741007],1
p9,1,0.001043,10.749275,[13 54] ; [30 35],[21.82575758 45.17424242] ; [21.17424242 43.82575758],0
r4,1,0.005227,7.79907,[38 32] ; [53 16],[45.82733813 24.17266187] ; [45.17266187 23.82733813],0
v2,1,0.040337,4.203655,[18 50] ; [29 38],[23.67407407 44.32592593] ; [23.32592593 43.67407407],0
n3,1,0.046068,3.979088,[15 16] ; [20  7],[18.70689655 12.29310345] ; [16.29310345 10.70689655],0
p6,1,0.048368,3.897154,[ 6 62] ; [14 53],[10.07407407 57.92592593] ; [ 9.92592593 57.07407407],0
r1,1,0.055119,3.678476,[40 29] ; [50 18],[45.32846715 23.67153285] ; [44.67153285 23.32846715],0
a1,1,0.074098,3.189821,[ 9 61] ; [ 3 66],[ 6.04316547 63.95683453] ; [ 5.95683453 63.04316547],0
b1,1,0.074188,3.18783,[39 31] ; [28 41],[33.74100719 36.25899281] ; [33.25899281 35.74100719],0
s5,1,0.076141,3.145413,[ 7 62] ; [14 52],[10.73333333 58.26666667] ; [10.26666667 55.73333333],0
p3,1,0.121831,2.393628,[ 9 60] ; [16 53],[12.5 56.5] ; [12.5 56.5],0
r2,1,0.140834,2.168824,[53 14] ; [61  8],[56.16176471 10.83823529] ; [57.83823529 11.16176471],0
a6,1,0.167693,1.903448,[36 33] ; [44 25],[40. 29.] ; [40. 29.],0
n1,1,0.168426,1.896899,[14 20] ; [ 6 19],[11.52542373 22.47457627] ; [ 8.47457627 16.52542373],0
a8,1,0.191056,1.709457,[ 6 61] ; [10 50],[ 8.44094488 58.55905512] ; [ 7.55905512 52.44094488],0
s3,1,0.211195,1.563218,[21 47] ; [28 40],[24.5 43.5] ; [24.5 43.5],0
b2,1,0.33192,0.941393,[17 30] ; [10 28],[14.92941176 32.07058824] ; [12.07058824 25.92941176],0
b3,1,0.33192,0.941393,[17 30] ; [10 28],[14.92941176 32.07058824] ; [12.07058824 25.92941176],0
n5,1,0.349283,0.876059,[40 29] ; [34 34],[37.27007299 31.72992701] ; [36.72992701 31.27007299],0
v1,1,0.398395,0.713167,[22 47] ; [26 41],[24.35294118 44.64705882] ; [23.64705882 43.35294118],0
b5,1,0.424487,0.63786,[40 30] ; [44 25],[42.30215827 27.69784173] ; [41.69784173 27.30215827],0
n6,1,0.426868,0.631331,[38 31] ; [42 26],[40.2919708 28.7080292] ; [39.7080292 28.2919708],0
a7,1,0.430457,0.621591,[37 32] ; [41 27],[39.28467153 29.71532847] ; [38.71532847 29.28467153],0
v3,1,0.445018,0.583309,[18 48] ; [14 51],[16.1221374 49.8778626] ; [15.8778626 49.1221374],0
s8,1,0.454569,0.559233,[ 9 60] ; [12 56],[10.57664234 58.42335766] ; [10.42335766 57.57664234],0
u3,1,0.462196,0.540572,[14 16] ; [10 17],[12.63157895 17.36842105] ; [11.36842105 15.63157895],0
