Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,136.037278,[315  34] ; [35 64],[272.65625  76.34375] ; [77.34375 21.65625],1
n6,1,0.0,54.710125,[322  26] ; [62 36],[299.62331839  48.37668161] ; [84.37668161 13.62331839],1
p11,1,3e-06,21.91235,[287  63] ; [59 40],[269.71046771  80.28953229] ; [76.28953229 22.71046771],1
p4,1,3e-05,17.443298,[239 108] ; [45 53],[221.45617978 125.54382022] ; [62.54382022 35.45617978],1
s7,1,5.9e-05,16.138801,[252  83] ; [50 43],[236.37850467  98.62149533] ; [65.62149533 27.37850467],1
a3,1,0.000191,13.92174,[275  73] ; [60 39],[260.80536913  87.19463087] ; [74.19463087 24.80536913],1
v1,1,0.000409,12.49081,[212 128] ; [40 55],[196.96551724 143.03448276] ; [55.03448276 39.96551724],1
p8,1,0.000445,12.333142,[197 147] ; [36 61],[181.75056689 162.24943311] ; [51.24943311 45.75056689],1
p7,1,0.000648,11.632726,[235 101] ; [48 46],[221.13488372 114.86511628] ; [61.86511628 32.13488372],1
v3,1,0.001275,10.378607,[160 175] ; [27 66],[146.36682243 188.63317757] ; [40.63317757 52.36682243],0
p5,1,0.001447,10.145015,[ 53 292] ; [ 3 93],[ 43.80952381 301.19047619] ; [12.19047619 83.80952381],0
p6,1,0.002226,9.353565,[161 182] ; [29 69],[147.77777778 195.22222222] ; [42.22222222 55.77777778],0
p2,1,0.002339,9.262497,[300  48] ; [71 26],[290.13033708  57.86966292] ; [80.86966292 16.13033708],0
p10,1,0.002351,9.253247,[306  41] ; [72 23],[296.75565611  50.24434389] ; [81.24434389 13.75565611],0
s8,1,0.004479,8.078797,[227 121] ; [49 50],[214.87248322 133.12751678] ; [61.12751678 37.87248322],0
p9,1,0.005275,7.782643,[312  33] ; [76 19],[304.22727273  40.77272727] ; [83.77272727 11.22727273],0
r1,1,0.006945,7.287056,[300  49] ; [73 25],[291.22371365  57.77628635] ; [81.77628635 16.22371365],0
p3,1,0.007078,7.25305,[195 152] ; [40 58],[183.24719101 163.75280899] ; [51.75280899 46.24719101],0
s4,1,0.007185,7.226163,[ 73 271] ; [34 65],[ 83.08803612 260.91196388] ; [23.91196388 75.08803612],0
r4,1,0.010255,6.590095,[335  15] ; [88 11],[329.73273942  20.26726058] ; [93.26726058  5.73273942],0
a8,1,0.010401,6.56481,[ 57 266] ; [ 6 84],[ 49.27118644 273.72881356] ; [13.72881356 76.27118644],0
a4,1,0.030172,4.69944,[177 172] ; [38 61],[167.48883929 181.51116071] ; [47.51116071 51.48883929],0
b3,1,0.037371,4.333404,[ 93 129] ; [13 37],[ 86.51470588 135.48529412] ; [19.48529412 30.51470588],0
b2,1,0.037371,4.333404,[ 93 129] ; [13 37],[ 86.51470588 135.48529412] ; [19.48529412 30.51470588],0
d1,1,0.098456,2.730371,[233 117] ; [57 42],[226.05790646 123.94209354] ; [63.94209354 35.05790646],0
p12,1,0.098567,2.728574,[ 42 306] ; [ 6 91],[ 37.53707865 310.46292135] ; [10.46292135 86.53707865],0
s6,1,0.118979,2.430709,[301  42] ; [80 18],[296.33333333  46.66666667] ; [84.66666667 13.33333333],0
n2,1,0.121695,2.395373,[59 11] ; [19  8],[56.28865979 13.71134021] ; [21.71134021  5.28865979],0
a2,1,0.145095,2.12307,[100 250] ; [21 78],[ 94.32071269 255.67928731] ; [26.67928731 72.32071269],0
s3,1,0.164065,1.936357,[308  38] ; [83 16],[304.01348315  41.98651685] ; [86.98651685 12.01348315],0
b1,1,0.186423,1.745662,[146 204] ; [34 65],[140.31180401 209.68819599] ; [39.68819599 59.31180401],0
d2,1,0.200398,1.639468,[190 157] ; [47 52],[184.39237668 162.60762332] ; [52.60762332 46.39237668],0
v4,1,0.239221,1.38518,[343   7] ; [94  4],[341.40625   8.59375] ; [95.59375  2.40625],0
a5,1,0.29907,1.078338,[268  81] ; [71 28],[264.08705357  84.91294643] ; [74.91294643 24.08705357],0
s1,1,0.338977,0.914297,[ 16 328] ; [ 7 92],[ 17.86004515 326.13995485] ; [ 5.13995485 93.86004515],0
s5,1,0.355794,0.852685,[167 167] ; [41 51],[163.07981221 170.92018779] ; [44.92018779 47.07981221],0
v2,1,0.372136,0.79652,[200 136] ; [50 42],[196.26168224 139.73831776] ; [53.73831776 38.26168224],0
b4,1,0.408596,0.682883,[203 147] ; [62 37],[206.5701559 143.4298441] ; [58.4298441 40.5701559],0
u3,1,0.415504,0.662996,[49 26] ; [27 10],[50.89285714 24.10714286] ; [25.10714286 11.89285714],0
n3,1,0.466533,0.530176,[50 21] ; [21  6],[51.43877551 19.56122449] ; [19.56122449  7.43877551],0
r3,1,0.471656,0.518093,[336  12] ; [97  2],[337.10067114  10.89932886] ; [95.89932886  3.10067114],0
u1,1,0.5361,0.382817,[ 81 269] ; [20 79],[ 78.73051225 271.26948775] ; [22.26948775 76.73051225],0
