Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,66.910902,[308  99] ; [63 97],[266.30864198 140.69135802] ; [104.69135802  55.30864198],1
a6,1,0.0,39.939944,[312  95] ; [79 81],[280.664903 126.335097] ; [110.335097  49.664903],1
d1,1,1.2e-05,19.093583,[246 162] ; [64 96],[222.67605634 185.32394366] ; [87.32394366 72.67605634],1
a2,1,1.5e-05,18.709542,[109 299] ; [ 16 144],[ 89.78873239 318.21126761] ; [ 35.21126761 124.78873239],1
d5,1,1.7e-05,18.479055,[341  66] ; [108  52],[322.29805996  84.70194004] ; [126.70194004  33.29805996],1
b5,1,6.6e-05,15.915105,[268 140] ; [76 84],[247.09859155 160.90140845] ; [96.90140845 63.09859155],1
u1,1,9.3e-05,15.26908,[ 76 332] ; [  9 151],[ 61.05633803 346.94366197] ; [ 23.94366197 136.05633803],1
d4,1,0.000628,11.690784,[337  70] ; [111  48],[322.14840989  84.85159011] ; [125.85159011  33.14840989],1
r3,1,0.000658,11.60376,[388  20] ; [139  21],[378.54929577  29.45070423] ; [148.45070423  11.54929577],1
r4,1,0.001022,10.78802,[377  31] ; [133  27],[366.33802817  41.66197183] ; [143.66197183  16.33802817],0
p2,1,0.003465,8.544909,[323  83] ; [108  51],[309.70973451  96.29026549] ; [121.29026549  37.70973451],0
r1,1,0.005666,7.653569,[336  67] ; [117  43],[324.26110124  78.73889876] ; [128.73889876  31.26110124],0
p8,1,0.007576,7.131133,[177 224] ; [ 51 109],[162.97326203 238.02673797] ; [65.02673797 94.97326203],0
p10,1,0.007952,7.04434,[316  86] ; [108  51],[303.82887701  98.17112299] ; [120.17112299  38.82887701],0
b1,1,0.008497,6.925695,[133 275] ; [71 89],[146.53521127 261.46478873] ; [ 57.46478873 102.53521127],0
v4,1,0.009367,6.751417,[390  16] ; [143  15],[383.68439716  22.31560284] ; [149.31560284   8.68439716],0
p9,1,0.017461,5.649417,[323  77] ; [113  45],[312.54480287  87.45519713] ; [123.45519713  34.54480287],0
s6,1,0.028207,4.81538,[255 146] ; [84 73],[243.61827957 157.38172043] ; [95.38172043 61.61827957],0
p4,1,0.035755,4.408769,[195 210] ; [61 98],[183.82978723 221.17021277] ; [72.17021277 86.82978723],0
b2,1,0.050636,3.820257,[ 69 163] ; [40 58],[ 76.63030303 155.36969697] ; [32.36969697 65.63030303],0
b3,1,0.050636,3.820257,[ 69 163] ; [40 58],[ 76.63030303 155.36969697] ; [32.36969697 65.63030303],0
u3,1,0.067045,3.353921,[77 51] ; [23 28],[71.50837989 56.49162011] ; [28.49162011 22.50837989],0
v2,1,0.07183,3.240698,[211 175] ; [70 82],[201.60966543 184.39033457] ; [79.39033457 72.60966543],0
a8,1,0.167082,1.90893,[ 50 318] ; [ 14 138],[ 45.29230769 322.70769231] ; [ 18.70769231 133.29230769],0
s1,1,0.179277,1.803608,[ 11 389] ; [  8 151],[ 13.59570662 386.40429338] ; [  5.40429338 153.59570662],0
a5,1,0.200648,1.637651,[295 113] ; [107  53],[288.76056338 119.23943662] ; [113.23943662  46.76056338],0
n6,1,0.214809,1.538717,[328  78] ; [121  38],[322.64424779  83.35575221] ; [126.35575221  32.64424779],0
p7,1,0.226012,1.465783,[201 196] ; [71 87],[194.56576577 202.43423423] ; [77.43423423 80.56576577],0
s2,1,0.247774,1.335811,[188 216] ; [65 93],[181.87188612 222.12811388] ; [71.12811388 86.87188612],0
s5,1,0.247993,1.334576,[104 292] ; [ 48 106],[109.44 286.56] ; [ 42.56 111.44],0
n1,1,0.281167,1.161442,[32 61] ; [23 30],[35.03424658 57.96575342] ; [19.96575342 33.03424658],0
v3,1,0.292258,1.109192,[150 238] ; [ 51 100],[144.69016698 243.30983302] ; [56.30983302 94.69016698],0
a1,1,0.383471,0.759544,[ 14 394] ; [  8 152],[ 15.8028169 392.1971831] ; [  6.1971831 153.8028169],0
p11,1,0.444321,0.585099,[306 102] ; [115  45],[302.4084507 105.5915493] ; [118.5915493  41.4084507],0
b4,1,0.487323,0.482431,[240 168] ; [89 71],[236.32394366 171.67605634] ; [92.67605634 67.32394366],0
v1,1,0.518707,0.416463,[182 211] ; [77 79],[185.40437158 207.59562842] ; [73.59562842 82.40437158],0
s7,1,0.537757,0.379712,[154 236] ; [64 87],[157.15341959 232.84658041] ; [60.84658041 90.15341959],0
s4,1,0.548666,0.359713,[ 60 344] ; [ 27 133],[ 62.31914894 341.68085106] ; [ 24.68085106 135.31914894],0
u4,1,0.562313,0.335714,[  8 400] ; [  2 158],[  7.18309859 400.81690141] ; [  2.81690141 157.18309859],0
n5,1,0.619255,0.246917,[281 124] ; [113  45],[283.42806394 121.57193606] ; [110.57193606  47.42806394],0
u2,1,0.634455,0.226068,[66 61] ; [24 26],[64.57627119 62.42372881] ; [25.42372881 24.57627119],0
