Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,85.350607,[93 29] ; [ 21 101],[57. 65.] ; [57. 65.],1
s2,1,0.0,70.816525,[91 31] ; [25 96],[58.23868313 63.76131687] ; [57.76131687 63.23868313],1
s6,1,0.0,49.231334,[102  17] ; [50 69],[76. 43.] ; [76. 43.],1
s3,1,0.0,46.784898,[94 28] ; [40 80],[67.55371901 54.44628099] ; [66.44628099 53.55371901],1
n4,1,0.0,27.868088,[109  12] ; [75 48],[91.24590164 29.75409836] ; [92.75409836 30.24590164],1
a3,1,0.0,26.353925,[103  19] ; [66 56],[84.5 37.5] ; [84.5 37.5],1
p3,1,3e-06,21.596114,[75 47] ; [38 82],[56.96694215 65.03305785] ; [56.03305785 63.96694215],1
p4,1,3.7e-05,17.007398,[80 42] ; [46 72],[64.05 57.95] ; [61.95 56.05],1
p6,1,4.5e-05,16.633913,[57 63] ; [26 91],[42.02531646 77.97468354] ; [40.97468354 76.02531646],1
p10,1,0.000213,13.714474,[102  19] ; [76 44],[89.36929461 31.63070539] ; [88.63070539 31.36929461],1
n5,1,0.000301,13.061469,[104  17] ; [80 41],[92. 29.] ; [92. 29.],1
p9,1,0.00039,12.578179,[108  13] ; [86 35],[97. 24.] ; [97. 24.],1
d5,1,0.000453,12.301492,[100  21] ; [77 46],[87.77459016 33.22540984] ; [89.22540984 33.77459016],1
a5,1,0.000807,11.22435,[94 28] ; [70 53],[81.66530612 40.33469388] ; [82.33469388 40.66530612],1
r3,1,0.001164,10.547205,[119   3] ; [106  17],[112.04081633   9.95918367] ; [112.95918367  10.04081633],0
v3,1,0.001445,10.146852,[58 62] ; [33 84],[46.07594937 73.92405063] ; [44.92405063 72.07594937],0
n1,1,0.002713,8.991009,[20 13] ; [10 29],[13.75 19.25] ; [16.25 22.75],0
d4,1,0.003351,8.605822,[98 23] ; [79 44],[87.77459016 33.22540984] ; [89.22540984 33.77459016],0
s4,1,0.003549,8.501128,[30 91] ; [ 13 110],[21.32377049 99.67622951] ; [ 21.67622951 101.32377049],0
d1,1,0.003933,8.314575,[66 56] ; [44 79],[54.7755102 67.2244898] ; [55.2244898 67.7755102],0
p2,1,0.005422,7.733049,[102  19] ; [83 37],[92.88381743 28.11618257] ; [92.11618257 27.88381743],0
u1,1,0.005637,7.662713,[ 12 110] ; [  2 121],[  6.97142857 115.02857143] ; [  7.02857143 115.97142857],0
a4,1,0.006489,7.409213,[62 60] ; [41 81],[51.5 70.5] ; [51.5 70.5],0
s5,1,0.007201,7.222222,[55 62] ; [35 82],[45. 72.] ; [45. 72.],0
d3,1,0.008144,7.00152,[61 61] ; [41 82],[50.79183673 71.20816327] ; [51.20816327 71.79183673],0
p7,1,0.011857,6.332125,[85 35] ; [65 53],[75.6302521 44.3697479] ; [74.3697479 43.6302521],0
b4,1,0.012425,6.249126,[58 64] ; [78 45],[67.72244898 54.27755102] ; [68.27755102 54.72244898],0
n6,1,0.014421,5.985885,[106  15] ; [92 30],[98.59259259 22.40740741] ; [99.40740741 22.59259259],0
p8,1,0.016735,5.723979,[67 52] ; [49 71],[57.75732218 61.24267782] ; [58.24267782 61.75732218],0
r1,1,0.017566,5.638964,[96 26] ; [80 43],[87.64081633 34.35918367] ; [88.35918367 34.64081633],0
