Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.01292,6.180071,[22 47] ; [21 16],[27.99056604 41.00943396] ; [15.00943396 21.99056604],0
v1,1,0.015934,5.810175,[34 32] ; [10 27],[28.19417476 37.80582524] ; [15.80582524 21.19417476],0
v4,1,0.036654,4.366426,[66  3] ; [31  6],[63.14150943  5.85849057] ; [33.85849057  3.14150943],0
a7,1,0.040527,4.195683,[54 15] ; [22 15],[49.47169811 19.52830189] ; [26.52830189 10.47169811],0
p9,1,0.056206,3.645939,[54 14] ; [23 14],[49.86666667 18.13333333] ; [27.13333333  9.86666667],0
s7,1,0.058136,3.589773,[32 33] ; [10 24],[27.57575758 37.42424242] ; [14.42424242 19.57575758],0
d3,1,0.061198,3.504609,[53 16] ; [22 15],[48.82075472 20.17924528] ; [26.17924528 10.82075472],0
p10,1,0.067923,3.33252,[52 16] ; [22 15],[47.92380952 20.07619048] ; [26.07619048 10.92380952],0
u2,1,0.086677,2.935035,[12 10] ; [13  3],[14.47368421  7.52631579] ; [10.52631579  5.47368421],0
p3,1,0.104965,2.628443,[43 26] ; [17 20],[39.05660377 29.94339623] ; [20.94339623 16.05660377],0
b5,1,0.132096,2.267698,[44 25] ; [18 19],[40.35849057 28.64150943] ; [21.64150943 15.35849057],0
r2,1,0.203445,1.617466,[62  7] ; [30  7],[59.88679245  9.11320755] ; [32.11320755  4.88679245],0
n2,1,0.210531,1.567769,[17  4] ; [10  6],[15.32432432  5.67567568] ; [11.67567568  4.32432432],0
p2,1,0.216052,1.5304,[55 13] ; [26 11],[52.45714286 15.54285714] ; [28.54285714  8.45714286],0
s1,1,0.227832,1.454343,[ 2 67] ; [ 3 34],[ 3.25471698 65.74528302] ; [ 1.74528302 35.25471698],0
n5,1,0.250494,1.320548,[29 40] ; [11 25],[26.28571429 42.71428571] ; [13.71428571 22.28571429],0
s3,1,0.284041,1.147655,[33 35] ; [22 15],[35.61904762 32.38095238] ; [19.38095238 17.61904762],0
p8,1,0.285377,1.141304,[42 27] ; [18 18],[39.42857143 29.57142857] ; [20.57142857 15.42857143],0
p11,1,0.294988,1.096715,[48 21] ; [22 15],[45.56603774 23.43396226] ; [24.43396226 12.56603774],0
a3,1,0.313212,1.017084,[46 23] ; [21 16],[43.61320755 25.38679245] ; [23.38679245 13.61320755],0
s4,1,0.325646,0.966133,[19 50] ; [ 7 30],[16.9245283 52.0754717] ; [ 9.0754717 27.9245283],0
r4,1,0.329709,0.95004,[56 13] ; [27 10],[54.02830189 14.97169811] ; [28.97169811  8.02830189],0
a8,1,0.329829,0.94957,[ 5 58] ; [ 1 33],[ 3.89690722 59.10309278] ; [ 2.10309278 31.89690722],0
b4,1,0.344625,0.893152,[42 27] ; [19 18],[39.70754717 29.29245283] ; [21.29245283 15.70754717],0
s5,1,0.407846,0.685071,[24 43] ; [10 26],[22.11650485 44.88349515] ; [11.88349515 24.11650485],0
n1,1,0.416817,0.659273,[ 6 16] ; [6 9],[ 7.13513514 14.86486486] ; [ 4.86486486 10.13513514],0
d2,1,0.495468,0.464631,[27 42] ; [12 25],[25.38679245 43.61320755] ; [13.61320755 23.38679245],0
p6,1,0.500434,0.454016,[25 44] ; [11 26],[23.43396226 45.56603774] ; [12.56603774 24.43396226],0
d4,1,0.541006,0.373678,[54 15] ; [27 10],[52.72641509 16.27358491] ; [28.27358491  8.72641509],0
a6,1,0.583247,0.301015,[41 28] ; [24 13],[42.31132075 26.68867925] ; [22.68867925 14.31132075],0
d5,1,0.607858,0.263306,[49 20] ; [28  9],[50.12264151 18.87735849] ; [26.87735849 10.12264151],0
s2,1,0.625116,0.238742,[32 37] ; [19 18],[33.19811321 35.80188679] ; [17.80188679 19.19811321],0
n3,1,0.647264,0.209366,[15  7] ; [12  4],[15.63157895  6.36842105] ; [11.36842105  4.63157895],0
b2,1,0.665112,0.187373,[ 9 23] ; [ 9 18],[ 9.76271186 22.23728814] ; [ 8.23728814 18.76271186],0
b3,1,0.665112,0.187373,[ 9 23] ; [ 9 18],[ 9.76271186 22.23728814] ; [ 8.23728814 18.76271186],0
s6,1,0.695666,0.15302,[44 25] ; [25 12],[44.91509434 24.08490566] ; [24.08490566 12.91509434],0
a5,1,0.704772,0.143555,[46 23] ; [26 11],[46.86792453 22.13207547] ; [25.13207547 11.86792453],0
r3,1,0.722493,0.126116,[63  6] ; [33  4],[62.49056604  6.50943396] ; [33.50943396  3.49056604],0
u1,1,0.732369,0.116947,[ 7 62] ; [ 3 34],[ 6.50943396 62.49056604] ; [ 3.49056604 33.50943396],0
a2,1,0.739196,0.110835,[11 58] ; [ 5 32],[10.41509434 58.58490566] ; [ 5.58490566 31.41509434],0
d1,1,0.74365,0.106945,[34 35] ; [17 20],[33.19811321 35.80188679] ; [17.80188679 19.19811321],0
r1,1,0.761365,0.092227,[48 21] ; [24 12],[47.31428571 21.68571429] ; [24.68571429 11.31428571],0
p5,1,0.764046,0.090103,[ 7 62] ; [ 3 33],[ 6.57142857 62.42857143] ; [ 3.42857143 32.57142857],0
p7,1,0.84633,0.03756,[49 19] ; [26 11],[48.57142857 19.42857143] ; [26.42857143 10.57142857],0
a4,1,0.870177,0.026711,[25 44] ; [14 23],[25.38679245 43.61320755] ; [13.61320755 23.38679245],0
v2,1,0.885835,0.020614,[34 32] ; [17 17],[33.66 32.34] ; [17.34 16.66],0
s8,1,0.896365,0.016966,[27 42] ; [14 23],[26.68867925 42.31132075] ; [14.31132075 22.68867925],0
p1,1,0.900445,0.01565,[ 6 62] ; [ 3 34],[ 5.82857143 62.17142857] ; [ 3.17142857 33.82857143],0
a1,1,0.953782,0.003359,[ 2 67] ; [ 1 36],[ 1.95283019 67.04716981] ; [ 1.04716981 35.95283019],0
v3,1,0.961877,0.002285,[17 48] ; [ 9 26],[16.9 48.1] ; [ 9.1 25.9],0
u3,1,0.96749,0.001661,[16  6] ; [11  4],[16.05405405  5.94594595] ; [10.94594595  4.05405405],0
