Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000148,14.4,[ 4 32] ; [23 22],[12. 24.] ; [15. 30.],1
p7,1,0.004451,8.089937,[11 24] ; [28 16],[17.27848101 17.72151899] ; [21.72151899 22.27848101],0
v4,1,0.011865,6.330868,[23 14] ; [38  6],[27.86419753  9.13580247] ; [33.13580247 10.86419753],0
p8,1,0.022871,5.178245,[ 5 32] ; [16 29],[ 9.47560976 27.52439024] ; [11.52439024 33.47560976],0
r3,1,0.022928,5.17394,[24 13] ; [38  6],[28.32098765  8.67901235] ; [33.67901235 10.32098765],0
s8,1,0.044486,4.038037,[ 4 33] ; [13 32],[ 7.67073171 29.32926829] ; [ 9.32926829 35.67073171],0
n2,1,0.060147,3.53333,[5 8] ; [13  5],[7.5483871 5.4516129] ; [10.4516129  7.5483871],0
s5,1,0.074176,3.188102,[ 3 34] ; [10 34],[ 5.9382716 31.0617284] ; [ 7.0617284 36.9382716],0
d3,1,0.088816,2.895706,[12 25] ; [23 22],[15.79268293 21.20731707] ; [19.20731707 25.79268293],0
p3,1,0.095168,2.784706,[ 7 30] ; [16 29],[10.37804878 26.62195122] ; [12.62195122 32.37804878],0
s2,1,0.098673,2.726855,[ 8 29] ; [17 27],[11.41975309 25.58024691] ; [13.58024691 30.41975309],0
s3,1,0.118831,2.43266,[11 25] ; [21 23],[14.4 21.6] ; [17.6 26.4],0
u3,1,0.162692,1.949025,[14  9] ; [12 17],[11.5 11.5] ; [14.5 14.5],0
s4,1,0.195865,1.67294,[ 5 32] ; [11 33],[ 7.30864198 29.69135802] ; [ 8.69135802 35.30864198],0
n3,1,0.207805,1.586651,[6 7] ; [13  6],[7.71875 5.28125] ; [11.28125  7.71875],0
a6,1,0.210204,1.570018,[13 24] ; [22 23],[15.79268293 21.20731707] ; [19.20731707 25.79268293],0
p6,1,0.210797,1.565942,[ 7 29] ; [14 30],[ 9.45 26.55] ; [11.55 32.45],0
a4,1,0.228604,1.449525,[ 2 35] ; [ 6 39],[ 3.6097561 33.3902439] ; [ 4.3902439 40.6097561],0
a7,1,0.237653,1.39446,[17 20] ; [26 18],[19.64197531 17.35802469] ; [23.35802469 20.64197531],0
b3,1,0.262073,1.257771,[ 7 16] ; [ 5 24],[ 5.30769231 17.69230769] ; [ 6.69230769 22.30769231],0
b2,1,0.262073,1.257771,[ 7 16] ; [ 5 24],[ 5.30769231 17.69230769] ; [ 6.69230769 22.30769231],0
s7,1,0.275123,1.191023,[ 7 28] ; [13 29],[ 9.09090909 25.90909091] ; [10.90909091 31.09090909],0
d5,1,0.303993,1.056596,[18 19] ; [27 18],[20.30487805 16.69512195] ; [24.69512195 20.30487805],0
n5,1,0.339477,0.912407,[22 15] ; [22 23],[19.85365854 17.14634146] ; [24.14634146 20.85365854],0
p11,1,0.339477,0.912407,[15 22] ; [23 22],[17.14634146 19.85365854] ; [20.85365854 24.14634146],0
b1,1,0.363029,0.827387,[21 16] ; [21 24],[18.95121951 18.04878049] ; [23.04878049 21.95121951],0
p5,1,0.406984,0.687595,[ 1 36] ; [ 3 42],[ 1.80487805 35.19512195] ; [ 2.19512195 42.80487805],0
p10,1,0.407981,0.684676,[ 7 30] ; [12 33],[ 8.57317073 28.42682927] ; [10.42682927 34.57317073],0
d2,1,0.430331,0.621929,[14 23] ; [13 31],[12.33333333 24.66666667] ; [14.66666667 29.33333333],0
a1,1,0.444859,0.583718,[ 2 35] ; [ 1 44],[ 1.35365854 35.64634146] ; [ 1.64634146 43.35365854],0
d4,1,0.56524,0.330713,[23 14] ; [24 19],[21.7375 15.2625] ; [25.2625 17.7375],0
v2,1,0.568998,0.324362,[12 24] ; [17 26],[13.21518987 22.78481013] ; [15.78481013 27.21518987],0
s6,1,0.588031,0.29343,[17 20] ; [18 27],[15.79268293 21.20731707] ; [19.20731707 25.79268293],0
r1,1,0.687042,0.162306,[23 14] ; [26 19],[22.1097561 14.8902439] ; [26.8902439 18.1097561],0
b5,1,0.722098,0.126491,[22 15] ; [25 20],[21.20731707 15.79268293] ; [25.79268293 19.20731707],0
