Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000863,11.101575,[207  54] ; [26 20],[198.08794788  62.91205212] ; [34.91205212 11.08794788],1
n4,1,0.001451,10.140309,[229  32] ; [32 14],[221.89250814  39.10749186] ; [39.10749186  6.89250814],0
a2,1,0.002745,8.969699,[ 78 183] ; [ 4 42],[ 69.71335505 191.28664495] ; [12.28664495 33.71335505],0
p7,1,0.00727,7.205001,[224  33] ; [33 13],[217.98349835  39.01650165] ; [39.01650165  6.98349835],0
u1,1,0.013396,6.116068,[ 66 195] ; [ 4 42],[ 59.51140065 201.48859935] ; [10.48859935 35.51140065],0
n5,1,0.01598,5.805051,[215  45] ; [31 15],[209.01960784  50.98039216] ; [36.98039216  9.01960784],0
v1,1,0.022278,5.223904,[169  89] ; [22 24],[162.09868421  95.90131579] ; [28.90131579 17.09868421],0
v4,1,0.0366,4.368923,[257   4] ; [43  3],[255.04885993   5.95114007] ; [44.95114007  1.04885993],0
r2,1,0.037765,4.315562,[255   4] ; [43  3],[253.0557377   5.9442623] ; [44.9442623  1.0557377],0
a4,1,0.043821,4.063457,[138 122] ; [17 29],[131.69934641 128.30065359] ; [23.30065359 22.69934641],0
p2,1,0.046583,3.96038,[236  25] ; [37  9],[232.09446254  28.90553746] ; [40.90553746  5.09446254],0
p9,1,0.046799,3.9526,[239  21] ; [38  8],[235.35947712  24.64052288] ; [41.64052288  4.35947712],0
s3,1,0.053244,3.736236,[163  96] ; [22 24],[157.09836066 101.90163934] ; [27.90163934 18.09836066],0
a3,1,0.054822,3.687496,[198  61] ; [29 17],[192.76393443  66.23606557] ; [34.23606557 11.76393443],0
d2,1,0.062539,3.468751,[146 114] ; [19 27],[140.19607843 119.80392157] ; [24.80392157 21.19607843],0
s2,1,0.064447,3.419073,[162  98] ; [22 24],[156.33986928 103.66013072] ; [27.66013072 18.33986928],0
b4,1,0.069002,3.306602,[150 111] ; [33 13],[155.57980456 105.42019544] ; [27.42019544 18.57980456],0
d1,1,0.08524,2.962037,[176  85] ; [25 21],[170.88273616  90.11726384] ; [30.11726384 15.88273616],0
p4,1,0.1088,2.571571,[213  47] ; [33 13],[209.01960784  50.98039216] ; [36.98039216  9.01960784],0
s6,1,0.114031,2.497452,[200  55] ; [29 14],[195.95637584  59.04362416] ; [33.04362416  9.95637584],0
s7,1,0.120379,2.412378,[159  92] ; [23 22],[154.33108108  96.66891892] ; [27.66891892 17.33108108],0
r3,1,0.205237,1.604709,[256   4] ; [44  2],[254.90196078   5.09803922] ; [45.09803922  0.90196078],0
p8,1,0.252041,1.311952,[185  74] ; [29 17],[181.72459016  77.27540984] ; [32.27540984 13.72459016],0
a6,1,0.26322,1.251743,[174  85] ; [27 19],[170.6852459  88.3147541] ; [30.3147541 15.6852459],0
p3,1,0.278621,1.173803,[174  86] ; [27 19],[170.78431373  89.21568627] ; [30.21568627 15.78431373],0
d4,1,0.281708,1.15883,[224  35] ; [37  9],[221.63606557  37.36393443] ; [39.36393443  6.63606557],0
a1,1,0.290886,1.115516,[ 17 244] ; [ 5 41],[ 18.70358306 242.29641694] ; [ 3.29641694 42.70358306],0
s1,1,0.310133,1.030109,[  9 250] ; [ 3 42],[ 10.22368421 248.77631579] ; [ 1.77631579 43.22368421],0
p1,1,0.312714,1.019177,[ 36 224] ; [ 9 37],[ 38.23529412 221.76470588] ; [ 6.76470588 39.23529412],0
d5,1,0.359057,0.84119,[216  43] ; [35 10],[213.84539474  45.15460526] ; [37.15460526  7.84539474],0
n6,1,0.379851,0.771183,[235  23] ; [40  6],[233.38815789  24.61184211] ; [41.61184211  4.38815789],0
a7,1,0.387608,0.746432,[195  65] ; [31 14],[192.6557377  67.3442623] ; [33.3442623 11.6557377],0
p10,1,0.394217,0.725895,[226  33] ; [38  8],[224.18360656  34.81639344] ; [39.81639344  6.18360656],0
v3,1,0.445331,0.582508,[106 149] ; [21 23],[108.31103679 146.68896321] ; [18.68896321 25.31103679],0
p5,1,0.45512,0.55787,[ 52 209] ; [ 7 39],[ 50.15960912 210.84039088] ; [ 8.84039088 37.15960912],0
u3,1,0.465566,0.53248,[43 20] ; [10  7],[41.7375 21.2625] ; [11.2625  5.7375],0
s8,1,0.468525,0.525453,[150 109] ; [24 22],[147.75737705 111.24262295] ; [26.24262295 19.75737705],0
v2,1,0.521426,0.411073,[154 104] ; [24 20],[152.06622517 105.93377483] ; [25.93377483 18.06622517],0
b1,1,0.541218,0.373287,[109 152] ; [17 29],[107.12052117 153.87947883] ; [18.87947883 27.12052117],0
u2,1,0.574034,0.315979,[36 27] ; [11  6],[37.0125 25.9875] ; [9.9875 7.0125],0
d3,1,0.580888,0.304801,[195  65] ; [32 13],[193.50819672  66.49180328] ; [33.49180328 11.50819672],0
u4,1,0.653479,0.201542,[  9 252] ; [ 1 45],[  8.50162866 252.49837134] ; [ 1.49837134 44.50162866],0
n2,1,0.654461,0.200323,[32 12] ; [10  5],[31.3220339 12.6779661] ; [10.6779661  4.3220339],0
n1,1,0.655021,0.199628,[19 25] ; [7 7],[19.72413793 24.27586207] ; [6.27586207 7.72413793],0
a8,1,0.757084,0.095674,[ 37 197] ; [ 6 37],[ 36.32490975 197.67509025] ; [ 6.67509025 36.32490975],0
s5,1,0.77084,0.084842,[113 137] ; [20 22],[113.86986301 136.13013699] ; [19.13013699 22.86986301],0
p11,1,0.777872,0.079576,[211  50] ; [38  8],[211.69055375  49.30944625] ; [37.30944625  8.69055375],0
n3,1,0.790388,0.070653,[33 10] ; [11  4],[32.62068966 10.37931034] ; [11.37931034  3.62068966],0
b5,1,0.929881,0.007743,[155 106] ; [27 19],[154.72964169 106.27035831] ; [27.27035831 18.72964169],0
s4,1,0.945834,0.004616,[ 51 204] ; [ 9 37],[ 50.83056478 204.16943522] ; [ 9.16943522 36.83056478],0
p12,1,0.954902,0.003198,[ 33 226] ; [ 6 40],[ 33.11803279 225.88196721] ; [ 5.88196721 40.11803279],0
b2,1,0.990647,0.000137,[78 88] ; [15 17],[77.96969697 88.03030303] ; [15.03030303 16.96969697],0
b3,1,0.990647,0.000137,[78 88] ; [15 17],[77.96969697 88.03030303] ; [15.03030303 16.96969697],0
