Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000947,10.928507,[ 8 19] ; [101  58],[15.82258065 11.17741935] ; [93.17741935 65.82258065],1
a5,1,0.004132,8.224975,[10 17] ; [105  54],[16.69354839 10.30645161] ; [98.30645161 60.69354839],0
p2,1,0.004933,7.903733,[16 11] ; [131  27],[21.45405405  5.54594595] ; [125.54594595  32.45405405],0
s2,1,0.019713,5.437122,[17  9] ; [65 94],[11.52432432 14.47567568] ; [70.47567568 88.52432432],0
p4,1,0.031532,4.623738,[ 9 18] ; [88 70],[14.15675676 12.84324324] ; [82.84324324 75.15675676],0
s5,1,0.065545,3.391214,[12 13] ; [ 46 110],[ 8.01104972 16.98895028] ; [ 49.98895028 106.01104972],0
p6,1,0.085642,2.954446,[ 6 20] ; [64 93],[ 9.94535519 16.05464481] ; [60.05464481 96.94535519],0
b2,1,0.100457,2.698269,[ 2 11] ; [36 57],[4.66037736 8.33962264] ; [33.33962264 59.66037736],0
b3,1,0.100457,2.698269,[ 2 11] ; [36 57],[4.66037736 8.33962264] ; [33.33962264 59.66037736],0
n4,1,0.104905,2.629342,[16 11] ; [119  41],[19.49197861  7.50802139] ; [115.50802139  44.49197861],0
r2,1,0.129274,2.301201,[23  4] ; [146  10],[24.93442623  2.06557377] ; [144.06557377  11.93442623],0
p5,1,0.154937,2.02296,[ 1 26] ; [ 21 137],[ 3.21081081 23.78918919] ; [ 18.78918919 139.21081081],0
a4,1,0.173283,1.85431,[ 9 18] ; [ 34 125],[ 6.24193548 20.75806452] ; [ 36.75806452 122.24193548],0
p8,1,0.183611,1.768148,[10 16] ; [83 75],[13.14130435 12.85869565] ; [79.85869565 78.14130435],0
r1,1,0.193756,1.688821,[19  8] ; [130  30],[21.51336898  5.48663102] ; [127.48663102  32.51336898],0
d3,1,0.194184,1.685582,[15 12] ; [67 92],[11.90322581 15.09677419] ; [70.09677419 88.90322581],0
s6,1,0.208111,1.584518,[19  6] ; [99 58],[16.20879121  8.79120879] ; [101.79120879  55.20879121],0
s3,1,0.249947,1.323601,[16 10] ; [78 80],[13.2826087 12.7173913] ; [80.7173913 77.2826087],0
v3,1,0.274865,1.192308,[10 16] ; [80 80],[12.58064516 13.41935484] ; [77.41935484 82.58064516],0
a3,1,0.276145,1.185964,[14 13] ; [100  59],[16.5483871 10.4516129] ; [97.4516129 61.5483871],0
p9,1,0.325169,0.96804,[23  3] ; [127  31],[21.19565217  4.80434783] ; [128.80434783  29.19565217],0
u2,1,0.328634,0.954275,[5 8] ; [31 27],[6.5915493 6.4084507] ; [29.4084507 28.5915493],0
p3,1,0.342024,0.902831,[11 16] ; [80 78],[13.28108108 13.71891892] ; [77.71891892 80.28108108],0
d4,1,0.353102,0.86228,[19  8] ; [97 62],[16.83870968 10.16129032] ; [99.16129032 59.83870968],0
n1,1,0.411673,0.673963,[1 5] ; [13 26],[1.86666667 4.13333333] ; [12.13333333 26.86666667],0
s8,1,0.473562,0.513652,[ 9 18] ; [65 95],[10.68449198 16.31550802] ; [63.31550802 96.68449198],0
d5,1,0.511286,0.431435,[18  9] ; [96 64],[16.45989305 10.54010695] ; [97.54010695 62.45989305],0
v4,1,0.520858,0.412193,[26  1] ; [146  11],[25.23913043  1.76086957] ; [146.76086957  10.23913043],0
p11,1,0.534379,0.386057,[20  7] ; [127  33],[21.22459893  5.77540107] ; [125.77540107  34.22459893],0
p7,1,0.534865,0.385141,[16 10] ; [107  51],[17.38043478  8.61956522] ; [105.61956522  52.38043478],0
b1,1,0.591641,0.287788,[ 9 18] ; [62 98],[10.2513369 16.7486631] ; [60.7486631 99.2513369],0
p12,1,0.593953,0.284214,[ 1 26] ; [ 10 148],[ 1.60540541 25.39459459] ; [  9.39459459 148.60540541],0
v1,1,0.594104,0.28398,[17  9] ; [94 63],[15.7704918 10.2295082] ; [95.2295082 61.7704918],0
a1,1,0.607035,0.264516,[ 2 25] ; [  8 152],[ 1.44385027 25.55614973] ; [  8.55614973 151.44385027],0
r4,1,0.667031,0.185095,[23  4] ; [141  19],[23.67914439  3.32085561] ; [140.32085561  19.67914439],0
a7,1,0.689254,0.159894,[19  8] ; [105  53],[18.0972973  8.9027027] ; [105.9027027  52.0972973],0
s1,1,0.698141,0.150413,[ 1 25] ; [  4 155],[ 0.7027027 25.2972973] ; [  4.2972973 154.7027027],0
u1,1,0.715786,0.132567,[ 2 25] ; [  9 151],[ 1.58823529 25.41176471] ; [  9.41176471 150.58823529],0
p10,1,0.753699,0.098449,[20  6] ; [125  32],[20.6010929  5.3989071] ; [124.3989071  32.6010929],0
b5,1,0.761216,0.092346,[14 13] ; [88 72],[14.72727273 12.27272727] ; [87.27272727 72.72727273],0
s7,1,0.808004,0.05905,[12 15] ; [70 79],[12.57954545 14.42045455] ; [69.42045455 79.57954545],0
b4,1,0.850175,0.035681,[15 12] ; [92 68],[15.44919786 11.55080214] ; [91.55080214 68.44919786],0
r3,1,0.851507,0.035042,[25  1] ; [154   5],[25.15675676  0.84324324] ; [153.84324324   5.15675676],0
u3,1,0.886602,0.020336,[7 6] ; [31 29],[6.76712329 6.23287671] ; [31.23287671 28.76712329],0
d2,1,0.909272,0.012986,[ 3 24] ; [ 19 141],[ 3.17647059 23.82352941] ; [ 18.82352941 141.17647059],0
n6,1,0.915037,0.011382,[21  5] ; [129  29],[21.19565217  4.80434783] ; [128.80434783  29.19565217],0
a8,1,0.959718,0.002551,[ 3 20] ; [ 19 131],[ 2.92485549 20.07514451] ; [ 19.07514451 130.92485549],0
n3,1,0.959948,0.002522,[5 1] ; [33  7],[4.95652174 1.04347826] ; [33.04347826  6.95652174],0
n5,1,0.983542,0.000426,[20  7] ; [116  41],[19.95652174  7.04347826] ; [116.04347826  40.95652174],0
