Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4e-06,21.062486,[115  23] ; [55 43],[99.40677966 38.59322034] ; [70.59322034 27.40677966],1
d1,1,0.006847,7.312589,[98 41] ; [54 47],[88.03333333 50.96666667] ; [63.96666667 37.03333333],0
p8,1,0.007937,7.047537,[94 42] ; [51 47],[84.27350427 51.72649573] ; [60.72649573 37.27350427],0
s4,1,0.009916,6.649956,[ 19 120] ; [27 73],[ 26.75313808 112.24686192] ; [19.24686192 80.75313808],0
n5,1,0.010626,6.526846,[124  14] ; [77 22],[117.03797468  20.96202532] ; [83.96202532 15.03797468],0
n6,1,0.011403,6.401481,[126  10] ; [81 18],[119.79574468  16.20425532] ; [87.20425532 11.79574468],0
p5,1,0.015937,5.809834,[ 34 105] ; [12 88],[ 26.75313808 112.24686192] ; [19.24686192 80.75313808],0
n4,1,0.016449,5.754222,[124  15] ; [77 22],[117.3907563  21.6092437] ; [83.6092437 15.3907563],0
p3,1,0.019474,5.458466,[93 45] ; [53 48],[84.30125523 53.69874477] ; [61.69874477 39.30125523],0
r4,1,0.049992,3.841711,[133   6] ; [90 11],[129.15416667   9.84583333] ; [93.84583333  7.15416667],0
d5,1,0.053502,3.728184,[120  17] ; [79 22],[114.55042017  22.44957983] ; [84.44957983 16.55042017],0
p1,1,0.072009,3.236628,[ 20 118] ; [ 7 93],[ 15.65546218 122.34453782] ; [11.34453782 88.65546218],0
d4,1,0.086651,2.935511,[122  15] ; [82 19],[117.42857143  19.57142857] ; [86.57142857 14.42857143],0
p12,1,0.092937,2.822749,[ 21 117] ; [ 8 92],[ 16.81512605 121.18487395] ; [12.18487395 87.81512605],0
p4,1,0.107259,2.594143,[103  35] ; [65 35],[97.41176471 40.58823529] ; [70.58823529 29.41176471],0
p11,1,0.116651,2.461714,[116  23] ; [76 25],[111.2  27.8] ; [80.8 20.2],0
n1,1,0.138866,2.190476,[10 13] ; [15  8],[12.5 10.5] ; [12.5 10.5],0
p7,1,0.140133,2.176499,[105  29] ; [67 29],[100.20869565  33.79130435] ; [71.79130435 24.20869565],0
d3,1,0.16075,1.967157,[108  30] ; [71 30],[103.35564854  34.64435146] ; [75.64435146 25.35564854],0
b5,1,0.18797,1.733457,[82 57] ; [68 33],[86.875 52.125] ; [63.125 37.875],0
a1,1,0.211632,1.560225,[ 11 128] ; [ 4 97],[  8.6875 130.3125] ; [ 6.3125 94.6875],0
n2,1,0.218152,1.516484,[18  5] ; [21  2],[19.5  3.5] ; [19.5  3.5],0
u4,1,0.218631,1.513335,[  7 132] ; [ 2 99],[  5.2125 133.7875] ; [ 3.7875 97.2125],0
s8,1,0.241385,1.372488,[106  30] ; [72 29],[102.14345992  33.85654008] ; [75.85654008 25.14345992],0
a4,1,0.331059,0.944749,[73 65] ; [47 54],[69.28870293 68.71129707] ; [50.71129707 50.28870293],0
p10,1,0.33237,0.93964,[124  14] ; [84 14],[121.62711864  16.37288136] ; [86.37288136 11.62711864],0
v4,1,0.39265,0.730721,[134   4] ; [94  5],[132.75949367   5.24050633] ; [95.24050633  3.75949367],0
p2,1,0.428365,0.627251,[123  16] ; [85 15],[120.9707113  18.0292887] ; [87.0292887 12.9707113],0
d2,1,0.463726,0.536887,[79 59] ; [53 48],[76.21757322 61.78242678] ; [55.78242678 45.21757322],0
a7,1,0.511676,0.430637,[95 44] ; [73 28],[97.3 41.7] ; [70.7 30.3],0
r1,1,0.51999,0.413913,[120  18] ; [84 16],[118.28571429  19.71428571] ; [85.71428571 14.28571429],0
u3,1,0.550868,0.355765,[17  8] ; [13  4],[17.85714286  7.14285714] ; [12.14285714  4.85714286],0
r3,1,0.597901,0.278173,[133   6] ; [97  3],[133.76569038   5.23430962] ; [96.23430962  3.76569038],0
b3,1,0.606505,0.265295,[44 52] ; [34 47],[42.30508475 53.69491525] ; [35.69491525 45.30508475],0
b2,1,0.606505,0.265295,[44 52] ; [34 47],[42.30508475 53.69491525] ; [35.69491525 45.30508475],0
a5,1,0.616212,0.251227,[115  24] ; [81 20],[113.51666667  25.48333333] ; [82.48333333 18.51666667],0
u2,1,0.656627,0.197647,[16  9] ; [12  5],[16.66666667  8.33333333] ; [11.33333333  5.66666667],0
s2,1,0.68225,0.167604,[102  36] ; [77 24],[103.35564854  34.64435146] ; [75.64435146 25.35564854],0
b4,1,0.691992,0.156938,[82 57] ; [57 44],[80.50416667 58.49583333] ; [58.49583333 42.50416667],0
a2,1,0.716199,0.132164,[41 98] ; [32 69],[42.27916667 96.72083333] ; [30.72083333 70.27916667],0
a8,1,0.729155,0.119889,[ 23 101] ; [18 70],[ 23.98113208 100.01886792] ; [17.01886792 70.98113208],0
u1,1,0.752475,0.099463,[ 36 103] ; [28 73],[ 37.06666667 101.93333333] ; [26.93333333 74.06666667],0
s6,1,0.752589,0.099369,[118  17] ; [86 14],[117.19148936  17.80851064] ; [86.80851064 13.19148936],0
b1,1,0.760152,0.093197,[55 84] ; [38 63],[53.8625 85.1375] ; [39.1375 61.8625],0
