Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.002647,9.035902,[528  83] ; [6 5],[524.5562701  86.4437299] ; [9.4437299 1.5562701],0
s1,1,0.00351,8.521129,[ 17 587] ; [2 9],[ 18.6601626 585.3398374] ; [ 0.3398374 10.6601626],0
s5,1,0.017485,5.647009,[221 367] ; [8 3],[224.79465776 363.20534224] ; [4.20534224 6.79465776],0
d4,1,0.027013,4.88997,[530  81] ; [7 4],[527.50321543  83.49678457] ; [9.49678457 1.50321543],0
n1,1,0.047761,3.918374,[46 81] ; [4 1],[48.10606061 78.89393939] ; [1.89393939 3.10606061],0
a4,1,0.073489,3.203317,[333 279] ; [3 8],[330.06741573 281.93258427] ; [5.93258427 5.06741573],0
b1,1,0.084718,2.971975,[234 380] ; [7 4],[236.7584 377.2416] ; [4.2416 6.7584],0
r1,1,0.089853,2.877004,[544  67] ; [8 3],[542.23794212  68.76205788] ; [9.76205788 1.23794212],0
a2,1,0.096522,2.762085,[201 413] ; [ 1 10],[198.4448 415.5552] ; [3.5552 7.4448],0
p5,1,0.108246,2.579646,[ 70 538] ; [3 8],[ 71.70274637 536.29725363] ; [1.29725363 9.70274637],0
d1,1,0.108785,2.571783,[419 195] ; [5 6],[416.5376 197.4624] ; [7.4624 3.5376],0
p8,1,0.1204,2.412112,[333 268] ; [8 2],[335.41898527 265.58101473] ; [5.58101473 4.41898527],0
d2,1,0.13979,2.180271,[357 253] ; [4 7],[354.60547504 255.39452496] ; [6.39452496 4.60547504],0
d3,1,0.167771,1.902745,[448 164] ; [6 5],[445.98394864 166.01605136] ; [8.01605136 2.98394864],0
s2,1,0.194728,1.681479,[322 285] ; [8 3],[324.12621359 282.87378641] ; [5.87378641 5.12621359],0
p1,1,0.248913,1.329393,[ 51 558] ; [2 9],[ 52.05967742 556.94032258] ; [ 0.94032258 10.05967742],0
p2,1,0.257171,1.283925,[519  91] ; [8 3],[517.66505636  92.33494364] ; [9.33494364 1.66505636],0
u1,1,0.263364,1.250988,[144 470] ; [ 1 10],[142.448 471.552] ; [2.552 8.448],0
p10,1,0.295651,1.093707,[512  95] ; [8 3],[510.74433657  96.25566343] ; [9.25566343 1.74433657],0
v2,1,0.306359,1.046309,[358 232] ; [5 6],[356.35607321 233.64392679] ; [6.64392679 4.35607321],0
b4,1,0.34109,0.906329,[359 255] ; [8 3],[360.5408 253.4592] ; [6.4592 4.5408],0
a7,1,0.385672,0.752545,[461 153] ; [7 4],[459.7632 154.2368] ; [8.2368 2.7632],0
b5,1,0.390355,0.737835,[368 246] ; [8 3],[369.3824 244.6176] ; [6.6176 4.3824],0
p7,1,0.41546,0.663123,[397 202] ; [6 5],[395.73278689 203.26721311] ; [7.26721311 3.73278689],0
a6,1,0.431418,0.619003,[453 158] ; [7 4],[451.86495177 159.13504823] ; [8.13504823 2.86495177],0
s8,1,0.477678,0.504159,[296 312] ; [6 4],[297.11326861 310.88673139] ; [4.88673139 5.11326861],0
s6,1,0.506222,0.441869,[422 178] ; [8 2],[422.95081967 177.04918033] ; [7.04918033 2.95081967],0
p11,1,0.512777,0.428396,[495 119] ; [8 3],[494.1472 119.8528] ; [8.8528 2.1472],0
p9,1,0.516489,0.420899,[528  79] ; [8 2],[527.31280389  79.68719611] ; [8.68719611 1.31280389],0
a1,1,0.546599,0.363446,[ 31 583] ; [ 1 10],[ 31.4368 582.5632] ; [ 0.5632 10.4368],0
b2,1,0.598089,0.277888,[160 220] ; [3 6],[159.22879177 220.77120823] ; [3.77120823 5.22879177],0
b3,1,0.598089,0.277888,[160 220] ; [3 6],[159.22879177 220.77120823] ; [3.77120823 5.22879177],0
p6,1,0.601576,0.272625,[228 376] ; [5 6],[228.83252033 375.16747967] ; [4.16747967 6.83252033],0
u3,1,0.745243,0.105572,[76 48] ; [1 1],[75.77777778 48.22222222] ; [1.22222222 0.77777778],0
u2,1,0.818724,0.052527,[72 52] ; [1 1],[71.84126984 52.15873016] ; [1.15873016 0.84126984],0
s3,1,0.829646,0.046292,[343 263] ; [6 4],[343.33441558 262.66558442] ; [5.66558442 4.33441558],0
v1,1,0.844297,0.038573,[345 255] ; [6 5],[344.68085106 255.31914894] ; [6.31914894 4.68085106],0
v3,1,0.849022,0.036239,[250 337] ; [5 6],[250.30936455 336.69063545] ; [4.69063545 6.30936455],0
s7,1,0.855404,0.033207,[310 276] ; [5 5],[309.7147651 276.2852349] ; [5.2852349 4.7147651],0
a3,1,0.866907,0.028086,[489 124] ; [9 2],[489.22115385 123.77884615] ; [8.77884615 2.22115385],0
s4,1,0.871768,0.026054,[ 99 506] ; [2 9],[ 99.19642857 505.80357143] ; [1.80357143 9.19642857],0
n3,1,0.964385,0.001994,[98 31] ; [3 1],[97.96240602 31.03759398] ; [3.03759398 0.96240602],0
p3,1,0.967857,0.001624,[329 281] ; [6 5],[329.06602254 280.93397746] ; [5.93397746 5.06602254],0
p4,1,0.991855,0.000104,[386 222] ; [7 4],[386.01615509 221.98384491] ; [6.98384491 4.01615509],0
p12,1,0.997263,1.2e-05,[ 55 552] ; [ 1 10],[ 55.00323625 551.99676375] ; [ 0.99676375 10.00323625],0
