Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,50.384736,[212  30] ; [61 53],[185.57865169  56.42134831] ; [87.42134831 26.57865169],1
p6,1,0.0,34.620355,[144  97] ; [30 84],[118.12394366 122.87605634] ; [55.87605634 58.12394366],1
p2,1,4e-06,21.417351,[227  16] ; [87 27],[213.73109244  29.26890756] ; [100.26890756  13.73109244],1
p4,1,1.9e-05,18.287309,[218  25] ; [82 32],[204.20168067  38.79831933] ; [95.79831933 18.20168067],1
p5,1,0.000586,11.820933,[ 63 180] ; [ 11 100],[ 50.79661017 192.20338983] ; [23.20338983 87.79661017],1
p11,1,0.003759,8.396488,[216  27] ; [88 26],[206.92436975  36.07563025] ; [97.07563025 16.92436975],0
b5,1,0.00421,8.191029,[125 118] ; [77 37],[137.49579832 105.50420168] ; [64.50420168 49.49579832],0
s8,1,0.005438,7.727696,[141  99] ; [49 65],[128.81355932 111.18644068] ; [61.18644068 52.81355932],0
p9,1,0.008614,6.901084,[229  14] ; [98 16],[222.57983193  20.42016807] ; [104.42016807   9.57983193],0
d5,1,0.017443,5.651201,[200  42] ; [105   9],[207.33146067  34.66853933] ; [97.66853933 16.33146067],0
p10,1,0.026205,4.942449,[225  18] ; [97 17],[219.17647059  23.82352941] ; [102.82352941  11.17647059],0
r1,1,0.029245,4.753111,[207  35] ; [86 27],[199.73521127  42.26478873] ; [93.26478873 19.73521127],0
p12,1,0.044303,4.044994,[ 35 207] ; [  8 106],[ 29.23033708 212.76966292] ; [ 13.76966292 100.23033708],0
s5,1,0.057038,3.621493,[104 128] ; [37 72],[ 95.92961877 136.07038123] ; [45.07038123 63.92961877],0
v4,1,0.072074,3.235141,[234   7] ; [106   8],[230.81690141  10.18309859] ; [109.18309859   4.81690141],0
d1,1,0.07748,3.116991,[164  79] ; [66 48],[156.55462185  86.44537815] ; [73.44537815 40.55462185],0
d4,1,0.099372,2.715586,[206  36] ; [89 25],[200.53370787  41.46629213] ; [94.46629213 19.53370787],0
a5,1,0.135256,2.231118,[196  47] ; [84 30],[190.58823529  52.41176471] ; [89.41176471 24.58823529],0
d3,1,0.148766,2.084859,[172  71] ; [72 42],[166.08403361  76.91596639] ; [77.91596639 36.08403361],0
p1,1,0.16188,1.956576,[ 34 209] ; [ 10 104],[ 29.94957983 213.05042017] ; [14.05042017 99.94957983],0
s4,1,0.177298,1.820126,[ 46 193] ; [15 97],[ 41.53561254 197.46438746] ; [19.46438746 92.53561254],0
s7,1,0.198648,1.65229,[141  85] ; [60 49],[135.6  90.4] ; [65.4 43.6],0
