Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,128.83199,[ 6 40] ; [264  37],[35.7925072 10.2074928] ; [234.2074928  66.7925072],1
p11,1,0.0,52.190177,[10 36] ; [226  75],[31.28530259 14.71469741] ; [204.71469741  96.28530259],1
v4,1,0.0,51.1856,[25 21] ; [274  23],[40.09912536  5.90087464] ; [258.90087464  38.09912536],1
n6,1,0.0,35.104351,[17 29] ; [235  64],[33.6 12.4] ; [218.4  80.6],1
p2,1,0.0,33.267857,[12 33] ; [212  88],[29.2173913 15.7826087] ; [194.7826087 105.2173913],1
p9,1,0.0,31.406365,[15 27] ; [227  67],[30.25 11.75] ; [211.75  82.25],1
p10,1,0.0,30.29228,[14 31] ; [216  82],[30.17492711 14.82507289] ; [199.82507289  98.17492711],1
v2,1,0.0,28.743436,[ 4 41] ; [146 136],[20.64220183 24.35779817] ; [129.35779817 152.64220183],1
r1,1,1e-06,24.557675,[19 27] ; [229  70],[33.06666667 12.93333333] ; [214.93333333  84.06666667],1
a1,1,1e-06,24.4819,[ 9 37] ; [  8 293],[ 2.25360231 43.74639769] ; [ 14.74639769 286.25360231],1
r2,1,5e-06,20.777943,[32 13] ; [276  21],[40.52631579  4.47368421] ; [267.47368421  29.52631579],1
d4,1,5.1e-05,16.411719,[24 22] ; [238  61],[34.93333333 11.06666667] ; [227.06666667  71.93333333],1
s2,1,8.9e-05,15.356477,[ 5 41] ; [122 177],[16.93333333 29.06666667] ; [110.06666667 188.93333333],1
a7,1,0.000119,14.804165,[19 27] ; [211  90],[30.48991354 15.51008646] ; [199.51008646 101.48991354],1
s6,1,0.000387,12.592653,[12 33] ; [164 134],[23.09037901 21.90962099] ; [152.90962099 145.09037901],1
p7,1,0.000851,11.125558,[ 7 37] ; [124 170],[17.05325444 26.94674556] ; [113.94674556 180.05325444],1
d3,1,0.000952,10.919211,[17 29] ; [188 112],[27.25433526 18.74566474] ; [177.74566474 122.25433526],1
s8,1,0.001497,10.082236,[ 4 41] ; [ 96 205],[13.00578035 31.99421965] ; [ 86.99421965 214.00578035],0
s3,1,0.001673,9.877612,[11 33] ; [150 148],[20.71345029 23.28654971] ; [140.28654971 157.71345029],0
p1,1,0.001946,9.599987,[ 6 40] ; [  9 289],[ 2.00581395 43.99418605] ; [ 12.99418605 285.00581395],0
d5,1,0.002039,9.513816,[25 21] ; [228  72],[33.63583815 12.36416185] ; [219.36416185  80.63583815],0
b1,1,0.002284,9.306228,[27 19] ; [106 195],[17.63112392 28.36887608] ; [115.36887608 185.63112392],0
a6,1,0.005075,7.852359,[20 26] ; [195 105],[28.58381503 17.41618497] ; [186.41618497 113.58381503],0
p8,1,0.005409,7.737323,[ 5 40] ; [ 93 205],[12.85714286 32.14285714] ; [ 85.14285714 212.85714286],0
s7,1,0.008367,6.953102,[ 6 36] ; [100 189],[13.45015106 28.54984894] ; [ 92.54984894 196.45015106],0
b5,1,0.00848,6.929176,[19 27] ; [186 115],[27.17579251 18.82420749] ; [177.82420749 123.17579251],0
n3,1,0.014668,5.955919,[12 14] ; [64 25],[17.1826087  8.8173913] ; [58.8173913 30.1826087],0
u2,1,0.033368,4.526786,[ 5 15] ; [51 49],[ 9.33333333 10.66666667] ; [46.66666667 53.33333333],0
d1,1,0.036077,4.393472,[15 31] ; [148 153],[21.60806916 24.39193084] ; [141.39193084 159.60806916],0
s1,1,0.038636,4.276805,[ 4 42] ; [  8 290],[ 1.60465116 44.39534884] ; [ 10.39534884 287.60465116],0
a5,1,0.042784,4.103934,[23 23] ; [197 104],[29.16426513 16.83573487] ; [190.83573487 110.16426513],0
u3,1,0.048384,3.896587,[ 5 15] ; [50 52],[ 9.01639344 10.98360656] ; [45.98360656 56.01639344],0
a8,1,0.067456,3.343875,[ 2 42] ; [ 41 240],[ 5.82153846 38.17846154] ; [ 37.17846154 243.82153846],0
v3,1,0.067946,3.33195,[ 9 37] ; [ 95 193],[14.32335329 31.67664671] ; [ 89.67664671 198.32335329],0
n2,1,0.09506,2.78652,[15 12] ; [66 25],[18.53389831  8.46610169] ; [62.46610169 28.53389831],0
p5,1,0.155984,2.012734,[ 3 42] ; [  8 291],[ 1.43895349 43.56104651] ; [  9.56104651 289.43895349],0
n1,1,0.161403,1.961031,[13 14] ; [30 60],[ 9.92307692 17.07692308] ; [33.07692308 56.92307692],0
a2,1,0.16869,1.894548,[ 5 41] ; [ 58 243],[ 8.35158501 37.64841499] ; [ 54.64841499 246.35158501],0
s5,1,0.184639,1.759886,[ 7 39] ; [ 70 221],[10.51038576 35.48961424] ; [ 66.48961424 224.51038576],0
v1,1,0.191551,1.705645,[14 32] ; [118 173],[18.01780415 27.98219585] ; [113.98219585 177.01780415],0
b3,1,0.232303,1.426702,[13 17] ; [ 52 110],[10.15625 19.84375] ; [ 54.84375 107.15625],0
